u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,pro,cillabel
15,16,15,16,0,-4,172,0,5,13,19,229,7,1,1,1,101,0
16,15,14,15,0,2816,113,9,9,13,19,852,7,5,1,0,0,0
14,17,13,17,2,3779,217,0,8,13,19,821,7,3,0,0,0,0
14,17,13,17,7,-6,48,8,8,13,2,604,1,8,0,0,0,0
14,17,16,17,5,1,57,4,8,10,2,1138,1,1,0,1,75,0
14,17,10,11,2,-2,108,8,9,10,19,1282,6,1,1,0,0,0
14,17,13,17,5,-1,120,3,9,11,19,814,0,2,0,0,0,0
16,17,13,11,4,1,80,0,0,11,19,237,2,1,0,0,0,0
14,17,10,17,2,-1,18,0,9,10,1,565,0,1,0,0,0,0
15,16,15,16,0,-2,97,1,0,14,2,616,2,5,0,0,0,0
14,17,10,17,2,-2,219,0,8,13,19,567,7,1,0,0,0,0
14,11,15,10,0,-4,95,8,9,10,19,1202,6,1,1,0,0,0
14,17,14,17,2,340,67,6,6,14,19,1194,10,1,0,0,0,0
14,17,10,11,2,0,109,6,9,10,19,1248,6,1,1,0,0,0
16,17,15,17,7,-5,173,0,0,13,16,373,1,2,0,0,0,0
14,17,14,10,2,1,224,0,0,13,19,1147,2,1,0,0,0,0
14,17,13,11,0,0,113,4,9,11,19,1418,14,1,1,0,0,0
16,17,13,17,7,0,56,4,9,11,19,1101,0,2,0,1,80,0
14,17,14,11,2,-2,223,0,0,13,19,1184,2,5,0,0,0,0
13,17,15,11,0,-1,13,2,9,10,19,612,6,1,1,0,0,0
10,17,13,17,4,-14,203,7,9,11,19,790,16,7,0,0,0,0
15,15,14,15,0,1070,219,9,9,13,19,335,7,1,1,0,0,0
11,17,10,17,5,1102,206,6,8,13,19,1364,7,3,0,0,0,0
16,15,15,12,0,-1,77,1,9,13,19,296,7,1,1,0,0,0
14,17,14,17,2,4,220,6,9,13,19,1166,9,1,0,0,0,0
14,17,14,17,5,-3,220,0,0,13,19,579,5,10,0,0,0,0
10,17,15,11,4,0,16,9,9,10,19,789,6,1,1,0,0,0
16,15,14,15,0,6,222,0,0,13,19,185,2,1,0,0,0,0
15,12,15,16,0,863,169,0,0,13,19,234,18,1,1,0,0,0
14,17,14,17,2,3080,205,1,1,13,19,270,5,2,0,0,0,0
14,11,13,17,0,0,65,6,9,13,19,1182,15,5,0,0,0,0
13,11,14,17,5,10,210,4,6,13,19,162,2,2,0,1,79,0
15,16,14,16,0,-3,219,0,0,13,19,845,5,7,0,0,0,0
16,17,13,15,5,2,205,4,2,13,19,1404,2,1,0,0,0,0
14,17,10,17,2,-1,220,8,3,13,19,593,10,1,0,0,0,0
14,17,10,17,2,830,112,6,9,13,19,593,14,1,0,0,0,0
11,17,10,11,2,2,108,0,2,11,19,1388,6,1,1,0,0,0
15,16,15,16,0,3,199,8,9,14,19,324,7,1,1,0,0,0
15,16,15,16,0,0,169,1,9,10,19,747,6,1,1,0,0,0
10,11,14,15,0,896,131,6,5,11,19,931,7,1,1,0,0,0
10,16,15,11,0,-3,98,0,9,10,19,64,6,1,1,0,0,0
14,17,11,10,2,-5,143,6,9,13,19,595,13,8,0,0,0,0
14,17,14,11,2,1,108,6,9,11,19,1233,7,1,1,0,0,0
16,17,13,17,4,1112,174,4,8,11,19,850,7,1,1,0,0,0
15,15,15,16,0,1,223,9,9,13,19,240,18,3,0,0,0,0
10,11,10,15,0,1312,24,4,9,11,19,916,11,1,0,0,0,0
11,17,14,17,9,9,170,0,0,13,19,1189,5,8,0,0,0,0
15,16,15,16,0,825,171,9,0,13,19,407,7,2,0,0,0,0
15,16,15,16,0,1,100,1,6,10,19,182,7,1,1,0,0,0
16,11,13,15,0,2,62,9,9,13,19,162,2,1,0,1,21,0
11,17,16,17,4,3,49,8,8,11,19,1431,2,1,0,0,0,0
14,11,13,13,3,-5,15,8,9,13,19,1206,8,1,0,0,0,0
16,17,15,17,5,0,100,7,9,11,19,1198,2,2,0,0,101,0
14,15,14,15,0,-4,225,6,9,13,2,837,8,1,0,0,0,0
14,17,14,15,2,3314,217,6,1,13,19,1399,7,3,0,0,0,0
11,17,11,11,9,1049,170,0,3,13,19,1413,7,1,1,0,0,0
14,11,13,13,0,1,18,7,9,11,19,759,6,1,1,0,0,0
15,11,15,16,7,977,170,0,0,13,19,401,7,3,1,0,0,0
