u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
16,17,14,17,3,0,219,2,1,13,19,327,9,1,0,0,0,0
10,17,14,17,4,879,85,3,0,13,19,327,5,1,0,0,0,0
16,17,10,17,9,0,3,6,4,13,19,509,9,1,0,0,0,0
11,17,14,17,5,0,44,6,5,13,19,1377,9,1,0,0,0,0
14,14,14,15,0,0,140,1,0,10,19,990,6,1,0,0,0,0
10,17,14,15,0,744,218,9,9,13,19,369,7,3,0,0,0,0
10,17,13,17,9,0,10,2,0,11,19,1086,12,1,0,1,0,40
10,17,10,17,1,0,169,7,9,13,19,591,10,1,0,1,0,20
16,17,14,17,7,0,158,2,9,13,19,509,10,4,0,0,0,0
14,11,14,15,7,0,218,0,0,13,11,591,11,2,0,0,0,0
11,17,14,17,8,879,25,0,0,13,19,822,12,5,0,0,0,0
14,17,13,15,0,0,199,5,9,11,19,73,6,1,1,0,0,0
14,17,13,17,0,2293,168,2,1,13,19,506,18,1,0,0,0,0
11,17,10,17,6,0,171,0,0,13,1,506,11,7,0,0,0,0
16,17,11,17,2,0,98,2,0,11,19,998,9,1,0,0,0,0
10,17,10,17,3,0,17,0,1,10,19,1481,6,1,0,0,0,0
16,15,14,16,0,0,112,2,0,13,19,822,7,1,1,1,0,80
11,17,14,11,9,0,8,9,8,13,19,1408,15,3,0,1,0,40
16,17,10,17,9,2018,21,0,1,11,19,93,9,1,0,0,0,0
16,14,10,10,0,0,114,9,9,11,19,436,14,2,0,0,0,0
14,17,14,15,0,0,157,7,9,13,19,1403,7,1,1,0,0,0
14,17,10,11,6,0,78,0,0,12,6,1185,6,1,1,0,0,0
10,17,13,13,1,0,152,0,0,12,3,81,9,5,0,0,0,0
16,17,10,15,9,2516,219,2,1,11,19,1185,7,1,1,0,0,0
11,17,14,15,1,0,112,5,9,13,11,565,3,1,0,1,0,80
14,17,10,17,4,0,78,9,8,11,19,565,9,4,0,0,0,0
16,17,10,17,6,0,153,2,0,11,19,211,9,1,0,0,0,0
15,17,13,17,9,0,25,0,0,11,19,1361,4,2,0,0,0,0
14,17,14,17,4,0,112,2,9,13,19,506,7,1,0,0,0,0
15,17,13,17,4,1636,49,2,3,13,19,1348,11,5,0,0,0,0
14,17,14,17,4,0,44,3,5,13,19,784,17,1,1,0,0,0
16,11,14,13,0,0,123,9,8,13,19,1250,9,11,0,0,0,0
16,17,10,11,0,1674,40,2,4,13,19,965,7,1,0,0,0,0
16,17,14,17,8,0,17,9,8,11,19,640,9,7,0,0,0,0
11,11,14,15,0,0,10,9,8,13,11,1424,6,1,0,1,0,100
14,17,10,15,0,1940,157,1,1,11,19,211,7,1,1,0,0,0
10,17,13,13,0,1344,157,7,8,11,19,585,12,1,1,0,0,0
14,17,14,17,2,0,44,0,7,11,19,1481,6,1,0,0,0,0
15,17,15,17,6,0,167,0,6,11,19,1363,9,6,0,0,0,0
14,17,10,17,0,0,168,0,0,14,3,1185,6,1,1,0,0,0
14,17,14,11,2,2388,27,0,7,13,19,73,7,8,0,0,0,0
14,17,14,11,0,0,10,9,8,13,19,73,13,2,0,1,0,40
16,11,14,11,0,0,112,2,6,13,11,73,9,1,0,1,0,100
10,17,13,17,0,0,143,8,6,10,19,640,6,2,0,0,0,0
16,17,15,17,5,2293,78,1,3,11,19,327,2,2,0,0,0,0
10,17,10,17,9,0,102,0,0,11,19,897,9,2,0,1,1,100
16,17,10,17,4,1128,111,2,4,13,19,1433,9,2,0,0,0,0
14,17,14,17,5,476,51,0,5,13,19,506,10,1,0,0,0,80
14,17,13,17,6,2658,17,0,1,11,19,1408,11,2,0,0,0,0
14,17,13,11,0,0,173,0,0,11,19,1087,7,1,1,0,0,0
15,16,17,16,0,777,63,4,8,14,19,335,10,4,0,1,1,0
10,17,10,13,0,2859,157,1,6,11,19,903,6,1,1,0,0,0
10,17,14,17,2,0,195,0,0,13,3,327,6,2,1,0,0,0
11,17,14,15,0,0,131,5,7,10,19,14,6,1,1,0,0,0
16,17,14,17,2,2780,172,2,4,11,19,292,12,2,0,0,0,0
10,17,10,15,3,0,195,7,0,11,19,903,10,3,0,0,0,0
16,17,13,11,0,2780,168,0,0,11,5,506,7,1,0,0,0,0
15,17,15,16,9,0,109,0,0,11,3,990,9,2,0,0,0,0
10,11,10,10,0,0,17,9,3,13,19,25,10,4,0,0,0,0
11,15,13,11,0,0,112,0,0,11,13,591,7,4,0,0,0,80
10,17,14,17,0,1537,219,2,4,13,19,966,7,1,0,0,0,0
16,17,10,17,0,1346,109,0,7,11,19,506,22,1,1,0,0,0
10,17,14,17,2,0,195,0,0,13,11,1482,3,2,0,0,0,0
16,17,14,17,0,0,96,5,9,10,19,93,6,1,0,0,0,0
16,17,10,17,9,0,30,0,0,13,16,1408,8,11,0,0,0,0
15,16,17,16,0,1177,109,0,4,11,19,487,9,4,0,0,0,0
14,17,14,17,4,0,74,8,9,13,19,1424,11,1,0,0,0,0
11,11,14,11,4,1075,17,3,0,13,11,1377,8,1,1,1,0,100
14,17,14,11,3,2515,8,9,5,13,19,1300,7,1,0,0,0,0
10,17,14,17,7,0,98,4,9,13,19,841,6,2,0,0,0,0
15,16,14,16,0,879,219,0,0,13,19,160,7,1,1,0,0,0
13,16,14,16,0,337,17,3,8,11,19,648,9,4,0,0,0,0
16,17,10,17,1,2244,114,9,8,11,11,327,13,3,0,1,0,100
11,17,10,17,9,0,100,0,4,13,19,784,12,5,0,0,0,40
14,17,14,17,6,0,112,0,3,11,19,1205,6,1,1,0,0,0
10,17,14,14,0,0,219,0,1,10,19,927,18,1,0,0,0,0
16,17,11,15,4,0,207,0,7,11,19,369,5,1,1,0,0,0
10,17,14,12,0,2934,109,2,0,13,19,847,7,1,1,0,0,0
16,16,15,16,0,0,86,9,9,11,19,1348,10,2,0,0,0,0
15,16,16,16,0,0,171,0,6,11,19,487,9,1,0,1,0,0
15,16,10,16,0,0,114,9,8,13,19,1026,14,1,0,0,0,0
14,17,14,11,9,0,78,4,6,13,19,591,17,1,0,0,0,0
