u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
10,11,15,13,0,1250.0,162.0,0,9,11,19,1411.0,7.0,3.0,1,0,0,0
14,11,10,13,0,918.0,113.0,6,9,13,19,1427.0,10.0,2.0,0,0,0,0
14,17,15,11,2,3095.0,169.0,1,9,10,19,816.0,7.0,4.0,1,0,0,0
14,17,15,17,0,41.0,217.0,2,9,10,19,533.0,7.0,3.0,1,0,0,0
16,17,10,17,0,81.0,60.0,5,9,10,19,684.0,6.0,3.0,1,0,0,0
11,17,14,13,0,2136.0,176.0,6,9,13,19,823.0,7.0,4.0,1,0,0,0
10,17,14,17,7,125.0,134.0,9,9,13,19,724.0,7.0,1.0,0,0,0,0
14,17,13,17,3,48.0,19.0,9,9,11,19,552.0,13.0,3.0,0,0,0,0
16,11,14,11,3,1191.0,168.0,0,0,13,19,1280.0,17.0,3.0,0,0,0,0
14,11,10,15,0,93.0,166.0,0,0,10,19,1432.0,6.0,4.0,1,0,0,0
10,17,14,17,9,145.0,209.0,0,0,13,19,1065.0,10.0,4.0,0,0,0,0
10,11,14,11,0,1355.0,202.0,0,0,13,19,779.0,6.0,4.0,1,0,0,0
14,17,15,17,9,45.0,78.0,9,8,10,19,878.0,7.0,2.0,1,0,0,0
14,17,13,17,6,1714.0,65.0,5,9,11,19,1355.0,16.0,4.0,0,0,0,0
10,15,14,10,0,99.0,65.0,9,9,10,19,950.0,1.0,9.0,0,0,0,0
13,17,14,15,0,1633.0,171.0,2,0,13,20,207.0,2.0,3.0,0,0,0,0
14,17,14,17,7,145.0,137.0,1,2,13,19,1141.0,1.0,2.0,0,0,0,0
16,17,13,11,0,1272.0,116.0,0,0,11,19,83.0,11.0,5.0,0,0,0,0
15,16,15,16,0,926.0,169.0,0,3,11,19,662.0,9.0,2.0,0,0,0,0
