u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14.0,17.0,13.0,11.0,0.0,0.0,25.0,0.0,9.0,11.0,19.0,1278.0,6.0,1.0,1.0,0.0,0.0,0.0
16.0,10.0,17.0,10.0,9.0,0.0,220.0,0.0,9.0,14.0,1.0,14.0,26.0,86.0,0.0,0.0,0.0,0.0
14.0,11.0,13.0,11.0,0.0,0.0,82.34612417107721,3.0,9.0,11.0,19.0,619.9615260542049,15.0,1.0,0.0,0.0,0.0,0.0
11.0,17.0,14.0,17.0,9.0,0.0,199.0,0.0,0.0,11.0,11.0,1408.0,9.0,12.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,6.0,0.0,98.0,9.0,6.0,11.0,19.0,870.0,7.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,14.0,11.0,1.0,0.0,21.0,9.0,9.0,13.0,3.0,824.9258858001044,10.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,10.0,2.0,1674.0,38.95360744261906,0.0,0.0,13.0,19.0,369.9705797232198,11.0,6.0,0.0,0.0,0.0,0.0
14.0,17.0,10.0,17.0,3.0,0.0,21.0,0.0,1.0,13.0,19.0,1277.0,10.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,2.0,0.0,112.68442809916036,0.0,0.0,11.0,19.0,327.0,18.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,10.0,17.0,2.0,2780.0,65.0,9.0,9.0,13.0,19.0,648.0,14.0,1.0,0.0,0.0,0.0,0.0
16.0,17.0,10.0,17.0,5.0,0.0,101.85899502520722,7.0,9.0,11.0,19.0,591.0,7.0,4.0,0.0,0.0,0.0,0.0
11.0,17.0,14.0,17.0,4.0,0.0,86.0,0.0,0.0,13.0,4.0,1391.0,9.0,6.0,0.0,0.0,0.0,0.0
11.0,17.0,14.0,17.0,7.0,0.0,112.07526169514497,6.0,9.0,12.0,19.0,591.0,6.0,4.0,0.0,0.0,0.0,0.0
13.0,17.0,15.0,17.0,3.0,1344.0654379848359,78.0,0.0,4.0,11.0,19.0,1400.3862040234528,11.0,1.0,0.0,0.0,0.0,0.0
10.0,11.0,13.0,13.0,0.0,0.0,78.0,0.0,0.0,13.0,1.0,327.0,2.0,1.0,0.0,0.0,0.0,0.0
13.0,17.0,13.0,11.0,0.0,0.0,100.0,4.0,0.0,13.0,19.0,1217.0,19.0,1.0,0.0,0.0,0.0,0.0
16.0,11.0,14.0,11.0,3.0,0.0,78.0,2.0,9.0,11.0,19.0,506.0,6.0,2.0,0.0,0.0,0.0,0.0
16.0,10.0,17.0,10.0,9.0,0.0,0.0,0.0,9.0,10.0,1.0,14.0,26.0,1.0,0.0,0.0,1.0,0.0
14.0,15.0,15.0,15.0,0.0,0.0,9.91725800304561,1.0,6.0,11.0,19.0,1363.0,7.0,9.996678988822605,0.0,0.0,0.0,0.0
10.0,17.0,14.0,17.0,8.0,0.0,112.0,0.0,4.0,11.0,19.0,1139.3403203474786,6.0,1.0,1.0,0.0,0.0,0.0
16.0,10.0,17.0,10.0,9.0,0.0,0.0,0.0,9.0,10.0,1.0,14.0,26.0,1.0,0.0,0.0,1.0,0.0
14.0,16.0,14.0,15.0,0.0,2435.69897733524,57.0,0.0,2.0,13.0,19.0,1347.1304636177736,1.0,18.017169752618145,0.0,0.0,0.0,0.0
14.0,17.0,14.0,14.0,0.0,835.0,98.12757498077933,0.0,9.0,11.0,19.0,1217.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,11.0,15.0,15.0,0.0,2859.0,173.0,3.0,4.0,13.0,19.0,1441.027981716162,6.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,4.0,0.0,168.0,0.0,5.0,13.0,19.0,1088.0,6.0,1.0,1.0,0.0,0.0,0.0
11.0,17.0,13.0,17.0,9.0,0.0,65.0,0.0,7.0,11.0,2.0,841.0,11.0,1.0,0.0,0.0,0.0,0.0
11.0,17.0,14.0,11.0,0.0,2169.16500914175,17.0,9.0,9.0,13.0,19.0,1440.0,7.0,1.0,1.0,0.0,0.0,0.0
11.0,17.0,13.0,12.0,0.0,0.0,21.0,0.0,9.0,13.0,19.0,1403.0,9.0,7.0,0.0,0.0,0.0,0.0
10.0,17.0,13.0,17.0,4.0,1445.0,195.0,0.0,9.0,12.0,19.0,1026.0,7.0,1.0,1.0,1.0,0.0,100.0
10.0,17.0,10.0,17.0,2.0,2383.4059515617796,129.74830558841094,0.0,7.0,13.0,19.0,1050.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,10.0,17.0,10.0,9.0,0.0,0.0,0.0,9.0,10.0,1.0,14.0,26.0,1.0,0.0,0.0,1.0,0.0
16.0,10.0,17.0,10.0,9.0,0.0,0.0,0.0,9.0,10.0,1.0,14.0,26.0,1.0,0.0,0.0,1.0,0.0
16.0,10.0,17.0,17.0,9.0,3187.0,220.0,0.0,0.0,14.0,1.0,1483.0,26.0,1.0,1.0,1.0,1.0,100.0
14.0,17.0,13.0,12.0,0.0,0.0,17.0,4.0,6.0,13.0,19.0,565.0,7.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,4.0,0.0,16.673163280732947,0.0,0.0,11.0,19.0,565.0,17.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,4.0,0.0,151.6702228651877,9.0,9.0,11.0,3.0,1444.0,7.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,14.0,17.0,5.0,0.0,75.29391428788789,2.0,9.0,11.0,19.0,1424.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,14.0,14.0,0.0,0.0,216.0,0.0,2.0,13.0,19.0,160.0,1.0,2.0,0.0,0.0,0.0,0.0
16.0,17.0,14.0,11.0,2.0,0.0,152.0,6.0,9.0,11.0,19.0,1377.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,17.0,14.0,17.0,2.0,0.0,173.0356955429103,4.0,7.0,11.0,19.0,507.12292764344346,9.0,5.0,0.0,0.0,0.0,0.0
14.0,17.0,10.0,15.0,0.0,2158.0,152.0,4.0,9.0,11.0,19.0,1444.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,17.0,14.0,17.0,0.0,1843.5650152071194,112.0,4.0,9.0,11.0,19.0,506.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,17.0,10.0,11.0,0.0,0.0,171.0,9.0,9.0,11.0,19.0,841.0,7.0,1.0,1.0,0.0,0.0,0.0
16.0,11.0,10.0,13.0,2.0,0.0,171.54513742426477,0.0,0.0,13.0,19.0,93.0,7.0,7.6348690624810365,0.0,0.0,0.0,0.0
14.0,17.0,10.0,17.0,0.0,0.0,98.0,0.0,7.0,11.0,19.0,1347.0082933171743,6.0,1.0,1.0,0.0,0.0,0.0
14.0,13.0,15.0,15.0,0.0,0.0,118.39447215978998,2.0,9.0,10.0,19.0,335.0,6.0,1.0,1.0,0.0,0.0,0.0
10.0,16.0,15.0,15.0,0.0,1177.0,147.0,0.0,4.0,11.0,19.0,998.0,7.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,14.0,17.0,2.0,0.0,219.0,0.0,0.0,13.0,19.0,211.0,6.0,3.0,0.0,0.0,0.0,0.0
14.0,17.0,10.0,17.0,4.0,0.0,216.0,2.0,9.0,13.0,19.0,506.0,6.0,1.0,1.0,0.0,0.0,0.0
16.0,10.0,17.0,17.0,9.0,3187.0,220.0,0.0,0.0,14.0,1.0,1483.0,26.0,1.0,1.0,1.0,1.0,100.0
14.0,17.0,15.0,17.0,3.0,0.0,63.0,3.0,4.0,11.0,19.0,1185.0,9.0,4.0,0.0,0.0,0.0,0.0
10.0,17.0,13.0,17.0,2.0,0.0,57.0,7.0,9.0,11.0,19.0,210.0,15.0,3.0,0.0,0.0,0.0,0.0
14.0,17.0,14.0,17.0,9.0,0.0,216.0,0.0,0.0,11.0,19.0,73.0,6.0,4.0,0.0,0.0,0.0,0.0
14.0,13.0,15.0,16.0,0.0,0.0,65.0,6.0,1.0,13.0,19.0,745.1831588577152,7.0,5.0,0.0,0.0,0.0,0.0
10.0,17.0,13.0,11.0,0.0,0.0,98.0,5.0,9.0,10.0,19.0,1194.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,3.0,0.0,205.0411316110082,0.0,0.0,11.0,19.0,762.4092054494898,7.0,1.0,0.0,0.0,0.0,0.0
