,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
0,16.0,17.0,14.0,17.0,0.0,0.0,37.0,7.0,9.0,11.0,19.0,1087.0,6.0,1.0,1.0,0.0,0.0,0.0
1,14.0,17.0,13.0,17.0,4.0,0.0,140.0,0.0,0.0,13.0,19.0,1361.0,4.0,2.0,0.0,0.0,0.0,0.0
2,14.0,11.0,13.0,15.0,0.0,0.0,112.0,0.0,9.0,10.0,19.0,1474.0,6.0,1.0,1.0,0.0,0.0,0.0
3,14.0,17.0,13.0,17.0,7.0,0.0,63.0,0.0,0.0,11.0,3.0,1319.0,5.0,4.0,0.0,0.0,0.0,0.0
4,11.0,17.0,15.0,17.0,6.0,879.0,168.0,0.0,7.0,11.0,19.0,1403.0,7.0,4.0,0.0,0.0,0.0,0.0
5,16.0,17.0,15.0,17.0,0.0,0.0,98.0,0.0,9.0,10.0,19.0,1347.0,6.0,1.0,1.0,0.0,0.0,0.0
6,15.0,16.0,16.0,16.0,0.0,0.0,98.0,2.0,9.0,11.0,19.0,160.0,6.0,1.0,1.0,0.0,0.0,0.0
7,14.0,17.0,13.0,17.0,5.0,0.0,98.0,0.0,8.0,10.0,19.0,1277.0,6.0,1.0,1.0,0.0,0.0,0.0
8,10.0,17.0,13.0,17.0,4.0,0.0,98.0,2.0,9.0,11.0,19.0,943.0,7.0,2.0,0.0,0.0,0.0,0.0
9,14.0,17.0,10.0,11.0,0.0,0.0,219.0,0.0,9.0,14.0,19.0,1185.0,6.0,1.0,1.0,0.0,0.0,0.0
10,14.0,17.0,13.0,17.0,0.0,0.0,206.0,2.0,7.0,11.0,19.0,591.0,6.0,1.0,1.0,0.0,0.0,0.0
11,10.0,17.0,13.0,17.0,7.0,1606.0,199.0,0.0,0.0,11.0,19.0,990.0,14.0,1.0,0.0,0.0,0.0,0.0
12,14.0,17.0,13.0,17.0,0.0,0.0,157.0,0.0,9.0,10.0,19.0,1474.0,6.0,1.0,1.0,0.0,0.0,0.0
13,14.0,17.0,14.0,17.0,5.0,0.0,65.0,8.0,3.0,13.0,19.0,847.0,19.0,1.0,0.0,0.0,0.0,0.0
14,16.0,13.0,13.0,10.0,0.0,0.0,98.0,5.0,9.0,13.0,19.0,928.0,9.0,1.0,0.0,0.0,0.0,0.0
15,10.0,15.0,11.0,12.0,0.0,0.0,98.0,0.0,9.0,10.0,19.0,335.0,6.0,1.0,1.0,0.0,0.0,0.0
16,14.0,17.0,13.0,17.0,5.0,0.0,78.0,0.0,9.0,10.0,19.0,1319.0,6.0,1.0,1.0,0.0,0.0,0.0
17,16.0,15.0,13.0,15.0,0.0,0.0,78.0,0.0,9.0,10.0,19.0,1347.0,6.0,1.0,1.0,0.0,0.0,0.0
18,11.0,17.0,14.0,17.0,0.0,0.0,206.0,0.0,0.0,13.0,19.0,327.0,7.0,1.0,1.0,0.0,0.0,0.0
19,14.0,17.0,13.0,17.0,4.0,0.0,65.0,4.0,1.0,12.0,19.0,1277.0,10.0,1.0,0.0,0.0,0.0,0.0
20,11.0,17.0,14.0,11.0,0.0,0.0,44.0,0.0,0.0,13.0,2.0,1403.0,5.0,1.0,0.0,0.0,0.0,0.0
21,16.0,17.0,11.0,17.0,2.0,215.0,157.0,1.0,5.0,13.0,19.0,945.0,18.0,1.0,0.0,0.0,0.0,0.0
22,14.0,17.0,13.0,11.0,0.0,0.0,168.0,0.0,0.0,11.0,19.0,506.0,6.0,1.0,1.0,0.0,0.0,0.0
23,14.0,17.0,15.0,17.0,2.0,0.0,17.0,5.0,9.0,11.0,19.0,847.0,8.0,1.0,0.0,0.0,0.0,0.0
24,15.0,16.0,16.0,16.0,0.0,0.0,78.0,0.0,8.0,11.0,19.0,1481.0,6.0,1.0,1.0,0.0,0.0,0.0
25,14.0,17.0,15.0,17.0,4.0,0.0,123.0,0.0,0.0,11.0,19.0,565.0,14.0,1.0,0.0,0.0,0.0,0.0
26,14.0,17.0,10.0,17.0,5.0,0.0,98.0,0.0,6.0,11.0,19.0,1290.0,6.0,1.0,1.0,0.0,0.0,0.0
27,14.0,17.0,14.0,17.0,2.0,0.0,98.0,0.0,9.0,11.0,19.0,1277.0,6.0,1.0,1.0,1.0,0.0,100.0
28,11.0,17.0,13.0,17.0,0.0,0.0,57.0,0.0,8.0,10.0,19.0,327.0,6.0,1.0,1.0,0.0,0.0,0.0
29,16.0,17.0,13.0,17.0,5.0,0.0,100.0,0.0,0.0,11.0,19.0,1087.0,7.0,3.0,0.0,0.0,0.0,0.0
30,11.0,17.0,14.0,17.0,0.0,0.0,98.0,2.0,6.0,11.0,19.0,1377.0,6.0,1.0,1.0,0.0,0.0,0.0
31,11.0,17.0,13.0,17.0,4.0,0.0,98.0,0.0,5.0,10.0,19.0,1408.0,6.0,1.0,1.0,0.0,0.0,0.0
32,10.0,11.0,13.0,10.0,0.0,0.0,98.0,0.0,8.0,13.0,19.0,1440.0,7.0,1.0,1.0,0.0,0.0,0.0
33,15.0,16.0,15.0,16.0,0.0,0.0,114.0,9.0,9.0,11.0,19.0,335.0,7.0,1.0,1.0,0.0,0.0,0.0
34,10.0,17.0,14.0,17.0,4.0,0.0,39.0,0.0,0.0,10.0,19.0,1481.0,4.0,3.0,0.0,0.0,0.0,0.0
35,16.0,15.0,11.0,13.0,0.0,0.0,169.0,2.0,9.0,12.0,19.0,628.0,6.0,1.0,1.0,0.0,0.0,0.0
36,11.0,17.0,14.0,17.0,4.0,0.0,219.0,0.0,7.0,13.0,19.0,822.0,7.0,1.0,1.0,0.0,0.0,0.0
37,16.0,17.0,14.0,17.0,5.0,0.0,98.0,0.0,0.0,11.0,19.0,928.0,6.0,1.0,1.0,0.0,0.0,0.0
38,11.0,17.0,13.0,17.0,9.0,0.0,78.0,0.0,0.0,11.0,19.0,822.0,9.0,1.0,0.0,0.0,0.0,0.0
39,16.0,17.0,14.0,17.0,2.0,0.0,22.0,3.0,8.0,13.0,19.0,1391.0,7.0,1.0,1.0,0.0,0.0,0.0
40,16.0,17.0,13.0,17.0,0.0,0.0,78.0,0.0,1.0,11.0,19.0,998.0,6.0,1.0,1.0,0.0,0.0,0.0
41,14.0,11.0,13.0,15.0,0.0,0.0,98.0,0.0,9.0,10.0,19.0,591.0,6.0,1.0,1.0,0.0,0.0,0.0
42,14.0,17.0,10.0,17.0,5.0,0.0,100.0,0.0,0.0,11.0,19.0,1185.0,9.0,3.0,0.0,0.0,0.0,0.0
43,14.0,17.0,13.0,17.0,8.0,0.0,100.0,0.0,0.0,13.0,16.0,274.0,5.0,1.0,0.0,0.0,0.0,0.0
44,14.0,17.0,15.0,17.0,4.0,0.0,59.0,4.0,4.0,11.0,19.0,73.0,4.0,2.0,0.0,0.0,0.0,0.0
45,14.0,17.0,10.0,17.0,0.0,0.0,219.0,0.0,9.0,13.0,19.0,211.0,7.0,1.0,1.0,0.0,0.0,0.0
46,14.0,17.0,13.0,17.0,4.0,2859.0,173.0,7.0,9.0,11.0,19.0,1136.0,7.0,1.0,1.0,0.0,0.0,0.0
47,14.0,17.0,13.0,11.0,2.0,0.0,78.0,0.0,9.0,10.0,19.0,565.0,6.0,1.0,1.0,0.0,0.0,0.0
48,16.0,17.0,13.0,11.0,0.0,2658.0,205.0,0.0,3.0,11.0,19.0,928.0,7.0,1.0,1.0,0.0,0.0,0.0
49,14.0,17.0,15.0,17.0,2.0,0.0,17.0,0.0,2.0,11.0,19.0,506.0,11.0,1.0,0.0,0.0,0.0,0.0
50,10.0,17.0,13.0,17.0,9.0,0.0,78.0,0.0,8.0,10.0,19.0,842.0,6.0,1.0,1.0,0.0,0.0,0.0
51,14.0,11.0,14.0,15.0,0.0,0.0,219.0,0.0,9.0,11.0,19.0,591.0,6.0,1.0,1.0,0.0,0.0,0.0
52,14.0,17.0,13.0,17.0,7.0,0.0,171.0,0.0,0.0,11.0,19.0,1361.0,12.0,3.0,0.0,0.0,0.0,0.0
53,15.0,16.0,16.0,16.0,0.0,0.0,98.0,0.0,0.0,11.0,19.0,487.0,6.0,1.0,1.0,0.0,0.0,0.0
54,16.0,11.0,13.0,10.0,0.0,0.0,65.0,9.0,7.0,13.0,19.0,1026.0,18.0,1.0,0.0,0.0,0.0,0.0
55,16.0,17.0,13.0,11.0,0.0,0.0,78.0,0.0,9.0,10.0,19.0,1026.0,6.0,1.0,1.0,0.0,0.0,0.0
56,14.0,17.0,15.0,17.0,5.0,0.0,128.0,0.0,8.0,11.0,19.0,1361.0,7.0,1.0,1.0,0.0,0.0,0.0
57,11.0,17.0,14.0,17.0,6.0,0.0,98.0,0.0,3.0,11.0,19.0,620.0,6.0,1.0,1.0,0.0,0.0,0.0
58,14.0,17.0,14.0,15.0,0.0,0.0,98.0,4.0,9.0,11.0,19.0,739.0,6.0,1.0,1.0,0.0,0.0,0.0
59,10.0,15.0,15.0,12.0,0.0,1177.0,17.0,0.0,8.0,11.0,19.0,842.0,7.0,1.0,1.0,0.0,0.0,0.0
60,13.0,17.0,14.0,17.0,0.0,0.0,112.0,0.0,9.0,11.0,19.0,916.0,6.0,1.0,1.0,0.0,0.0,0.0
61,16.0,17.0,13.0,17.0,2.0,0.0,104.0,8.0,9.0,13.0,19.0,998.0,7.0,1.0,1.0,0.0,0.0,0.0
62,16.0,17.0,14.0,17.0,4.0,0.0,171.0,0.0,0.0,13.0,16.0,1391.0,5.0,3.0,0.0,0.0,0.0,0.0
63,16.0,17.0,13.0,17.0,0.0,0.0,98.0,6.0,9.0,11.0,19.0,1088.0,6.0,1.0,1.0,0.0,0.0,0.0
64,11.0,11.0,13.0,12.0,0.0,0.0,44.0,0.0,0.0,11.0,19.0,1403.0,6.0,1.0,1.0,0.0,0.0,0.0
65,11.0,17.0,13.0,17.0,4.0,0.0,206.0,3.0,9.0,11.0,19.0,327.0,9.0,1.0,0.0,0.0,0.0,0.0
66,14.0,17.0,13.0,11.0,0.0,0.0,27.0,7.0,4.0,13.0,19.0,565.0,20.0,1.0,0.0,0.0,0.0,0.0
67,14.0,17.0,14.0,17.0,7.0,0.0,96.0,0.0,0.0,13.0,19.0,591.0,11.0,1.0,0.0,0.0,0.0,0.0
68,14.0,17.0,13.0,17.0,7.0,0.0,100.0,0.0,0.0,11.0,19.0,508.0,2.0,3.0,0.0,0.0,0.0,0.0
69,14.0,17.0,14.0,17.0,5.0,0.0,98.0,4.0,9.0,11.0,19.0,25.0,6.0,1.0,1.0,0.0,0.0,0.0
70,14.0,17.0,13.0,17.0,5.0,0.0,195.0,0.0,0.0,12.0,19.0,1474.0,10.0,1.0,0.0,0.0,0.0,0.0
71,15.0,16.0,15.0,16.0,0.0,0.0,78.0,0.0,9.0,10.0,19.0,619.0,6.0,1.0,1.0,0.0,0.0,0.0
72,15.0,16.0,15.0,16.0,0.0,0.0,10.0,5.0,8.0,13.0,19.0,619.0,10.0,1.0,0.0,0.0,0.0,0.0
73,14.0,17.0,10.0,17.0,0.0,0.0,168.0,0.0,9.0,12.0,19.0,1185.0,6.0,1.0,1.0,0.0,0.0,0.0
74,16.0,11.0,11.0,15.0,0.0,879.0,108.0,9.0,9.0,13.0,19.0,945.0,6.0,1.0,0.0,0.0,0.0,0.0
75,10.0,17.0,13.0,17.0,4.0,0.0,65.0,9.0,9.0,13.0,19.0,842.0,2.0,2.0,0.0,1.0,0.0,100.0
76,15.0,16.0,16.0,16.0,0.0,0.0,98.0,0.0,0.0,11.0,19.0,487.0,6.0,1.0,1.0,0.0,0.0,0.0
77,10.0,17.0,14.0,11.0,0.0,0.0,98.0,0.0,0.0,11.0,19.0,1481.0,6.0,1.0,1.0,0.0,0.0,0.0
78,14.0,17.0,15.0,11.0,0.0,0.0,78.0,4.0,9.0,10.0,19.0,1319.0,6.0,1.0,1.0,0.0,0.0,0.0
79,14.0,17.0,14.0,17.0,6.0,0.0,65.0,0.0,0.0,13.0,19.0,1194.0,18.0,1.0,0.0,0.0,0.0,0.0
80,16.0,17.0,13.0,17.0,4.0,0.0,168.0,0.0,0.0,13.0,19.0,998.0,1.0,2.0,0.0,0.0,0.0,0.0
81,14.0,17.0,13.0,17.0,0.0,879.0,199.0,0.0,8.0,11.0,19.0,1319.0,7.0,1.0,1.0,0.0,0.0,0.0
82,16.0,17.0,13.0,17.0,2.0,0.0,16.0,0.0,0.0,11.0,19.0,1347.0,2.0,3.0,0.0,0.0,0.0,0.0
83,15.0,17.0,14.0,17.0,2.0,0.0,44.0,0.0,0.0,13.0,19.0,1363.0,5.0,9.0,0.0,0.0,0.0,0.0
84,10.0,17.0,14.0,17.0,6.0,0.0,98.0,0.0,0.0,11.0,19.0,903.0,6.0,1.0,1.0,0.0,0.0,0.0
85,14.0,17.0,14.0,15.0,0.0,0.0,27.0,7.0,9.0,13.0,19.0,591.0,9.0,1.0,0.0,0.0,0.0,0.0
86,13.0,17.0,13.0,17.0,9.0,0.0,96.0,2.0,4.0,11.0,19.0,1300.0,6.0,2.0,0.0,0.0,0.0,0.0
87,10.0,17.0,14.0,11.0,0.0,0.0,98.0,0.0,5.0,11.0,19.0,1481.0,6.0,1.0,1.0,0.0,0.0,0.0
88,14.0,17.0,13.0,17.0,6.0,0.0,219.0,8.0,9.0,11.0,19.0,565.0,4.0,2.0,0.0,0.0,0.0,0.0
89,14.0,17.0,15.0,17.0,0.0,0.0,98.0,1.0,9.0,10.0,19.0,73.0,6.0,1.0,1.0,0.0,0.0,0.0
90,14.0,17.0,14.0,17.0,2.0,0.0,27.0,0.0,0.0,13.0,19.0,320.0,18.0,1.0,0.0,0.0,0.0,0.0
91,16.0,11.0,13.0,13.0,0.0,1408.0,32.0,0.0,0.0,11.0,19.0,1087.0,12.0,1.0,0.0,0.0,0.0,0.0
92,11.0,17.0,14.0,11.0,2.0,0.0,168.0,0.0,6.0,11.0,19.0,1408.0,6.0,1.0,1.0,0.0,0.0,0.0
93,10.0,17.0,10.0,17.0,4.0,0.0,16.0,0.0,2.0,11.0,19.0,927.0,7.0,3.0,0.0,0.0,0.0,0.0
94,14.0,17.0,14.0,15.0,0.0,0.0,98.0,0.0,7.0,11.0,19.0,778.0,6.0,1.0,1.0,0.0,0.0,0.0
95,10.0,17.0,13.0,17.0,9.0,1674.0,176.0,8.0,9.0,11.0,19.0,1445.0,5.0,3.0,0.0,0.0,0.0,0.0
96,13.0,15.0,14.0,13.0,0.0,0.0,98.0,7.0,9.0,13.0,19.0,293.0,7.0,1.0,1.0,0.0,0.0,0.0
97,10.0,17.0,14.0,17.0,0.0,0.0,219.0,0.0,9.0,13.0,19.0,903.0,9.0,1.0,0.0,0.0,0.0,0.0
98,15.0,16.0,16.0,16.0,0.0,0.0,112.0,0.0,9.0,11.0,19.0,1243.0,6.0,1.0,1.0,0.0,0.0,0.0
99,11.0,17.0,14.0,17.0,0.0,0.0,171.0,0.0,0.0,13.0,16.0,1403.0,3.0,2.0,0.0,0.0,0.0,0.0
100,14.0,17.0,13.0,11.0,2.0,0.0,8.0,9.0,9.0,10.0,19.0,320.0,6.0,1.0,1.0,0.0,0.0,0.0
101,16.0,17.0,10.0,17.0,4.0,0.0,140.0,9.0,9.0,13.0,19.0,369.0,2.0,4.0,0.0,0.0,0.0,0.0
102,16.0,17.0,14.0,17.0,0.0,0.0,17.0,9.0,9.0,13.0,19.0,1444.0,2.0,2.0,0.0,0.0,0.0,0.0
