u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
11,17,15,17,5,0,135,6,4,11,19,1403,7,2,0,0,0,0
14,17,15,17,8,57,17,0,0,11,19,1377,19,1,0,0,0,0
14,17,15,17,4,0,98,0,1,11,19,565,11,1,0,0,0,0
14,17,15,17,0,215,102,0,6,11,19,1194,6,1,1,0,0,0
10,17,13,17,7,0,98,9,8,11,19,998,13,1,0,0,0,0
10,15,14,13,0,0,168,0,1,11,19,1481,6,1,1,0,0,0
14,11,14,13,0,0,10,0,1,11,19,565,6,1,1,0,0,0
11,17,14,11,0,0,114,7,8,13,19,1377,19,1,0,0,0,0
10,17,13,11,0,2859,201,0,7,13,19,196,15,1,0,0,0,0
14,17,14,17,2,0,39,4,7,10,19,565,13,1,0,1,0,0
11,17,15,17,6,0,173,7,8,11,19,1377,6,1,1,0,0,0
10,17,14,17,9,879,102,0,0,13,19,998,6,12,0,0,0,0
10,15,14,16,0,744,17,9,9,13,19,685,4,2,0,0,0,0
10,16,15,13,0,0,98,0,8,10,19,150,6,1,1,0,0,0
14,17,14,11,0,0,201,0,1,13,19,739,9,1,0,0,0,0
11,17,15,17,2,0,195,7,8,11,19,327,18,1,0,0,0,0
11,17,13,17,4,0,112,0,0,11,11,1403,8,1,0,1,0,100
13,17,15,11,0,0,10,0,9,11,19,1377,6,1,1,0,0,0
10,17,13,17,4,0,50,7,8,11,19,1403,20,1,0,1,0,0
10,11,13,15,0,0,173,0,4,11,19,150,19,1,0,0,0,0
14,11,15,15,0,0,199,3,8,10,19,620,6,1,1,0,0,0
14,17,15,11,0,494,17,7,8,11,19,565,15,1,0,0,0,0
10,17,13,17,4,0,86,7,9,11,11,1088,4,2,0,0,0,0
14,17,14,17,6,0,25,0,0,13,19,565,11,1,0,0,0,0
10,11,15,13,0,3093,17,7,8,11,19,1025,6,1,1,0,0,0
14,17,15,15,0,0,36,7,8,10,19,565,6,1,1,0,0,0
