u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14,17,14,13,0,0,201,7,8,13,19,565,4,3,0,0,0,0
10,17,14,17,9,212,102,0,0,13,19,1025,18,1,0,1,0,100
10,17,15,15,0,0,17,4,9,10,19,903,6,1,1,0,0,0
16,15,11,13,0,0,199,4,4,11,19,150,7,14,0,0,0,0
10,11,14,11,0,0,98,2,7,11,19,81,6,1,1,0,0,0
14,17,13,17,4,0,195,0,2,11,19,320,5,2,0,0,0,0
11,11,13,11,2,0,67,4,9,11,19,571,4,9,0,0,0,0
11,17,15,17,6,0,78,1,5,10,19,1377,6,1,1,0,0,0
16,17,14,11,4,0,45,9,9,13,19,1088,9,3,0,0,0,0
11,11,14,15,0,3093,219,0,0,13,19,1193,11,4,0,0,0,0
10,15,14,13,0,0,50,5,6,10,19,1481,10,3,0,0,0,0
15,17,10,17,4,0,39,6,7,13,19,509,2,11,0,0,0,0
11,17,13,17,8,0,219,3,7,13,19,1408,20,1,0,0,0,0
14,17,14,17,6,0,0,0,3,11,19,565,6,1,1,0,0,0
10,17,15,17,9,0,98,0,4,11,19,1051,7,1,1,0,0,0
10,17,14,17,6,0,98,0,0,11,19,1440,6,1,1,0,0,0
10,17,15,17,2,0,78,5,9,10,19,1481,6,1,1,0,0,0
14,11,14,11,3,0,78,3,3,10,19,1277,11,2,0,0,0,0
14,17,13,17,0,0,220,0,0,11,19,1194,15,1,0,0,0,0
16,17,15,17,9,0,179,0,9,10,19,998,6,1,1,1,0,40
16,11,15,15,2,2859,173,0,0,11,19,998,5,6,0,0,0,0
14,17,14,17,4,0,171,0,0,13,16,320,5,3,0,0,0,0
10,15,13,10,0,1344,168,0,3,13,19,903,7,1,1,0,0,0
14,17,13,17,3,0,171,0,0,11,11,847,3,2,0,0,0,0
15,17,12,15,0,0,98,5,9,10,19,27,6,1,1,0,0,0
16,10,15,15,0,0,116,0,9,10,19,196,6,1,1,0,0,0
14,17,10,17,7,2449,193,7,3,13,19,211,6,4,0,0,0,0
16,17,14,15,0,3139,218,6,9,13,19,1087,7,1,1,0,0,0
11,17,14,11,0,0,137,0,1,13,19,203,7,1,1,0,0,0
14,11,13,15,2,0,134,9,9,13,19,591,9,1,0,0,0,0
14,17,14,15,0,0,169,0,3,13,19,778,9,2,0,0,0,0
10,17,10,17,5,0,78,0,9,13,19,929,9,1,0,0,0,0
16,17,10,17,0,0,131,1,9,11,19,125,11,1,0,0,0,0
11,17,15,11,0,0,49,0,4,10,19,237,6,1,1,0,0,0
13,17,13,17,2,1344,168,0,6,11,19,293,11,1,0,0,0,0
14,17,14,15,0,0,112,0,9,11,19,24,6,1,1,0,0,0
14,17,13,11,0,0,98,4,9,13,19,24,12,1,0,0,0,0
