,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,1.0,0.96,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
Training_DT,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_KNN,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_NB,0.837,0.85,0.001,0.5,0.001,0.009,0.5,0.163,0.837,0.5
Training_SVM,1.0,0.91,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
Training_RF,1.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_XGB,1.0,0.666,0.0,0.0,0.0,0.003,0.0,0.0,1.0,1.0
Holdout_LR,1.0,0.982,0.0,0.0,0.0,0.008,0.0,0.0,1.0,1.0
Holdout_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
Holdout_KNN,1.0,0.499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Holdout_NB,0.858,0.987,0.003,1.0,0.001,0.034,1.0,0.142,0.858,0.0
Holdout_SVM,1.0,0.965,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
Holdout_RF,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Holdout_XGB,1.0,0.892,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
CTGAN_LR,0.996,0.992,0.054,0.5,0.029,0.036,0.5,0.003,0.997,0.5
CTGAN_DT,0.989,0.745,0.019,0.5,0.009,0.005,0.5,0.011,0.989,0.5
CTGAN_KNN,0.993,0.739,0.026,0.5,0.014,0.007,0.5,0.007,0.993,0.5
CTGAN_NB,0.949,0.984,0.008,1.0,0.004,0.018,1.0,0.051,0.949,0.0
CTGAN_SVM,0.998,0.921,0.091,0.5,0.05,0.034,0.5,0.002,0.998,0.5
CTGAN_RF,0.997,0.994,0.067,0.5,0.036,0.037,0.5,0.003,0.997,0.5
CTGAN_XGB,0.996,0.961,0.0,0.0,0.0,0.011,0.0,0.004,0.996,1.0
CTABGAN_LR,1.0,0.977,0.0,0.0,0.0,0.03,0.0,0.0,1.0,1.0
CTABGAN_DT,0.978,0.739,0.009,0.5,0.005,0.002,0.5,0.022,0.978,0.5
CTABGAN_KNN,0.999,0.977,0.0,0.0,0.0,0.005,0.0,0.0,1.0,1.0
CTABGAN_NB,0.948,0.99,0.008,1.0,0.004,0.016,1.0,0.052,0.948,0.0
CTABGAN_SVM,1.0,0.986,0.0,0.0,0.0,0.014,0.0,0.0,1.0,1.0
CTABGAN_RF,1.0,0.977,0.0,0.0,0.0,0.013,0.0,0.0,1.0,1.0
CTABGAN_XGB,1.0,0.753,0.0,0.0,0.0,0.001,0.0,0.0,1.0,1.0
TVAE_LR,1.0,0.964,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
TVAE_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TVAE_KNN,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TVAE_NB,0.977,0.48,0.0,0.0,0.0,0.0,0.0,0.023,0.977,1.0
TVAE_SVM,1.0,0.859,0.0,0.0,0.0,0.003,0.0,0.0,1.0,1.0
TVAE_RF,1.0,0.735,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
TVAE_XGB,1.0,0.904,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
DS_LR,1.0,0.9,0.0,0.0,0.0,0.007,0.0,0.0,1.0,1.0
DS_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
DS_KNN,1.0,0.499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DS_NB,0.95,0.98,0.008,1.0,0.004,0.009,1.0,0.05,0.95,0.0
DS_SVM,1.0,0.611,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
DS_RF,1.0,0.737,0.0,0.0,0.0,0.036,0.0,0.0,1.0,1.0
DS_XGB,1.0,0.978,0.0,0.0,0.0,0.007,0.0,0.0,1.0,1.0
Tabula_LR,1.0,0.806,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
Tabula_DT,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tabula_KNN,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tabula_NB,0.991,0.495,0.0,0.0,0.0,0.0,0.0,0.009,0.991,1.0
Tabula_SVM,1.0,0.382,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tabula_RF,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tabula_XGB,1.0,0.895,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
TabDDPM_LR,1.0,0.939,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
TabDDPM_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TabDDPM_KNN,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TabDDPM_NB,1.0,0.464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TabDDPM_SVM,1.0,0.965,0.0,0.0,0.0,0.006,0.0,0.0,1.0,1.0
TabDDPM_RF,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
TabDDPM_XGB,1.0,0.908,0.0,0.0,0.0,0.011,0.0,0.0,1.0,1.0
