u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,cillabel,pro,label
10,17,17,17,7,0,70,0,0,12,19,874,3,15,0,0,0,0
14,16,13,16,0,0,95,9,9,14,19,1415,9,1,0,0,0,0
15,16,13,10,0,0,167,0,4,11,19,1169,6,1,1,0,0,0
16,15,15,11,0,-1,97,0,9,11,19,1356,6,1,1,0,0,0
15,15,14,10,0,2795,15,0,1,13,19,880,7,1,1,0,0,0
16,17,13,17,9,1481,194,0,0,11,19,933,7,1,1,0,0,0
10,17,13,17,9,1342,216,0,0,13,19,578,7,1,0,0,0,0
16,17,15,17,9,1321,166,0,0,11,19,961,7,1,0,0,0,0
16,16,15,11,4,2306,169,3,1,11,19,1383,14,1,0,0,0,0
16,17,13,17,3,1,98,0,9,11,19,1114,6,1,1,0,0,0
14,17,14,17,7,2,45,0,9,13,19,578,15,3,0,0,0,0
14,17,14,17,0,1,98,0,9,10,19,545,6,1,1,0,101,1
16,15,13,16,3,-3,97,4,9,11,19,247,6,1,1,0,0,0
16,17,13,17,7,21,161,0,1,11,19,931,10,3,0,0,79,1
10,17,13,11,7,1,170,1,9,11,16,1499,7,1,0,0,0,0
13,11,13,13,0,2,97,5,9,10,19,547,6,1,1,0,0,0
10,15,10,10,0,1,98,0,9,10,19,1220,6,1,1,0,0,0
14,17,13,11,2,0,57,1,1,11,19,4,9,1,0,0,0,0
16,17,15,17,2,843,78,0,0,11,2,1481,11,1,0,0,0,0
16,13,15,17,4,3065,166,0,1,11,19,959,7,1,0,0,0,0
14,17,14,10,0,2800,49,3,9,13,19,806,19,1,0,0,0,0
16,17,13,17,7,2385,213,0,0,11,16,608,8,1,0,0,0,0
16,11,15,13,2,3,79,0,6,14,2,271,6,1,0,0,0,0
14,11,13,10,0,2980,50,3,7,13,19,258,7,2,1,0,0,0
16,11,15,11,4,5,165,9,1,11,19,1360,10,6,0,0,0,0
14,17,13,17,7,315,218,0,0,10,11,616,11,1,0,0,0,0
10,17,10,10,0,4,97,0,9,11,19,1392,6,1,1,0,0,0
14,17,14,10,0,-2,19,6,9,13,19,591,6,1,1,0,0,0
14,11,14,11,0,2,130,6,9,13,19,535,10,1,0,0,42,1
11,17,13,17,2,0,98,1,9,11,19,93,6,1,0,0,0,0
16,17,15,17,4,1,170,0,1,11,11,1377,6,1,1,0,0,0
14,17,11,15,0,2536,216,6,2,13,19,64,11,2,0,0,0,0
14,15,14,15,0,2652,52,3,9,13,19,275,7,1,0,0,0,0
14,11,14,11,0,2,66,8,9,11,19,150,6,1,1,0,0,0
16,17,13,17,9,0,54,0,9,11,19,1408,6,1,1,0,0,0
16,17,13,17,9,1336,166,0,0,13,19,975,7,1,0,0,0,0
14,17,14,10,0,3,97,0,9,14,19,1187,6,1,1,0,0,0
14,17,14,11,0,0,99,3,9,13,19,546,15,1,1,0,100,1
15,16,17,16,0,2,98,5,9,14,19,259,6,1,1,0,0,0
15,16,13,16,0,-1,45,3,7,11,19,219,6,1,1,0,0,0
14,11,14,10,0,1905,47,3,9,13,19,735,7,1,1,0,0,0
10,17,13,17,2,1,12,6,9,13,19,104,13,3,0,0,0,0
15,11,14,15,0,4,12,6,9,13,19,1260,6,1,0,0,0,0
14,11,14,17,0,0,146,6,9,13,19,1171,14,1,0,0,0,0
16,11,13,13,3,880,57,9,9,11,19,327,7,2,0,0,0,0
15,16,11,16,0,846,55,9,1,11,19,204,19,1,1,0,0,0
14,17,14,17,2,3,14,9,1,13,19,164,2,3,0,0,0,0
