u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
16,11,13,11,5,0,131,0,0,13,19,591,2,2,0,0,0,0
14,17,13,17,5,0,210,4,7,11,19,506,18,2,0,0,0,0
10,14,13,10,0,835,199,0,9,13,6,619,7,1,1,0,0,0
11,17,14,12,0,0,199,4,8,13,19,565,7,1,1,0,0,0
10,17,13,17,3,0,151,6,0,13,19,1278,10,2,0,0,0,0
10,17,14,17,6,0,171,2,5,13,2,640,1,5,0,0,0,0
11,17,13,17,4,0,96,0,2,11,19,1432,7,1,1,0,0,0
10,17,13,11,6,2547,25,4,9,13,19,62,17,1,0,0,0,0
16,17,13,11,0,0,8,0,4,14,11,705,7,1,0,1,0,100
15,16,13,15,0,0,147,6,9,11,19,1243,9,1,0,0,0,0
15,17,12,17,9,0,216,0,3,11,19,509,1,2,0,0,0,0
14,17,14,17,6,868,219,6,6,13,19,1049,7,1,0,1,0,0
14,17,14,17,5,0,219,4,6,13,19,1277,7,1,0,0,0,0
11,17,14,17,2,1728,168,2,1,13,19,828,5,1,0,0,0,0
15,17,13,17,2,0,171,0,0,14,1,27,1,16,0,0,0,0
16,13,13,13,0,0,218,8,9,13,19,735,7,1,1,0,0,0
15,16,16,16,0,0,8,0,9,10,19,335,9,1,1,1,0,60
10,17,13,10,0,0,206,0,0,11,19,929,7,1,1,0,0,0
10,17,13,17,8,0,216,0,0,11,16,1277,12,1,0,0,0,0
14,17,14,17,0,0,78,2,7,12,19,1481,6,1,0,1,0,40
11,17,13,15,2,0,78,4,9,11,19,1319,9,1,1,0,0,0
14,17,13,17,9,0,199,0,6,11,19,998,7,1,1,0,0,0
10,17,13,17,0,648,108,6,3,14,19,1482,1,1,0,0,0,60
14,17,13,11,0,0,63,4,0,11,11,293,9,3,0,0,0,0
15,17,15,16,0,0,78,0,9,10,19,1089,6,1,1,0,0,0
16,17,13,17,2,0,199,0,3,13,19,739,7,26,0,0,0,0
11,17,13,17,8,879,171,0,0,13,20,1277,5,3,0,0,0,0
14,17,13,17,5,380,168,0,3,11,19,150,1,10,0,0,0,0
10,11,13,11,0,0,158,6,6,10,19,571,6,1,1,0,0,0
14,11,14,13,0,0,168,0,0,13,19,998,7,1,1,0,0,0
10,11,10,15,0,0,199,4,7,13,19,1087,9,1,0,0,0,80
15,16,16,16,0,98,150,2,9,13,19,1123,9,1,1,0,0,0
11,11,13,15,0,0,173,4,9,11,19,73,7,1,1,0,0,0
10,17,14,17,3,0,44,6,6,14,19,916,1,5,0,0,0,0
10,17,13,17,4,0,123,4,6,11,19,220,2,1,0,0,0,0
16,17,14,17,6,0,219,2,7,13,19,677,9,1,0,1,0,100
10,17,14,17,4,0,152,2,5,13,19,565,9,1,0,0,0,0
11,17,13,17,7,0,147,6,5,11,19,508,7,1,1,0,0,0
14,17,13,11,0,2293,44,6,9,13,19,565,7,1,0,0,0,0
14,17,13,17,8,0,112,1,6,13,19,25,7,1,0,0,0,0
11,17,13,17,8,2383,216,6,3,11,19,73,5,2,0,0,0,0
11,17,14,12,0,0,44,4,6,13,19,591,9,2,0,0,0,0
15,15,10,15,0,0,56,1,2,10,19,945,10,7,0,0,0,0
10,11,10,11,0,0,65,6,9,12,19,929,1,1,0,0,0,0
10,17,13,17,2,0,199,5,9,11,19,903,7,1,1,0,0,0
10,17,13,17,4,0,205,0,3,14,17,1482,1,5,0,0,0,0
11,17,13,11,0,744,137,0,9,11,19,327,7,1,0,0,0,0
