u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14,11,10,15,0,613.0,162.0,0,9,13,19,1117.0,7.0,3.0,1,0,0,0
16,17,11,17,4,121.0,47.0,6,7,11,19,1060.0,10.0,2.0,0,0,0,0
16,15,11,15,0,2298.0,169.0,0,0,11,19,1183.0,7.0,8.0,0,0,0,0
14,15,11,13,0,41.0,52.0,2,8,13,19,92.0,7.0,3.0,1,0,0,0
16,15,15,15,0,3109.0,214.0,0,6,10,16,978.0,5.0,3.0,1,0,0,0
15,17,13,17,1,65.0,110.0,1,9,13,19,1337.0,7.0,4.0,1,0,0,0
14,17,13,15,0,2993.0,211.0,1,9,11,19,63.0,7.0,1.0,1,0,0,0
11,17,14,17,5,845.0,118.0,0,0,13,19,846.0,14.0,3.0,0,0,0,0
14,11,13,11,0,76.0,168.0,0,0,13,19,1206.0,18.0,3.0,0,0,0,0
11,17,13,17,6,93.0,89.0,0,7,10,19,844.0,5.0,4.0,1,1,0,100
16,17,13,17,3,623.0,209.0,8,4,11,19,183.0,9.0,4.0,0,0,0,0
14,17,14,15,0,80.0,103.0,8,9,13,19,1219.0,6.0,4.0,1,0,0,0
10,17,13,17,2,1479.0,100.0,0,9,11,19,1025.0,7.0,2.0,1,0,0,0
14,17,14,17,8,120.0,153.0,9,3,13,19,767.0,15.0,4.0,0,0,0,0
14,17,10,17,4,99.0,32.0,0,6,12,19,215.0,1.0,9.0,0,0,0,0
15,16,16,16,0,837.0,171.0,0,3,13,16,207.0,3.0,3.0,0,0,0,0
10,17,10,17,3,1579.0,170.0,7,9,13,16,921.0,1.0,2.0,0,1,0,100
15,16,15,16,0,157.0,94.0,7,9,11,19,1038.0,10.0,5.0,0,0,0,0
10,17,13,17,9,129.0,213.0,0,9,13,19,1029.0,9.0,2.0,0,0,0,0
14,17,13,17,3,144.0,6.0,4,1,11,11,54.0,12.0,5.0,0,0,0,0
16,17,13,11,0,49.0,17.0,0,0,11,19,1011.0,19.0,5.0,0,0,0,0
11,11,13,11,0,116.0,196.0,8,7,11,19,694.0,9.0,4.0,0,0,0,0
14,17,13,17,2,2374.0,112.0,0,9,11,19,544.0,7.0,5.0,1,0,0,0
14,17,14,11,0,109.0,120.0,3,3,13,19,830.0,10.0,3.0,0,0,0,0
10,17,13,17,9,75.0,49.0,7,9,11,19,996.0,4.0,3.0,0,0,0,0
14,17,14,11,0,2247.0,164.0,0,0,13,19,865.0,7.0,4.0,1,0,0,0
14,17,14,17,8,69.0,91.0,0,0,11,19,1297.0,5.0,4.0,1,1,0,20
13,15,14,13,0,97.0,85.0,4,2,13,19,936.0,16.0,2.0,0,0,0,0
15,16,15,16,0,1580.0,24.0,0,9,11,19,1345.0,7.0,1.0,1,0,0,0
14,17,13,15,0,154.0,118.0,9,9,11,19,16.0,5.0,7.0,0,0,0,0
14,17,13,17,4,76.0,12.0,4,9,11,19,36.0,6.0,1.0,1,0,0,0
14,15,14,15,0,2528.0,27.0,0,0,13,19,769.0,9.0,14.0,0,0,0,0
14,17,15,11,0,42.0,90.0,0,9,11,19,1301.0,7.0,4.0,1,0,0,0
16,17,14,17,5,2359.0,176.0,0,3,13,19,1451.0,7.0,5.0,1,0,0,0
10,15,15,15,0,87.0,83.0,0,0,12,19,1472.0,1.0,1.0,0,0,0,0
10,11,13,11,5,2.0,167.0,3,8,13,19,252.0,6.0,2.0,1,0,0,0
10,15,10,13,0,115.0,214.0,1,9,11,19,904.0,7.0,1.0,1,0,0,0
15,16,17,16,0,2773.0,144.0,2,0,11,19,663.0,7.0,3.0,0,0,0,0
14,17,15,11,0,1406.0,14.0,0,0,11,19,595.0,16.0,4.0,0,0,0,0
