u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14.0,17.0,13.0,11.0,0.0,0.0,24.896488060119776,0.0,9.0,11.0,19.0,1208.1901954079972,6.0,1.0,1.0,0.0,0.0,0.0
15.0,17.0,13.0,17.0,9.0,0.0,219.0,0.0,0.0,13.0,19.0,648.0,1.0,2.0,0.0,0.0,0.0,0.0
16.0,10.0,17.0,17.0,9.0,0.0,0.0,0.0,9.0,10.0,20.0,14.0,27.0,1.0,1.0,0.0,0.0,0.0
10.0,17.0,14.0,17.0,9.0,0.0,199.0,0.0,0.0,11.0,3.0,1403.0,9.0,12.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,5.0,0.0,98.0,9.0,7.0,11.0,19.0,916.0,7.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,10.0,11.0,2.0,0.0,17.0,9.0,9.0,13.0,3.0,877.6347552253603,7.0,4.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,4.0,1740.1830683332187,39.0,0.0,0.0,13.0,19.0,508.0,11.0,5.0,0.0,0.0,0.0,0.0
14.0,17.0,10.0,17.0,2.0,0.0,25.0,0.0,0.0,13.0,19.0,1193.0375093666605,10.0,1.0,0.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,2.0,0.0,112.0,0.0,0.0,11.0,19.0,320.0,18.0,1.0,0.0,0.0,0.0,0.0
11.0,17.0,10.0,17.0,2.0,2950.5908519468467,78.0,9.0,9.0,13.0,19.0,620.0,11.0,1.0,0.0,0.0,0.0,0.0
16.0,17.0,10.0,17.0,5.0,0.0,103.82216592721305,7.0,9.0,11.0,19.0,581.5907928613211,7.0,4.0,0.0,0.0,0.0,0.0
13.0,17.0,14.0,17.0,3.0,0.0,78.0,0.0,0.0,13.0,2.0,1393.1032031080485,9.0,6.0,0.0,0.0,0.0,0.0
10.0,17.0,14.0,17.0,9.0,0.0,112.0,6.0,9.0,13.0,19.0,591.0,6.0,3.0,0.0,0.0,0.0,0.0
14.0,17.0,15.0,17.0,0.0,1636.8318507141917,84.07108301161428,0.0,9.0,11.0,19.0,1403.0,10.0,1.0,0.0,0.0,0.0,0.0
