u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
16.0,17.0,14.0,17.0,0.0,2543.0,109.0,0.0,0.0,13.0,19.0,1347.0,7.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,4.0,0.0,140.0,9.0,9.0,13.0,19.0,1361.0,7.0,2.0,0.0,0.0,0.0,0.0
14.0,11.0,13.0,15.0,0.0,0.0,112.0,0.0,9.0,10.0,19.0,1277.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,7.0,0.0,216.0,0.0,2.0,11.0,19.0,274.0,12.0,4.0,0.0,0.0,0.0,0.0
11.0,17.0,15.0,17.0,6.0,879.0,168.0,0.0,7.0,11.0,11.0,1403.0,12.0,1.0,0.0,0.0,0.0,0.0
16.0,17.0,15.0,17.0,0.0,0.0,98.0,0.0,8.0,10.0,19.0,1348.0,6.0,1.0,1.0,0.0,0.0,0.0
15.0,16.0,16.0,16.0,0.0,0.0,98.0,2.0,9.0,11.0,19.0,160.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,5.0,0.0,98.0,0.0,9.0,10.0,19.0,1277.0,6.0,1.0,1.0,0.0,0.0,0.0
10.0,17.0,13.0,17.0,4.0,0.0,98.0,2.0,9.0,10.0,19.0,943.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,10.0,11.0,0.0,0.0,219.0,0.0,9.0,14.0,19.0,1185.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,0.0,0.0,206.0,3.0,9.0,11.0,19.0,1361.0,7.0,1.0,1.0,0.0,0.0,0.0
10.0,17.0,13.0,17.0,9.0,1674.0,168.0,0.0,9.0,11.0,19.0,705.0,7.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,9.0,0.0,98.0,2.0,9.0,10.0,19.0,1474.0,6.0,1.0,1.0,1.0,0.0,20.0
14.0,17.0,14.0,17.0,5.0,0.0,65.0,0.0,0.0,13.0,3.0,847.0,11.0,4.0,0.0,0.0,0.0,0.0
16.0,17.0,13.0,17.0,8.0,0.0,98.0,5.0,9.0,11.0,19.0,928.0,6.0,1.0,1.0,0.0,0.0,0.0
10.0,15.0,11.0,10.0,0.0,0.0,98.0,4.0,9.0,10.0,19.0,335.0,6.0,1.0,1.0,0.0,0.0,0.0
14.0,17.0,13.0,17.0,8.0,0.0,78.0,0.0,9.0,10.0,19.0,1361.0,6.0,1.0,1.0,0.0,0.0,0.0
