u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14,17,15,11,0,2658,219,3,7,11,19,773,6,1,1,0,0,0
10,15,11,15,0,0,128,4,8,11,19,735,10,1,0,0,0,0
14,17,14,17,4,0,17,0,6,11,19,506,6,1,1,0,0,0
10,17,13,11,0,2780,168,0,7,11,19,1440,6,1,1,0,0,0
15,16,14,15,0,0,78,0,7,11,19,842,6,1,1,0,0,0
14,17,14,17,4,0,17,0,1,13,19,1185,9,1,0,0,0,0
10,17,10,17,0,0,168,0,4,14,19,727,6,1,1,0,0,0
11,17,13,17,6,0,44,4,6,11,19,822,7,2,0,0,0,0
14,17,14,11,0,0,16,8,9,13,19,778,9,1,0,0,0,0
14,17,14,17,0,0,112,0,1,11,19,1377,6,1,1,0,0,0
15,16,15,12,0,1192,219,6,7,11,19,1088,6,1,1,0,0,0
13,10,14,15,0,0,96,4,7,10,19,916,6,1,1,0,0,0
14,17,14,17,2,0,57,0,1,11,19,506,6,1,1,0,0,0
15,15,14,10,0,1903,168,0,0,13,19,1347,7,1,1,0,0,0
15,15,14,10,0,0,219,7,7,13,19,1278,7,9,0,0,0,0
11,11,14,15,0,0,168,6,7,10,19,1403,6,1,1,0,0,0
10,17,14,11,0,2780,219,0,4,13,19,859,10,3,0,0,0,0
11,17,15,11,0,0,78,4,7,10,19,327,6,1,1,0,0,0
15,17,14,17,4,0,211,0,1,13,19,487,6,2,0,0,0,0
10,17,14,17,5,0,98,0,0,13,19,1481,9,1,0,0,0,0
15,17,14,17,0,1117,112,0,0,13,19,487,7,4,0,0,0,0
14,17,14,17,4,0,27,0,0,13,19,73,14,1,0,0,0,0
15,15,10,10,0,3187,168,0,0,11,19,487,6,1,1,0,0,0
14,17,14,17,5,3139,219,3,9,13,19,506,7,1,1,0,0,0
11,17,14,17,2,0,10,0,1,13,19,1403,15,1,0,0,0,0
10,12,11,12,0,0,98,4,7,11,19,928,6,1,1,0,0,0
15,16,15,12,0,0,39,4,9,11,19,1348,9,1,0,0,0,0
11,17,14,17,5,879,219,0,1,13,19,822,9,1,0,0,0,0
10,12,13,12,0,0,74,1,7,11,19,859,6,1,1,0,0,0
14,17,10,17,4,0,17,0,4,11,19,1185,9,1,0,0,0,0
10,17,14,17,5,0,82,6,6,13,19,678,10,3,0,0,0,0
