u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle,u_refreshTimes,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label,cillabel,pro
14,17,10,17,5,0,98,0,0,11,19,1185,6,6,0,0,0,0
14,17,14,17,2,0,10,7,7,13,11,506,3,1,0,0,0,0
14,11,13,15,0,0,86,9,9,11,19,73,9,1,0,1,0,100
14,17,14,17,9,0,78,1,4,13,13,565,9,1,0,0,0,0
12,15,13,12,0,0,168,6,9,10,19,1223,6,1,1,0,0,0
14,11,13,11,0,0,168,0,9,10,19,1277,6,1,1,0,0,0
14,17,13,17,4,879,168,0,3,11,19,847,14,1,0,0,0,0
10,17,14,12,0,0,78,1,9,11,19,881,6,1,1,0,0,0
14,17,14,12,0,0,219,0,9,11,19,1122,6,1,1,0,0,0
14,17,14,17,3,0,98,0,9,11,19,565,6,1,1,0,0,0
14,17,13,15,0,0,203,0,0,11,19,778,6,1,1,0,0,0
14,17,13,11,0,0,98,2,9,11,19,506,6,1,1,0,0,0
15,16,15,16,0,0,168,0,9,10,19,487,6,1,1,0,0,0
10,17,10,17,0,0,98,1,9,11,19,167,6,1,1,0,0,0
16,17,13,11,0,0,67,0,6,11,11,859,9,14,0,0,0,0
16,17,15,17,4,0,98,0,9,10,19,1278,6,1,1,0,0,0
13,17,13,17,9,3183,199,0,9,13,19,1300,2,9,0,0,0,0
10,17,13,10,0,0,191,9,9,11,19,705,2,2,0,0,0,0
14,17,13,17,5,0,57,1,6,10,19,1205,6,1,1,0,0,0
14,17,13,15,0,0,109,4,6,11,11,1194,12,3,0,0,0,0
14,11,14,10,0,868,168,0,0,13,19,1122,7,1,1,0,0,0
14,11,15,10,0,833,128,6,8,11,19,1122,9,1,0,0,0,0
10,17,10,11,6,0,65,8,7,13,19,1086,2,5,0,0,0,0
11,17,15,17,2,1177,17,0,0,12,19,1377,7,23,0,0,0,0
16,17,14,15,0,0,98,0,2,13,19,1444,6,1,0,0,0,0
11,17,14,17,5,0,98,0,2,11,19,822,6,1,1,0,0,0
15,16,17,16,0,0,17,1,9,10,19,197,6,1,1,0,0,0
14,17,14,17,8,2158,168,0,4,13,20,24,3,1,0,0,0,0
10,17,14,17,2,0,98,2,9,11,19,842,6,1,1,1,0,100
11,17,13,17,6,2161,109,2,2,13,19,1193,15,1,0,0,0,0
11,11,13,11,0,0,195,0,0,13,16,327,12,1,0,0,0,0
10,15,15,15,2,0,209,9,9,11,19,1097,11,1,0,0,0,0
15,16,17,16,0,967,116,2,2,11,19,1348,11,1,0,0,0,0
14,17,13,17,8,3093,104,3,7,13,19,565,20,1,0,0,0,0
14,17,14,11,0,0,57,0,9,13,19,1361,7,1,1,1,0,0
14,17,14,17,5,0,112,0,1,11,19,1205,6,1,1,0,0,0
14,17,10,17,9,0,112,0,4,11,19,211,6,1,1,0,0,0
15,16,15,16,0,0,86,5,5,14,19,1123,16,1,0,1,0,20
16,17,10,15,0,0,140,0,6,11,19,369,7,1,1,0,0,0
15,16,16,16,0,879,168,1,0,13,20,778,3,5,0,0,0,0
14,17,13,17,4,0,27,9,9,13,19,24,9,1,0,0,0,0
11,17,13,17,0,0,143,2,9,11,19,1377,7,1,1,0,0,0
14,17,13,13,0,0,157,0,9,10,19,73,6,1,1,0,0,0
14,17,13,17,5,476,169,4,8,11,19,828,8,4,0,0,0,0
14,17,14,17,9,0,219,0,4,10,19,1277,2,2,0,1,0,100
14,12,13,12,0,98,109,0,3,11,19,24,2,8,0,0,0,0
14,17,14,17,2,0,44,0,6,13,19,934,7,1,1,0,0,0
14,17,14,17,6,0,98,0,7,11,19,56,6,1,1,0,0,0
15,17,10,17,9,2305,219,0,0,13,19,509,5,11,0,0,0,0
15,16,16,16,0,0,10,7,7,13,19,945,8,1,0,0,0,0
14,17,13,11,0,0,98,3,9,10,19,73,6,1,1,0,0,0
14,17,14,17,0,1674,168,0,0,13,20,506,5,2,0,0,0,0
14,17,13,15,2,0,116,3,9,10,19,73,6,1,1,0,0,0
10,17,13,17,9,1674,168,1,2,11,19,903,18,1,0,0,0,0
14,17,12,17,6,0,171,0,0,13,16,1250,3,1,0,0,0,0
11,15,13,15,0,0,199,3,7,13,19,1193,20,1,0,0,0,0
10,17,14,11,5,0,65,1,0,13,3,705,5,18,0,0,0,0
14,17,13,11,3,1177,17,4,8,13,19,848,2,27,0,0,0,0
15,16,15,16,0,0,187,0,0,12,1,487,1,1,0,0,0,0
14,17,14,17,4,0,17,0,1,10,19,1277,8,3,0,0,0,0
16,17,13,17,5,0,112,0,9,10,19,1347,6,1,1,0,0,0
14,17,15,11,0,0,140,9,9,11,19,739,16,1,0,0,0,0
16,17,14,17,7,0,116,0,0,13,19,1347,18,1,0,0,0,0
14,17,14,17,6,0,131,0,1,13,19,320,13,1,0,0,0,0
15,16,17,16,0,1445,199,8,9,12,19,619,16,1,0,0,0,0
11,17,15,17,9,0,16,0,4,11,11,327,12,2,0,0,0,0
11,17,14,17,0,2684,199,0,4,14,19,1377,6,9,0,0,0,0
16,17,10,15,0,0,105,0,9,11,19,1104,7,1,1,0,0,0
10,17,15,17,0,3093,108,9,9,11,19,93,9,1,0,0,0,0
14,17,13,17,9,0,44,3,5,11,11,640,3,2,0,0,0,0
14,17,14,17,7,0,51,0,9,13,19,565,7,1,1,0,0,0
10,17,13,17,5,0,167,9,8,10,19,1481,6,1,1,0,0,0
14,11,13,12,0,0,37,3,8,11,19,778,7,1,1,0,0,0
16,11,14,10,0,0,65,9,9,13,19,1026,13,1,0,0,0,0
10,17,10,17,7,0,216,0,0,13,19,927,9,4,0,1,0,40
14,17,14,17,6,1674,168,0,0,10,20,1205,1,2,0,0,0,0
14,11,13,12,0,0,98,4,9,10,19,1122,6,1,1,0,0,0
11,17,14,17,2,2244,168,0,0,13,19,327,7,1,1,0,0,0
11,11,15,11,4,0,98,2,9,11,19,327,4,4,0,1,0,100
14,17,13,17,0,2388,213,8,9,13,19,1277,7,1,1,0,0,0
16,17,15,17,2,2658,157,0,9,11,19,1444,7,1,1,0,0,0
15,16,15,16,0,0,140,0,6,11,19,1123,7,1,1,0,0,0
14,17,13,11,3,0,156,9,9,13,19,848,5,19,0,0,0,0
10,17,10,17,9,2327,116,0,0,13,2,1086,8,1,0,0,0,0
16,17,14,17,4,0,219,0,9,11,19,26,6,1,1,0,0,0
14,17,13,15,0,0,71,9,9,11,19,591,9,1,0,0,0,0
