,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
Training_DT,0.984,0.953,0.887,0.917,0.858,0.793,0.917,0.011,0.989,0.083
Training_KNN,0.984,0.912,0.869,0.768,1.0,0.828,0.768,0.0,1.0,0.232
Training_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
Training_SVM,0.994,0.963,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
Training_RF,0.994,0.964,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
Training_XGB,0.994,0.96,0.954,0.914,0.998,0.931,0.914,0.0,1.0,0.086
Holdout_LR,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
Holdout_DT,0.984,0.952,0.887,0.916,0.86,0.794,0.916,0.011,0.989,0.084
Holdout_KNN,0.983,0.912,0.866,0.764,1.0,0.83,0.764,0.0,1.0,0.236
Holdout_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
Holdout_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
Holdout_RF,0.994,0.958,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
Holdout_XGB,0.994,0.96,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
training_CTGAN_1_LR,0.988,0.969,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
training_CTGAN_1_DT,0.98,0.935,0.863,0.881,0.845,0.753,0.881,0.012,0.988,0.119
training_CTGAN_1_KNN,0.984,0.912,0.87,0.77,1.0,0.825,0.77,0.0,1.0,0.23
training_CTGAN_1_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
training_CTGAN_1_SVM,0.994,0.964,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
training_CTGAN_1_RF,0.994,0.966,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
training_CTGAN_1_XGB,0.994,0.959,0.954,0.914,0.998,0.932,0.914,0.0,1.0,0.086
holdout_CTGAN_1_LR,0.989,0.966,0.911,0.837,1.0,0.936,0.837,0.0,1.0,0.163
holdout_CTGAN_1_DT,0.98,0.934,0.86,0.88,0.84,0.748,0.88,0.013,0.987,0.12
holdout_CTGAN_1_KNN,0.983,0.912,0.865,0.763,1.0,0.825,0.763,0.0,1.0,0.237
holdout_CTGAN_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
holdout_CTGAN_1_SVM,0.993,0.961,0.95,0.906,1.0,0.933,0.906,0.0,1.0,0.094
holdout_CTGAN_1_RF,0.994,0.96,0.952,0.913,0.995,0.93,0.913,0.0,1.0,0.087
holdout_CTGAN_1_XGB,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
training_CTGAN_2_LR,0.987,0.968,0.896,0.811,1.0,0.938,0.811,0.0,1.0,0.189
training_CTGAN_2_DT,0.976,0.927,0.834,0.871,0.8,0.706,0.871,0.016,0.984,0.129
training_CTGAN_2_KNN,0.984,0.912,0.869,0.77,0.998,0.825,0.77,0.0,1.0,0.23
training_CTGAN_2_NB,0.99,0.968,0.922,0.856,1.0,0.937,0.856,0.0,1.0,0.144
training_CTGAN_2_SVM,0.993,0.967,0.95,0.904,1.0,0.936,0.904,0.0,1.0,0.096
training_CTGAN_2_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_CTGAN_2_XGB,0.994,0.963,0.952,0.91,0.998,0.933,0.91,0.0,1.0,0.09
holdout_CTGAN_2_LR,0.987,0.966,0.894,0.808,1.0,0.937,0.808,0.0,1.0,0.192
holdout_CTGAN_2_DT,0.977,0.927,0.843,0.868,0.819,0.721,0.868,0.014,0.986,0.132
holdout_CTGAN_2_KNN,0.983,0.916,0.866,0.764,1.0,0.828,0.764,0.0,1.0,0.236
holdout_CTGAN_2_NB,0.989,0.968,0.917,0.847,1.0,0.937,0.847,0.0,1.0,0.153
holdout_CTGAN_2_SVM,0.993,0.964,0.948,0.901,1.0,0.933,0.901,0.0,1.0,0.099
holdout_CTGAN_2_RF,0.994,0.963,0.953,0.913,0.997,0.933,0.913,0.0,1.0,0.087
holdout_CTGAN_2_XGB,0.994,0.963,0.953,0.91,1.0,0.933,0.91,0.0,1.0,0.09
training_CTGAN_3_LR,0.985,0.967,0.882,0.79,1.0,0.937,0.79,0.0,1.0,0.21
training_CTGAN_3_DT,0.975,0.914,0.824,0.843,0.807,0.691,0.843,0.015,0.985,0.157
training_CTGAN_3_KNN,0.984,0.91,0.868,0.77,0.996,0.822,0.77,0.0,1.0,0.23
training_CTGAN_3_NB,0.988,0.968,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
training_CTGAN_3_SVM,0.993,0.969,0.95,0.906,1.0,0.937,0.906,0.0,1.0,0.094
training_CTGAN_3_RF,0.994,0.962,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
training_CTGAN_3_XGB,0.993,0.963,0.946,0.898,1.0,0.935,0.898,0.0,1.0,0.102
holdout_CTGAN_3_LR,0.985,0.966,0.883,0.791,1.0,0.936,0.791,0.0,1.0,0.209
holdout_CTGAN_3_DT,0.976,0.922,0.833,0.858,0.81,0.705,0.858,0.015,0.985,0.142
holdout_CTGAN_3_KNN,0.983,0.914,0.862,0.761,0.994,0.826,0.761,0.0,1.0,0.239
holdout_CTGAN_3_NB,0.988,0.968,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
holdout_CTGAN_3_SVM,0.993,0.964,0.948,0.901,1.0,0.933,0.901,0.0,1.0,0.099
holdout_CTGAN_3_RF,0.994,0.963,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
