age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro,label_x
7,2,15,162,5,17,5,21,151,1890,8,3,2,17,14,17,13,17,9,-29,104,1,0,11,19,1037,6,1,0,-1,-1,0,0
7,2,13,242,2,34,7,18,343,2113,8,46,6,15,11,17,13,17,5,-24,166,6,9,13,16,984,5,1,1,-1,-1,101,0
3,4,21,162,2,24,6,20,382,2115,8,52,5,11,16,17,11,17,4,-3,96,0,9,10,19,713,6,1,1,-1,-1,0,0
8,4,20,257,4,16,5,19,128,2116,8,53,5,17,13,17,14,17,2,-8,108,0,2,10,19,1121,6,1,0,-1,-1,0,0
3,3,21,174,5,16,3,12,145,2628,8,35,9,17,10,17,13,17,8,-19,4,1,2,11,11,1476,11,4,0,1,-1,0,0
3,2,33,353,2,23,6,18,138,2356,8,46,4,17,16,17,11,17,4,1,81,0,4,13,19,-64,7,2,1,1,-1,0,0
6,2,34,152,5,35,3,19,154,2101,8,14,0,11,16,16,11,10,2,-10,98,1,9,12,4,1172,7,1,0,-1,-1,98,0
5,3,34,299,2,17,4,30,130,1671,8,53,5,17,14,17,13,17,9,667,211,1,0,13,19,682,9,7,0,1,-1,21,0
3,4,44,163,2,32,5,20,115,1782,8,42,7,17,16,17,15,17,5,0,71,1,0,11,19,104,7,1,0,-1,-1,0,0
6,3,30,228,2,17,5,12,172,2146,8,39,9,17,10,17,14,17,9,-16,215,0,0,13,19,1194,7,3,0,1,-1,0,0
3,2,33,175,2,16,4,20,280,2464,8,41,9,17,10,17,14,17,4,-11,201,1,0,11,19,577,9,2,0,1,-1,0,0
5,2,15,103,2,12,8,19,393,1799,8,44,6,11,16,16,14,11,7,14,194,0,0,11,4,638,2,1,1,-1,-1,0,0
5,2,17,184,3,30,6,13,267,2105,8,44,2,17,10,17,13,17,8,-6,111,4,4,11,19,1025,15,2,0,-1,-1,0,0
5,2,18,239,5,34,7,20,356,1501,8,43,0,16,15,16,15,16,0,-15,143,0,2,13,19,1084,7,1,0,-1,-1,0,0
4,2,34,263,2,34,4,20,142,2108,8,60,0,16,15,16,10,16,0,1510,99,1,9,13,19,382,6,5,0,-1,-1,0,0
9,3,21,342,3,17,5,11,98,2503,8,69,9,17,10,17,14,17,9,-4,210,0,0,10,12,1032,13,3,0,1,-1,0,0
3,4,44,388,2,32,3,11,100,2579,8,65,7,17,14,17,14,17,2,0,94,0,0,13,19,510,7,7,0,1,-1,100,0
8,2,30,373,5,17,5,12,227,2422,8,69,8,17,14,17,14,17,7,-12,97,1,2,13,11,1463,7,2,1,-1,-1,0,0
3,2,33,348,2,34,5,20,132,1499,8,24,7,11,14,17,13,17,8,3,21,4,9,11,19,89,6,1,0,-1,-1,0,0
4,2,21,141,2,22,6,20,138,2373,8,47,8,17,16,17,11,17,6,-3,35,0,4,11,4,1031,14,1,1,-1,-1,0,0
3,4,20,159,5,17,6,21,216,2479,8,22,7,17,10,17,14,17,9,-4,111,0,0,13,19,968,3,1,0,-1,-1,0,0
7,2,29,380,2,16,3,24,288,2127,8,22,9,17,14,17,13,17,7,-3,195,3,2,12,19,131,9,3,1,-1,-1,0,0
