label_x,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro
0,7,2,30,391,2,17,3,23,346,1505,8,38,5,17,16,17,14,17,9,1674,219,0,5,11,19,210,5,5,0,-1,-1,0
0,2,2,24,415,2,16,6,20,168,1815,8,40,8,17,16,14,14,15,4,1674,98,0,6,10,19,705,1,4,1,-1,-1,0
0,2,2,40,156,5,19,5,20,254,2117,8,31,1,17,14,17,13,17,3,0,157,0,6,11,19,705,19,2,1,1,-1,0
0,3,2,21,165,2,16,5,14,300,2117,8,21,0,17,14,17,13,17,9,0,140,0,8,13,19,1087,2,3,0,-1,-1,0
1,8,2,11,356,2,15,4,20,168,1744,8,38,5,17,16,17,14,17,1,0,37,0,0,11,19,369,8,3,0,-1,-1,0
0,8,3,12,393,4,34,5,19,260,2117,8,67,0,16,15,16,16,16,0,0,157,0,0,13,19,487,6,2,0,-1,-1,0
1,8,2,34,131,2,21,7,19,262,1570,8,44,5,17,14,17,14,11,6,809,205,8,2,13,19,108,6,37,0,1,-1,0
0,3,2,25,172,2,16,5,20,278,1786,8,57,0,17,16,17,14,15,7,0,40,0,4,13,19,1243,9,5,0,-1,-1,0
0,7,2,20,290,2,34,7,28,164,1744,8,38,0,16,15,16,16,16,0,0,100,0,8,11,11,160,2,8,0,-1,-1,0
0,2,2,30,113,2,19,5,19,323,1704,8,54,5,17,16,17,13,17,4,0,195,7,0,11,19,407,1,6,0,-1,-1,0
0,8,2,20,207,5,16,5,35,202,1134,8,28,4,17,16,17,11,17,2,0,199,0,9,13,19,407,18,3,0,-1,-1,100
1,8,2,13,167,2,16,7,19,115,2401,8,43,6,17,14,17,14,17,0,0,10,0,4,13,19,93,6,1,0,-1,-1,0
0,7,2,11,313,2,12,6,19,164,2117,8,38,0,14,15,16,16,16,0,0,171,0,0,13,19,487,2,2,0,-1,-1,0
0,6,4,33,319,3,27,2,11,176,2117,8,52,9,17,14,17,14,17,8,1177,112,6,0,10,11,506,11,3,0,-1,-1,0
0,8,2,18,354,2,16,8,21,127,2401,8,54,9,17,14,17,10,17,4,0,27,8,0,13,19,859,5,1,0,-1,-1,0
1,2,4,20,372,2,31,5,14,318,2117,8,13,4,17,16,17,14,17,6,2487,17,0,0,11,19,369,5,5,0,-1,-1,0
0,7,2,41,185,2,16,5,30,224,2401,8,21,5,17,16,17,14,17,8,476,41,5,4,11,19,1088,14,2,0,1,-1,0
0,8,2,18,120,2,16,5,28,278,1570,8,40,9,17,16,17,14,17,9,0,27,0,9,13,19,1481,6,4,1,-1,-1,0
0,2,3,14,393,2,20,7,28,164,2117,8,38,0,16,15,16,16,16,0,0,171,0,0,11,19,1348,5,1,0,-1,-1,0
0,5,2,37,220,2,16,3,20,334,2117,8,21,7,17,16,17,14,17,5,0,199,0,0,13,19,990,6,1,1,-1,-1,0
1,3,2,24,369,2,16,5,31,332,2117,8,60,2,13,14,17,14,11,1,870,205,7,1,13,3,1300,8,34,1,-1,-1,0
0,3,2,16,191,2,34,5,20,207,2032,8,42,9,17,16,17,11,17,5,0,108,0,9,13,11,220,16,1,0,-1,-1,0
0,7,2,21,210,2,16,5,20,139,2541,8,12,9,17,14,17,14,17,5,0,8,0,7,13,19,735,2,4,1,-1,-1,0
0,8,2,30,110,2,16,7,30,137,1656,8,63,9,17,10,17,13,17,7,0,220,0,9,13,19,928,9,6,0,-1,-1,0
0,2,2,19,334,2,30,5,13,346,2401,8,17,9,17,10,17,13,17,8,1272,98,6,0,14,16,320,7,4,0,1,-1,0
0,7,2,20,296,2,20,7,20,312,2117,8,38,0,16,15,16,15,16,0,0,98,0,9,13,19,62,6,2,0,-1,-1,0
0,5,2,45,162,2,32,6,19,168,2117,8,53,6,17,14,17,14,17,9,0,179,0,0,13,19,196,2,2,0,1,-1,0
0,2,2,34,170,2,16,3,20,168,2117,8,47,8,17,16,17,14,17,8,0,116,0,3,11,19,847,10,8,0,1,-1,0
0,2,3,19,405,2,17,3,36,176,1786,8,54,6,17,14,17,14,17,2,1718,36,0,0,10,11,1378,10,6,0,1,-1,100
0,8,2,18,179,4,16,5,20,200,1786,8,21,7,17,14,17,14,17,9,0,98,0,0,13,19,628,10,1,0,-1,-1,0
0,3,4,28,310,4,16,3,35,346,1505,8,63,0,11,13,17,14,17,4,0,104,4,9,13,19,565,8,7,1,-1,-1,0
0,8,4,33,135,3,27,6,11,299,1815,8,38,9,17,14,17,14,17,5,2705,36,8,3,13,19,739,3,1,0,1,-1,0
0,8,2,16,263,5,30,5,20,252,2401,8,17,3,17,14,17,14,17,9,2305,206,0,0,13,12,842,14,7,0,-1,-1,0
0,6,4,33,319,3,16,2,11,202,2117,5,44,4,17,10,17,14,11,9,0,39,0,0,13,11,565,4,3,0,-1,-1,0
1,3,2,45,380,2,11,6,25,191,2401,8,43,9,17,13,17,14,17,3,2293,199,0,9,13,16,1440,14,1,0,-1,-1,0
0,9,2,32,113,2,17,3,20,149,2117,8,63,9,17,13,14,14,17,9,2658,16,4,8,13,19,841,12,1,0,-1,-1,0
0,3,4,33,319,3,27,2,11,278,2117,8,50,9,17,11,17,14,17,5,0,123,0,0,11,19,1217,3,2,0,-1,-1,0
0,6,4,33,319,3,27,2,11,292,2117,8,50,9,17,14,17,13,17,9,744,168,0,9,13,11,565,12,1,0,-1,-1,0
0,7,4,33,319,3,32,2,11,333,2117,8,59,9,17,14,17,14,17,9,2543,219,8,0,13,19,739,7,4,0,-1,-1,0
0,8,2,18,415,2,11,6,21,122,2117,8,54,8,17,16,17,14,17,6,0,195,0,4,13,19,678,5,1,0,-1,-1,0
0,2,4,16,329,2,16,5,20,168,2117,8,26,8,17,14,17,14,17,5,2684,195,0,0,11,19,1254,5,4,0,-1,-1,0
0,2,2,20,113,4,16,5,20,357,2541,8,43,9,17,16,17,10,17,5,0,109,0,3,11,19,841,11,1,0,-1,-1,100
