label_x,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro
0,2,2,33.0,321.0,3,30,3,29.0,275.0,1536.0,8,48.0,0,17,14,17,14,17,0,250.0,101.0,0,4,13,19,528.0,16,3.0,0,-1,-1,0
0,4,2,18.0,346.0,5,16,5,20.0,341.0,2058.0,8,37.0,9,17,10,17,14,17,9,93.0,28.0,0,0,13,19,1432.0,16,5.0,0,-1,-1,0
0,9,2,33.0,102.0,2,17,4,30.0,327.0,2485.0,8,63.0,9,17,16,17,10,17,9,63.0,3.0,2,1,13,19,484.0,7,2.0,1,-1,-1,0
0,5,2,20.0,439.0,5,34,7,19.0,140.0,2415.0,8,25.0,5,17,16,17,13,17,5,55.0,48.0,0,0,13,19,917.0,7,3.0,1,-1,-1,0
0,7,2,19.0,354.0,2,34,7,20.0,156.0,1250.0,8,37.0,0,16,15,16,15,16,0,220.0,99.0,0,0,11,19,199.0,5,5.0,0,-1,-1,80
1,9,2,29.0,107.0,5,34,7,20.0,266.0,2535.0,8,37.0,5,17,15,17,16,17,5,41.0,169.0,0,2,13,11,480.0,2,1.0,0,-1,-1,0
0,7,2,21.0,272.0,5,32,6,20.0,222.0,2174.0,8,43.0,0,16,16,16,15,16,0,137.0,143.0,5,0,11,19,1030.0,16,1.0,0,-1,-1,0
0,7,2,36.0,364.0,2,11,8,32.0,305.0,1267.0,8,28.0,9,17,14,17,13,17,9,2.0,43.0,7,9,13,19,483.0,13,5.0,0,-1,-1,0
0,8,4,42.0,350.0,2,17,4,12.0,255.0,2346.0,8,64.0,5,17,16,17,13,17,5,1567.0,150.0,0,0,13,19,931.0,11,13.0,0,-1,-1,0
1,3,3,42.0,414.0,2,24,2,24.0,311.0,1594.0,8,16.0,9,17,16,17,10,17,9,2363.0,121.0,1,7,11,19,1220.0,5,7.0,0,-1,-1,0
0,3,2,20.0,238.0,4,32,6,28.0,141.0,2417.0,8,54.0,9,17,16,17,10,17,9,74.0,97.0,3,0,13,19,705.0,7,3.0,0,1,-1,60
0,7,2,14.0,103.0,2,16,5,19.0,194.0,2116.0,8,49.0,7,17,10,17,13,17,7,140.0,125.0,0,2,13,19,881.0,7,4.0,0,-1,-1,0
0,2,2,24.0,437.0,5,14,6,23.0,357.0,2176.0,8,43.0,5,17,16,17,13,17,5,128.0,121.0,2,4,13,19,1054.0,9,5.0,0,-1,-1,0
0,5,2,21.0,178.0,4,34,7,29.0,279.0,2147.0,5,52.0,0,16,16,16,14,16,0,52.0,115.0,1,9,13,19,717.0,7,3.0,0,-1,-1,0
0,8,2,19.0,248.0,4,27,2,12.0,289.0,2070.0,8,14.0,9,17,14,17,13,17,9,102.0,130.0,0,7,10,19,865.0,6,24.0,1,-1,-1,0
0,2,4,15.0,310.0,2,17,4,12.0,255.0,2358.0,8,43.0,9,17,16,17,13,17,9,88.0,16.0,0,0,11,19,912.0,10,5.0,0,-1,-1,0
0,8,2,35.0,210.0,2,16,5,28.0,127.0,2175.0,8,47.0,4,15,15,11,15,15,4,43.0,17.0,0,0,10,19,1258.0,6,18.0,1,-1,-1,0
0,2,2,21.0,362.0,5,16,5,21.0,123.0,2404.0,8,55.0,6,17,14,17,14,17,6,86.0,91.0,0,9,13,19,787.0,6,3.0,0,-1,-1,0
0,8,2,23.0,316.0,3,17,4,30.0,339.0,2408.0,8,41.0,9,17,16,17,10,17,9,62.0,115.0,1,9,13,19,1073.0,6,5.0,0,-1,-1,0
0,7,2,21.0,279.0,5,16,5,19.0,239.0,2467.0,8,38.0,8,17,14,17,14,17,8,88.0,110.0,0,0,13,19,48.0,7,5.0,0,-1,-1,0
0,7,2,15.0,120.0,4,19,6,30.0,221.0,2497.0,8,17.0,8,17,16,17,10,17,8,79.0,36.0,7,9,14,19,370.0,14,4.0,0,-1,-1,0
0,5,2,46.0,436.0,2,16,5,20.0,128.0,1768.0,8,38.0,7,17,14,17,13,17,7,16.0,90.0,0,1,13,19,758.0,20,1.0,0,-1,-1,0
0,5,2,16.0,322.0,2,34,7,19.0,258.0,2122.0,8,58.0,0,11,15,11,15,11,0,22.0,165.0,0,3,12,19,463.0,7,2.0,0,-1,-1,0
0,8,2,12.0,125.0,2,27,2,11.0,232.0,1668.0,8,36.0,8,17,15,17,16,17,8,134.0,171.0,0,0,13,19,328.0,7,4.0,0,-1,-1,0
0,8,2,14.0,136.0,2,32,6,29.0,218.0,2411.0,8,40.0,8,17,10,17,10,17,8,1142.0,119.0,0,0,11,19,1068.0,6,2.0,1,-1,-1,0
0,3,4,32.0,314.0,3,16,5,21.0,130.0,2163.0,8,40.0,0,16,10,16,11,16,0,2443.0,115.0,0,9,13,19,1254.0,2,8.0,0,-1,-1,0
0,2,2,28.0,163.0,5,16,5,20.0,189.0,2390.0,8,26.0,6,17,10,17,13,17,6,151.0,52.0,7,9,11,19,683.0,9,3.0,0,-1,-1,0
0,3,2,16.0,396.0,2,34,7,35.0,134.0,2133.0,8,50.0,6,17,16,17,14,17,6,57.0,30.0,7,8,13,19,961.0,17,3.0,0,-1,-1,0
1,5,2,27.0,286.0,4,16,5,28.0,257.0,2432.0,8,26.0,4,17,10,17,13,17,4,130.0,81.0,8,8,13,19,1471.0,6,5.0,0,-1,-1,0
0,3,2,35.0,219.0,2,32,6,14.0,143.0,1160.0,8,66.0,9,17,15,17,11,17,9,82.0,60.0,4,9,11,19,1374.0,6,6.0,1,1,-1,40
0,9,2,35.0,160.0,2,34,7,21.0,234.0,1658.0,8,16.0,4,17,16,17,15,17,4,92.0,101.0,7,9,11,19,878.0,9,2.0,0,-1,-1,0
0,2,2,14.0,433.0,2,27,2,12.0,252.0,2179.0,8,48.0,4,17,14,17,14,17,4,2748.0,106.0,0,1,13,19,63.0,2,2.0,0,-1,-1,0
0,3,2,20.0,176.0,4,27,2,12.0,289.0,1908.0,8,53.0,7,17,14,17,15,17,7,127.0,220.0,0,0,12,16,862.0,8,4.0,0,-1,-1,0
0,5,2,42.0,181.0,2,16,5,19.0,221.0,2556.0,8,14.0,9,17,16,17,15,17,9,122.0,26.0,1,0,13,19,1446.0,2,6.0,0,-1,-1,0
0,3,2,28.0,153.0,5,16,5,12.0,180.0,2352.0,8,51.0,8,17,14,17,13,17,8,81.0,94.0,7,9,10,19,1454.0,6,5.0,1,1,-1,20
0,7,2,22.0,378.0,3,16,5,20.0,159.0,1255.0,8,38.0,0,16,15,16,16,16,0,28.0,216.0,0,0,13,19,654.0,4,4.0,0,-1,-1,0
0,7,2,21.0,370.0,5,16,5,21.0,352.0,2393.0,8,46.0,4,17,16,17,13,17,4,266.0,114.0,3,0,13,19,1334.0,9,3.0,0,1,-1,100
0,4,2,19.0,138.0,4,23,6,29.0,254.0,2147.0,8,21.0,4,17,15,17,16,17,4,136.0,101.0,0,9,13,19,1016.0,7,4.0,1,-1,-1,0
0,8,2,12.0,280.0,2,20,6,20.0,193.0,1764.0,8,42.0,9,17,15,17,11,17,8,104.0,211.0,9,9,13,19,908.0,16,3.0,0,-1,-1,0
0,7,2,21.0,326.0,5,20,6,20.0,191.0,1689.0,8,37.0,2,17,16,17,16,17,2,45.0,27.0,0,0,13,1,954.0,11,4.0,0,1,-1,100
0,8,2,18.0,103.0,2,16,5,21.0,200.0,2133.0,8,44.0,2,17,10,17,13,17,2,116.0,83.0,4,6,11,19,861.0,14,1.0,0,-1,-1,0
0,5,2,21.0,363.0,5,34,7,19.0,213.0,1442.0,8,28.0,0,16,16,16,13,16,0,1749.0,13.0,3,4,11,19,1344.0,7,3.0,1,1,-1,100
