label_x,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro
0,7.0,2.0,26.0,380.0,4.0,31.0,3.0,20.0,346.0,2117.0,8.0,59.0,7.0,17.0,14.0,17.0,14.0,17.0,7.0,0.0,17.0,0.0,0.0,13.0,19.0,565.0,11.0,1.0,0.0,-1.0,-1.0,0.0
0,2.0,2.0,42.0,130.0,2.0,23.0,6.0,18.0,156.0,2401.0,8.0,25.0,8.0,17.0,16.0,17.0,14.0,17.0,8.0,0.0,171.0,0.0,0.0,13.0,19.0,1026.0,10.0,6.0,0.0,-1.0,-1.0,0.0
0,3.0,2.0,26.0,341.0,2.0,11.0,8.0,32.0,301.0,2438.0,8.0,28.0,7.0,17.0,14.0,17.0,13.0,17.0,7.0,879.0,168.0,0.0,0.0,13.0,19.0,508.0,11.0,1.0,0.0,-1.0,-1.0,0.0
0,8.0,2.0,20.0,328.0,5.0,31.0,3.0,20.0,346.0,2117.0,8.0,50.0,9.0,17.0,14.0,17.0,13.0,17.0,9.0,0.0,78.0,0.0,9.0,11.0,19.0,565.0,6.0,1.0,1.0,-1.0,-1.0,0.0
0,2.0,2.0,20.0,372.0,5.0,16.0,5.0,20.0,202.0,1815.0,8.0,54.0,9.0,17.0,10.0,17.0,13.0,17.0,9.0,0.0,98.0,0.0,8.0,11.0,19.0,842.0,6.0,1.0,1.0,-1.0,-1.0,0.0
0,8.0,2.0,16.0,212.0,5.0,16.0,5.0,20.0,220.0,2231.0,8.0,54.0,9.0,17.0,16.0,17.0,14.0,17.0,9.0,0.0,211.0,1.0,0.0,13.0,19.0,1424.0,9.0,3.0,0.0,-1.0,-1.0,0.0
0,5.0,2.0,20.0,372.0,5.0,17.0,4.0,31.0,208.0,1505.0,8.0,21.0,9.0,17.0,16.0,17.0,14.0,17.0,9.0,0.0,102.0,0.0,0.0,13.0,19.0,220.0,7.0,2.0,0.0,-1.0,-1.0,0.0
0,7.0,2.0,13.0,375.0,2.0,32.0,6.0,19.0,312.0,2117.0,8.0,57.0,0.0,16.0,15.0,16.0,16.0,16.0,0.0,0.0,98.0,0.0,1.0,11.0,19.0,1123.0,6.0,1.0,1.0,-1.0,-1.0,0.0
0,5.0,2.0,13.0,237.0,2.0,34.0,7.0,21.0,8.0,1786.0,8.0,17.0,2.0,17.0,16.0,17.0,14.0,17.0,2.0,1674.0,168.0,0.0,0.0,13.0,19.0,848.0,7.0,1.0,1.0,-1.0,-1.0,0.0
0,3.0,2.0,20.0,440.0,2.0,24.0,2.0,23.0,305.0,1603.0,8.0,54.0,9.0,17.0,10.0,11.0,10.0,17.0,9.0,0.0,22.0,4.0,3.0,13.0,19.0,167.0,9.0,1.0,0.0,1.0,-1.0,20.0
0,8.0,2.0,20.0,328.0,5.0,21.0,4.0,12.0,310.0,2231.0,8.0,21.0,9.0,17.0,10.0,17.0,14.0,17.0,9.0,0.0,195.0,0.0,0.0,13.0,16.0,841.0,3.0,0.0,0.0,-1.0,-1.0,0.0
0,3.0,2.0,46.0,354.0,2.0,19.0,6.0,30.0,228.0,1786.0,8.0,38.0,9.0,17.0,16.0,17.0,10.0,17.0,9.0,1728.0,168.0,0.0,0.0,13.0,19.0,369.0,2.0,2.0,0.0,-1.0,-1.0,0.0
