label_x,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro
0,8,2,27,343,5,16,5,20,202,2117,8,43,9,11,10,17,13,17,9,0,78,0,1,11,19,842,7,1,1,-1,-1,0
0,7,2,45,421,2,34,7,19,124,1570,8,47,0,16,15,16,11,16,8,0,78,0,9,11,19,1243,7,1,1,-1,-1,0
0,7,2,16,106,2,16,5,20,183,1570,8,38,8,11,10,11,13,11,8,0,90,0,0,13,19,705,10,3,0,-1,-1,0
0,3,2,33,319,3,19,6,16,153,1505,8,62,8,11,13,17,13,17,8,0,65,9,9,11,19,1444,5,1,0,1,-1,60
0,7,2,18,103,2,16,5,20,188,2401,8,21,4,11,10,11,13,11,4,0,78,0,9,11,19,298,7,1,1,1,-1,0
0,3,2,45,415,2,12,2,29,203,2353,8,47,7,11,10,17,10,17,7,0,206,0,0,13,19,160,10,33,0,-1,-1,0
0,3,4,29,106,2,16,5,11,334,2117,8,60,9,11,10,17,13,11,9,0,168,0,0,13,19,1481,7,1,1,-1,-1,0
0,7,2,42,121,2,16,5,20,183,2117,8,69,7,11,10,17,13,11,8,0,78,0,4,11,19,705,7,1,1,-1,-1,0
0,8,2,21,343,5,16,5,20,202,2117,8,54,3,11,10,17,13,11,3,0,10,0,0,13,19,842,7,1,0,-1,-1,0
0,7,2,20,170,5,16,5,11,229,2117,8,54,8,11,10,11,13,11,6,0,171,0,0,11,11,998,8,1,0,-1,-1,0
0,8,2,18,186,2,16,5,20,202,2117,8,54,3,11,10,11,13,17,4,0,86,2,6,13,19,842,7,2,0,-1,-1,0
0,8,2,21,125,2,16,5,20,124,2117,8,57,8,14,10,17,14,15,8,0,123,5,6,13,19,1243,2,10,0,-1,-1,0
0,8,2,32,424,5,16,5,20,202,2117,8,50,7,11,10,17,13,11,7,0,17,8,9,13,19,842,10,2,0,-1,-1,0
0,7,2,41,172,2,34,7,20,260,1269,8,67,3,11,15,11,15,11,3,0,199,5,9,11,19,487,18,1,0,-1,-1,0
0,3,4,33,319,3,32,6,19,245,2117,8,47,9,17,16,17,11,17,9,0,65,1,2,13,19,978,2,6,0,-1,-1,0
0,5,2,42,424,5,16,5,19,124,1570,8,54,9,17,10,17,11,17,9,0,78,0,7,13,19,1243,7,1,1,-1,-1,0
0,3,4,21,319,3,17,4,11,246,2117,8,21,9,11,16,17,13,11,9,0,94,4,9,11,19,1445,7,1,1,-1,-1,0
0,3,4,18,342,2,32,2,29,311,2401,8,38,8,11,10,17,10,11,8,0,86,1,7,11,19,1217,9,1,0,1,-1,100
0,3,2,27,319,5,27,2,19,203,1544,8,38,0,16,15,16,16,16,0,0,218,0,6,13,19,160,13,1,0,-1,-1,0
0,2,2,20,371,4,32,7,19,260,2117,8,38,6,16,15,16,16,16,6,0,16,6,6,13,19,487,2,3,0,-1,-1,0
0,7,2,18,307,2,16,5,19,124,2231,8,54,3,11,10,17,15,17,3,0,173,2,9,12,19,1243,15,1,0,1,-1,100
