label_x,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes_x,u_feedLifeCycle_x,u_phonePrice,u_browserLifeCycle,u_browserMode,u_feedLifeCycle_y,u_refreshTimes_y,i_regionEntity,i_cat,i_dislikeTimes,i_upTimes,i_dtype,e_ch,e_m,e_po,e_rn,e_section,label_y,cillabel,pro
1,5,2,17,343,5,16,5,19,124,1570,8,38,3,11,10,11,11,11,3,0,78,2,9,12,11,1243,1,1,0,-1,-1,0
0,6,4,33,319,3,27,2,11,202,2117,8,20,9,17,10,17,13,17,9,2859,200,0,0,13,19,842,2,12,0,1,-1,100
0,7,2,20,296,4,12,8,20,203,1072,8,47,0,16,15,16,15,16,0,0,0,7,9,11,14,160,7,1,0,-1,-1,0
0,7,2,32,179,5,34,7,20,166,1555,8,47,0,16,15,16,15,16,0,0,100,0,0,11,16,197,9,1,0,-1,-1,0
0,8,2,42,130,2,16,5,21,183,2401,8,54,9,17,10,17,13,17,8,0,98,0,9,10,19,705,6,1,1,-1,-1,0
0,5,2,32,387,2,34,7,20,322,1524,8,38,7,17,13,17,13,17,7,0,94,7,9,11,19,293,12,1,0,1,-1,100
0,8,2,21,220,5,32,6,32,188,1560,8,67,4,15,10,11,13,15,4,0,86,6,8,11,19,298,15,1,0,1,-1,80
0,8,3,34,216,2,16,5,28,124,2117,8,55,0,16,15,16,16,16,0,2647,199,0,9,13,19,1243,7,1,1,-1,-1,0
0,2,3,18,228,2,16,5,19,164,2117,8,40,0,16,15,16,15,16,0,0,79,1,4,13,11,619,8,1,0,-1,-1,0
0,8,2,41,318,2,32,6,32,187,2401,8,43,7,17,14,17,15,17,7,1177,17,0,6,11,11,640,9,3,0,-1,-1,0
0,5,2,16,310,2,16,5,20,334,2117,8,20,5,11,10,15,15,11,5,0,78,1,9,10,19,1481,6,1,1,-1,-1,0
0,6,4,33,319,3,27,2,11,117,1555,8,59,4,17,11,17,14,17,4,2990,199,0,2,13,19,14,19,1,0,-1,-1,0
0,5,2,21,424,5,34,7,19,260,2117,8,40,0,16,15,16,15,16,0,0,143,3,6,13,19,487,7,1,1,-1,-1,0
0,3,2,17,254,5,16,5,19,164,2117,8,60,7,17,10,17,11,17,7,0,17,0,0,13,11,619,8,7,0,-1,-1,0
0,6,4,33,319,3,27,2,11,246,2117,8,21,8,17,10,17,13,17,8,0,30,0,4,11,19,1445,7,4,0,-1,-1,0
1,7,2,21,245,2,17,4,30,328,1505,8,47,4,17,16,17,10,17,4,0,108,0,1,13,19,519,5,5,0,-1,-1,0
0,7,2,21,434,5,34,7,21,304,2401,8,54,5,17,10,17,13,17,5,0,195,2,6,13,19,585,19,1,0,1,-1,40
0,5,2,11,437,2,34,7,20,153,1815,8,54,4,17,16,17,13,17,4,0,98,0,9,10,19,1444,6,1,1,-1,-1,0
0,4,2,18,342,2,16,5,20,334,1570,8,12,2,11,10,17,13,17,2,0,63,9,8,12,19,1481,4,5,0,-1,-1,0
0,3,2,18,324,2,34,7,21,200,2401,8,54,5,17,16,17,14,17,5,0,65,6,9,13,19,1391,14,1,0,1,-1,80
0,5,2,26,380,4,34,7,28,260,2117,8,60,9,17,16,17,11,17,9,0,0,5,7,13,19,487,2,11,0,-1,-1,0
0,7,2,36,208,2,31,3,20,346,2032,8,17,8,17,14,17,15,17,8,0,16,8,9,11,19,565,4,3,0,-1,-1,0
0,8,2,16,210,2,32,6,32,187,1186,8,65,7,17,14,17,14,17,7,2934,218,9,8,13,19,640,4,4,0,-1,-1,0
0,7,2,45,326,2,34,7,19,260,2117,8,60,0,16,15,16,15,16,0,0,37,9,9,13,11,487,3,1,0,-1,-1,0
0,8,2,27,162,5,34,7,19,147,2117,8,40,9,17,16,17,11,17,9,0,168,0,0,13,20,150,8,4,0,-1,-1,0
0,3,2,18,342,2,24,2,23,311,1667,8,17,8,17,16,17,10,17,8,2103,199,2,0,11,19,1217,18,1,0,-1,-1,0
0,5,2,17,343,5,20,6,19,345,1410,8,38,0,16,15,16,16,16,0,0,25,6,7,14,19,757,13,1,0,-1,-1,0
0,8,2,46,354,2,23,6,35,245,2117,8,47,7,17,16,17,11,17,7,1463,143,6,2,13,19,978,10,2,0,-1,-1,0
0,5,2,20,372,5,34,7,19,147,2117,8,40,0,16,15,16,17,16,0,0,78,3,9,11,19,150,7,1,1,-1,-1,0
0,3,2,41,304,2,34,7,21,339,1505,8,36,7,17,16,17,13,17,7,0,112,0,6,11,19,966,6,1,1,1,-1,80
0,7,2,13,271,2,32,6,20,229,2117,8,34,5,17,16,17,14,17,5,0,123,7,7,13,19,998,5,6,0,-1,-1,0
0,6,4,33,319,3,27,2,11,170,2401,8,54,2,11,14,17,14,11,2,0,140,6,7,13,19,1474,18,1,0,-1,-1,0
0,8,2,21,220,5,16,5,21,243,2401,8,54,8,17,14,17,14,17,8,0,167,0,0,13,19,56,18,1,0,-1,-1,0
0,7,2,20,399,2,34,7,21,200,2251,8,12,2,17,16,17,13,17,2,0,177,3,1,13,19,1391,19,1,0,1,-1,40
0,3,2,16,226,2,11,8,36,299,2117,8,63,0,11,10,17,13,11,0,0,152,9,9,13,19,784,8,2,0,-1,-1,0
0,6,4,33,319,3,27,2,11,153,1815,5,53,6,17,16,17,14,17,6,2780,36,1,3,13,19,1444,2,3,0,-1,-1,0
0,3,2,26,239,2,16,5,11,176,2117,8,40,6,17,14,17,13,17,6,2293,199,0,0,13,19,739,7,2,0,-1,-1,0
0,8,2,22,203,4,32,6,19,312,2117,8,40,0,16,15,16,16,16,0,0,57,0,6,11,19,1123,6,1,1,-1,-1,0
0,6,4,33,319,3,27,2,11,176,2117,8,36,9,17,14,17,14,17,9,1230,172,0,0,13,19,739,10,16,0,-1,-1,0
0,8,2,30,113,5,32,6,20,312,1821,8,38,9,17,16,17,11,17,9,777,72,3,1,13,19,1123,10,3,0,-1,-1,0
0,8,2,28,263,4,30,3,28,278,1555,8,50,9,17,14,17,14,17,9,0,56,1,3,13,19,506,13,1,0,-1,-1,0
0,5,2,19,199,4,34,7,20,137,2117,8,54,0,11,16,17,14,11,0,0,112,6,7,13,19,928,11,1,0,-1,-1,0
0,5,2,20,282,5,23,6,28,245,2117,8,44,0,16,15,16,17,16,0,0,78,5,9,10,19,978,6,1,1,-1,-1,0
0,6,4,33,319,3,27,2,11,127,2438,8,17,9,17,14,17,14,17,9,0,98,0,1,13,19,778,7,1,1,1,-1,40
0,7,2,17,272,4,16,5,35,324,2401,8,54,9,17,14,17,14,17,9,0,112,2,5,13,19,1319,9,3,0,-1,-1,0
0,7,2,16,310,2,32,6,35,312,2117,8,47,0,16,15,16,15,16,0,2658,112,0,5,11,19,1123,7,1,1,-1,-1,0
0,8,2,20,170,4,32,6,20,141,2117,8,40,0,16,15,16,16,16,0,0,57,0,8,13,19,1348,11,1,0,-1,-1,0
0,8,2,26,380,4,32,6,32,188,2469,8,17,4,17,10,17,14,17,4,0,112,6,9,11,19,298,6,1,1,-1,-1,0
0,7,2,30,113,5,16,5,20,334,2117,8,54,7,17,10,17,13,17,7,0,168,0,9,10,19,1481,6,1,1,-1,-1,0
0,8,2,20,170,4,16,5,13,168,2117,8,54,5,17,14,17,14,17,5,0,17,3,6,13,19,847,2,3,0,-1,-1,0
