,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.974,0.658,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
Training_DT,0.953,0.546,0.08,0.078,0.082,0.033,0.078,0.023,0.977,0.922
Training_KNN,0.973,0.578,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
Training_NB,0.071,0.671,0.051,0.969,0.026,0.05,0.969,0.953,0.047,0.031
Training_SVM,0.974,0.627,0.0,0.0,0.0,0.069,0.0,0.0,1.0,1.0
Training_RF,0.972,0.667,0.104,0.062,0.308,0.086,0.062,0.004,0.996,0.938
Training_XGB,0.971,0.671,0.1,0.062,0.25,0.085,0.062,0.005,0.995,0.938
Holdout_LR,0.974,0.638,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
Holdout_DT,0.951,0.561,0.116,0.125,0.108,0.039,0.125,0.027,0.973,0.875
Holdout_KNN,0.974,0.627,0.03,0.016,0.5,0.061,0.016,0.0,1.0,0.984
Holdout_NB,0.905,0.654,0.086,0.172,0.057,0.048,0.172,0.075,0.925,0.828
Holdout_SVM,0.974,0.647,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
Holdout_RF,0.972,0.686,0.169,0.109,0.368,0.143,0.109,0.005,0.995,0.891
Holdout_XGB,0.971,0.662,0.165,0.109,0.333,0.147,0.109,0.006,0.994,0.891
CTGAN_LR,0.974,0.481,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
CTGAN_DT,0.923,0.504,0.04,0.062,0.03,0.026,0.062,0.054,0.946,0.938
CTGAN_KNN,0.974,0.538,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
CTGAN_NB,0.886,0.509,0.079,0.188,0.05,0.033,0.188,0.095,0.905,0.812
CTGAN_SVM,0.974,0.513,0.0,0.0,0.0,0.027,0.0,0.0,1.0,1.0
CTGAN_RF,0.974,0.538,0.0,0.0,0.0,0.031,0.0,0.0,1.0,1.0
CTGAN_XGB,0.974,0.478,0.0,0.0,0.0,0.024,0.0,0.0,1.0,1.0
CTABGAN_LR,0.974,0.449,0.0,0.0,0.0,0.023,0.0,0.0,1.0,1.0
CTABGAN_DT,0.926,0.513,0.052,0.078,0.039,0.027,0.078,0.051,0.949,0.922
CTABGAN_KNN,0.974,0.455,0.0,0.0,0.0,0.025,0.0,0.0,1.0,1.0
CTABGAN_NB,0.959,0.389,0.0,0.0,0.0,0.02,0.0,0.016,0.984,1.0
CTABGAN_SVM,0.974,0.491,0.0,0.0,0.0,0.027,0.0,0.0,1.0,1.0
CTABGAN_RF,0.974,0.456,0.0,0.0,0.0,0.024,0.0,0.0,1.0,1.0
CTABGAN_XGB,0.973,0.417,0.0,0.0,0.0,0.022,0.0,0.001,0.999,1.0
TVAE_LR,0.974,0.421,0.0,0.0,0.0,0.021,0.0,0.0,1.0,1.0
TVAE_DT,0.962,0.494,0.0,0.0,0.0,0.026,0.0,0.012,0.988,1.0
TVAE_KNN,0.974,0.496,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
TVAE_NB,0.256,0.48,0.048,0.719,0.025,0.025,0.719,0.756,0.244,0.281
TVAE_SVM,0.974,0.55,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
TVAE_RF,0.974,0.487,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
TVAE_XGB,0.974,0.514,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
DS_LR,0.974,0.496,0.0,0.0,0.0,0.027,0.0,0.0,1.0,1.0
DS_DT,0.92,0.51,0.048,0.078,0.035,0.027,0.078,0.057,0.943,0.922
DS_KNN,0.974,0.49,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
DS_NB,0.047,0.538,0.052,1.0,0.027,0.032,1.0,0.978,0.022,0.0
DS_SVM,0.974,0.534,0.0,0.0,0.0,0.029,0.0,0.0,1.0,1.0
DS_RF,0.974,0.572,0.0,0.0,0.0,0.033,0.0,0.0,1.0,1.0
DS_XGB,0.974,0.5,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
Tabula_LR,0.974,0.61,0.0,0.0,0.0,0.033,0.0,0.0,1.0,1.0
Tabula_DT,0.929,0.504,0.033,0.047,0.026,0.026,0.047,0.047,0.953,0.953
Tabula_KNN,0.974,0.493,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
Tabula_NB,0.076,0.645,0.053,1.0,0.027,0.059,1.0,0.948,0.052,0.0
Tabula_SVM,0.974,0.542,0.0,0.0,0.0,0.028,0.0,0.0,1.0,1.0
Tabula_RF,0.972,0.568,0.0,0.0,0.0,0.035,0.0,0.002,0.998,1.0
Tabula_XGB,0.972,0.564,0.0,0.0,0.0,0.031,0.0,0.002,0.998,1.0
