,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.974,0.658,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
Training_DT,0.953,0.546,0.08,0.078,0.082,0.033,0.078,0.023,0.977,0.922
Training_KNN,0.973,0.578,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
Training_NB,0.071,0.671,0.051,0.969,0.026,0.05,0.969,0.953,0.047,0.031
Training_SVM,0.974,0.627,0.0,0.0,0.0,0.069,0.0,0.0,1.0,1.0
Training_RF,0.972,0.667,0.104,0.062,0.308,0.086,0.062,0.004,0.996,0.938
Training_XGB,0.971,0.671,0.1,0.062,0.25,0.085,0.062,0.005,0.995,0.938
Holdout_LR,0.974,0.638,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
Holdout_DT,0.951,0.561,0.116,0.125,0.108,0.039,0.125,0.027,0.973,0.875
Holdout_KNN,0.974,0.627,0.03,0.016,0.5,0.061,0.016,0.0,1.0,0.984
Holdout_NB,0.905,0.654,0.086,0.172,0.057,0.048,0.172,0.075,0.925,0.828
Holdout_SVM,0.974,0.647,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
Holdout_RF,0.972,0.686,0.169,0.109,0.368,0.143,0.109,0.005,0.995,0.891
Holdout_XGB,0.971,0.662,0.165,0.109,0.333,0.147,0.109,0.006,0.994,0.891
training_CTGAN_1_LR,0.974,0.64,0.0,0.0,0.0,0.061,0.0,0.0,1.0,1.0
training_CTGAN_1_DT,0.951,0.56,0.09,0.094,0.087,0.036,0.094,0.026,0.974,0.906
training_CTGAN_1_KNN,0.973,0.579,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_CTGAN_1_NB,0.898,0.654,0.087,0.188,0.057,0.047,0.188,0.083,0.917,0.812
training_CTGAN_1_SVM,0.974,0.625,0.0,0.0,0.0,0.066,0.0,0.0,1.0,1.0
training_CTGAN_1_RF,0.972,0.656,0.104,0.062,0.308,0.088,0.062,0.004,0.996,0.938
training_CTGAN_1_XGB,0.971,0.662,0.101,0.062,0.267,0.077,0.062,0.005,0.995,0.938
holdout_CTGAN_1_LR,0.974,0.623,0.0,0.0,0.0,0.052,0.0,0.0,1.0,1.0
holdout_CTGAN_1_DT,0.942,0.572,0.122,0.156,0.1,0.04,0.156,0.037,0.963,0.844
holdout_CTGAN_1_KNN,0.974,0.62,0.03,0.016,0.5,0.059,0.016,0.0,1.0,0.984
holdout_CTGAN_1_NB,0.902,0.642,0.09,0.188,0.059,0.045,0.188,0.079,0.921,0.812
holdout_CTGAN_1_SVM,0.974,0.653,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
holdout_CTGAN_1_RF,0.972,0.672,0.167,0.109,0.35,0.134,0.109,0.005,0.995,0.891
holdout_CTGAN_1_XGB,0.97,0.631,0.161,0.109,0.304,0.142,0.109,0.007,0.993,0.891
training_CTGAN_2_LR,0.974,0.63,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
training_CTGAN_2_DT,0.953,0.538,0.064,0.062,0.066,0.031,0.062,0.024,0.976,0.938
training_CTGAN_2_KNN,0.972,0.578,0.0,0.0,0.0,0.04,0.0,0.002,0.998,1.0
training_CTGAN_2_NB,0.897,0.629,0.073,0.156,0.048,0.042,0.156,0.083,0.917,0.844
training_CTGAN_2_SVM,0.974,0.625,0.0,0.0,0.0,0.062,0.0,0.0,1.0,1.0
training_CTGAN_2_RF,0.972,0.69,0.104,0.062,0.308,0.091,0.062,0.004,0.996,0.938
training_CTGAN_2_XGB,0.972,0.628,0.125,0.078,0.312,0.081,0.078,0.005,0.995,0.922
holdout_CTGAN_2_LR,0.974,0.62,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
holdout_CTGAN_2_DT,0.948,0.568,0.123,0.141,0.11,0.04,0.141,0.03,0.97,0.859
holdout_CTGAN_2_KNN,0.974,0.618,0.03,0.016,0.5,0.058,0.016,0.0,1.0,0.984
holdout_CTGAN_2_NB,0.901,0.627,0.075,0.156,0.05,0.042,0.156,0.079,0.921,0.844
holdout_CTGAN_2_SVM,0.974,0.651,0.0,0.0,0.0,0.098,0.0,0.0,1.0,1.0
holdout_CTGAN_2_RF,0.972,0.66,0.167,0.109,0.35,0.142,0.109,0.005,0.995,0.891
holdout_CTGAN_2_XGB,0.97,0.636,0.157,0.109,0.28,0.122,0.109,0.007,0.993,0.891
training_CTGAN_3_LR,0.974,0.62,0.0,0.0,0.0,0.043,0.0,0.0,1.0,1.0
training_CTGAN_3_DT,0.952,0.562,0.106,0.109,0.103,0.038,0.109,0.025,0.975,0.891
training_CTGAN_3_KNN,0.973,0.57,0.0,0.0,0.0,0.039,0.0,0.001,0.999,1.0
training_CTGAN_3_NB,0.895,0.617,0.072,0.156,0.047,0.04,0.156,0.085,0.915,0.844
training_CTGAN_3_SVM,0.974,0.62,0.0,0.0,0.0,0.058,0.0,0.0,1.0,1.0
training_CTGAN_3_RF,0.972,0.64,0.104,0.062,0.308,0.082,0.062,0.004,0.996,0.938
training_CTGAN_3_XGB,0.972,0.598,0.103,0.062,0.286,0.074,0.062,0.004,0.996,0.938
holdout_CTGAN_3_LR,0.974,0.615,0.0,0.0,0.0,0.051,0.0,0.0,1.0,1.0
holdout_CTGAN_3_DT,0.942,0.572,0.123,0.156,0.101,0.04,0.156,0.037,0.963,0.844
holdout_CTGAN_3_KNN,0.974,0.594,0.03,0.016,0.5,0.053,0.016,0.0,1.0,0.984
holdout_CTGAN_3_NB,0.899,0.617,0.074,0.156,0.049,0.04,0.156,0.082,0.918,0.844
holdout_CTGAN_3_SVM,0.974,0.651,0.0,0.0,0.0,0.095,0.0,0.0,1.0,1.0
holdout_CTGAN_3_RF,0.972,0.656,0.167,0.109,0.35,0.14,0.109,0.005,0.995,0.891
holdout_CTGAN_3_XGB,0.971,0.62,0.184,0.125,0.348,0.14,0.125,0.006,0.994,0.875
training_CTGAN_4_LR,0.974,0.592,0.0,0.0,0.0,0.04,0.0,0.0,1.0,1.0
training_CTGAN_4_DT,0.951,0.568,0.117,0.125,0.11,0.04,0.125,0.027,0.973,0.875
training_CTGAN_4_KNN,0.973,0.57,0.0,0.0,0.0,0.04,0.0,0.001,0.999,1.0
training_CTGAN_4_NB,0.881,0.59,0.064,0.156,0.04,0.036,0.156,0.1,0.9,0.844
training_CTGAN_4_SVM,0.974,0.58,0.0,0.0,0.0,0.048,0.0,0.0,1.0,1.0
