label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
1,3,2,45,292,4,16,4,19,215,2117,8,12,0,10
0,5,2,24,262,5,20,4,30,305,1186,8,54,4,17
0,8,2,30,308,4,16,5,19,124,2117,8,37,3,16
0,2,2,17,136,2,16,5,13,139,2231,8,12,0,11
0,5,2,24,441,5,34,7,21,200,2401,5,53,6,17
0,4,2,44,297,5,16,5,21,257,2095,8,20,5,17
0,2,3,26,396,5,30,3,20,278,2117,8,50,1,17
0,2,2,11,264,4,34,5,14,200,2117,8,26,4,17
0,2,2,13,197,2,11,4,23,275,1631,8,19,8,17
0,2,2,14,263,2,20,5,28,131,1135,8,37,0,16
0,2,2,32,230,2,15,8,31,241,2418,8,18,7,17
0,3,4,20,380,5,19,6,30,228,1505,8,17,4,17
0,5,2,21,429,2,34,7,21,260,2401,8,54,2,17
0,3,2,20,199,2,24,2,23,288,1603,8,36,4,17
0,3,2,11,310,2,23,6,28,208,1744,8,44,2,16
0,3,2,20,207,5,19,6,30,228,1505,8,67,9,17
1,5,2,11,170,5,16,5,19,124,2117,8,40,7,16
0,7,3,16,418,5,21,3,28,207,1284,8,44,0,17
0,3,2,17,304,3,12,4,21,117,2103,8,17,4,17
0,6,4,33,319,3,27,2,11,130,2117,8,52,0,10
1,7,2,20,113,5,16,5,19,203,2117,8,49,0,16
0,5,2,17,354,5,16,5,21,262,2401,8,54,6,17
0,4,2,46,122,2,16,3,28,168,1555,8,26,5,17
0,7,2,14,199,2,32,6,19,260,1072,8,47,0,16
0,3,2,25,262,2,11,4,28,216,2401,8,37,7,17
0,8,2,41,424,5,16,5,20,124,2117,8,47,6,17
0,6,4,33,319,3,27,2,11,117,2401,8,13,0,15
0,3,2,20,215,2,23,6,29,249,1284,8,38,0,17
0,2,2,27,412,2,31,3,28,346,1555,8,50,9,17
0,7,2,16,348,4,34,7,13,245,1629,8,54,2,17
0,3,2,32,207,5,16,5,21,288,1269,8,26,7,17
0,8,2,45,179,5,34,7,21,168,2401,5,53,6,17
0,2,2,28,296,2,32,3,16,248,1704,8,54,5,17
0,3,2,30,359,2,30,8,20,329,2401,8,34,2,17
0,2,2,28,431,5,31,3,20,278,1555,8,50,8,17
0,3,2,42,162,5,21,6,32,357,1413,8,34,8,17
0,5,4,33,371,2,16,5,11,220,1186,8,36,8,15
0,8,2,45,328,2,20,7,28,260,2401,8,55,0,11
0,5,2,20,354,2,34,7,21,115,2401,5,53,2,17
0,6,4,33,319,3,27,2,11,344,1263,8,47,0,11
0,5,2,32,163,2,16,5,20,164,1058,8,49,0,15
0,5,2,29,179,2,34,7,21,200,2401,8,42,8,17
0,5,2,27,147,5,34,7,21,115,2401,8,63,8,17
0,2,2,20,245,2,16,5,28,139,2117,8,42,7,17
0,5,2,18,355,5,34,7,14,322,2401,8,54,8,17
1,3,2,29,341,2,20,6,35,138,2117,8,62,0,14
0,8,2,37,310,5,16,7,21,115,2401,8,54,4,17
0,3,2,20,321,5,11,4,35,257,2401,8,41,8,17
0,2,2,28,179,2,20,7,32,260,2541,8,21,0,16
0,5,2,30,387,2,34,4,21,217,2117,8,42,8,17
0,3,2,17,157,2,15,6,28,136,2438,8,53,5,17
0,5,2,40,220,2,17,5,21,137,1186,8,65,9,17
0,2,4,33,319,3,32,3,11,311,1186,8,38,6,17
0,2,2,11,103,2,20,6,28,290,1815,8,40,5,17
0,6,4,33,319,3,27,2,11,164,1171,8,37,0,17
0,3,2,18,335,2,16,5,28,240,2541,8,40,0,15
0,3,2,16,355,4,24,4,23,354,2401,8,40,3,17
0,2,2,41,373,5,34,7,29,310,2117,8,59,2,17
0,3,2,46,425,2,28,5,20,202,1891,8,36,2,17
0,3,4,46,199,2,24,2,23,311,1603,8,17,7,17
0,2,2,17,288,5,16,3,20,127,2401,8,59,8,17
0,7,2,19,162,5,17,7,32,176,2438,8,21,8,17
0,9,2,20,310,4,32,6,19,224,1072,8,44,0,16
