label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0,6,2,46.0,315.0,2,34,7,21.0,343.0,1518.0,8,50.0,6,17
0,8,2,21.0,233.0,5,32,6,32.0,184.0,2373.0,8,22.0,7,17
1,7,2,20.0,253.0,2,16,5,12.0,109.0,1939.0,8,46.0,6,17
0,2,2,15.0,138.0,2,16,5,19.0,205.0,2162.0,8,54.0,6,17
0,5,2,14.0,105.0,2,17,4,19.0,141.0,1850.0,8,22.0,4,17
0,2,2,19.0,417.0,2,34,7,20.0,325.0,1796.0,8,55.0,7,17
0,8,2,14.0,200.0,4,17,4,30.0,113.0,1542.0,8,54.0,5,17
0,7,2,22.0,378.0,3,16,5,19.0,168.0,2142.0,8,27.0,9,17
1,5,2,21.0,363.0,5,32,6,19.0,224.0,2171.0,8,42.0,9,17
0,7,3,16.0,147.0,2,31,3,19.0,354.0,2180.0,8,49.0,4,11
0,8,4,20.0,221.0,2,27,2,12.0,130.0,2131.0,8,23.0,8,17
0,3,2,17.0,211.0,4,16,5,21.0,319.0,1587.0,8,36.0,6,11
0,2,2,41.0,140.0,5,16,5,19.0,204.0,2522.0,8,17.0,6,17
0,5,2,32.0,357.0,2,32,6,20.0,132.0,2405.0,8,60.0,9,17
0,7,3,14.0,379.0,2,34,7,20.0,160.0,1519.0,8,57.0,0,16
0,8,2,34.0,276.0,5,34,7,19.0,163.0,2060.0,8,64.0,0,16
0,7,2,16.0,133.0,4,34,7,21.0,198.0,2406.0,8,38.0,0,16
0,2,2,14.0,434.0,2,16,5,19.0,338.0,2119.0,8,55.0,9,17
0,3,4,33.0,309.0,3,32,6,19.0,222.0,2140.0,8,33.0,8,17
0,2,2,16.0,208.0,2,23,6,18.0,156.0,2374.0,8,60.0,9,17
0,7,2,12.0,433.0,2,19,6,29.0,228.0,1783.0,8,17.0,9,17
0,5,4,26.0,254.0,4,27,2,12.0,282.0,1511.0,8,21.0,9,17
0,2,2,18.0,208.0,4,34,7,19.0,140.0,2117.0,8,54.0,5,17
0,5,4,33.0,311.0,3,16,5,20.0,178.0,2351.0,8,55.0,8,17
0,5,2,24.0,426.0,5,34,7,19.0,222.0,1498.0,8,58.0,0,16
0,6,2,32.0,306.0,3,32,6,19.0,230.0,2125.0,8,43.0,7,17
0,4,2,42.0,393.0,2,32,6,19.0,314.0,2131.0,8,53.0,0,16
