label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0,3,2,19,333,2,16,5,29,256,2107,8,37,0,17
0,5,2,24,281,5,34,4,20,257,1170,8,16,0,17
0,7,2,25,169,4,32,5,20,131,2107,8,57,7,17
0,7,2,21,159,2,16,6,20,222,2363,8,66,9,17
0,7,2,29,113,5,32,5,20,173,2114,8,55,4,17
0,5,2,20,321,5,26,5,20,228,2105,8,52,9,17
0,5,2,24,171,2,30,6,20,234,2102,8,39,9,17
0,3,4,20,323,5,27,6,29,325,2371,8,54,9,17
0,2,2,29,138,5,16,5,31,278,1484,8,9,9,17
0,3,2,29,126,2,32,6,31,317,1492,8,19,2,17
0,7,4,11,316,2,17,5,11,226,1097,8,17,9,17
0,8,2,23,169,4,17,6,19,316,1057,8,63,4,11
0,8,2,17,123,2,34,7,20,249,1078,8,53,2,17
0,3,2,17,167,4,17,7,30,228,2101,8,48,4,17
0,5,2,32,165,4,31,3,28,254,2378,8,53,0,17
0,3,2,30,119,2,20,6,30,225,1506,8,22,2,17
0,9,2,24,321,2,20,6,20,222,1076,8,56,0,17
0,5,2,17,126,2,32,6,20,225,1116,8,18,7,17
0,5,2,19,378,2,17,6,20,306,1472,8,54,6,17
0,3,2,16,315,2,17,5,19,226,2111,8,44,7,16
0,5,2,20,336,5,19,6,29,228,1483,8,12,9,17
0,5,4,20,336,4,34,7,20,313,2409,8,52,9,17
0,8,2,19,321,2,16,5,20,294,1425,8,53,9,17
0,5,2,19,322,5,32,6,20,224,1107,8,14,0,16
0,2,2,17,287,5,16,6,28,192,2371,8,56,0,17
0,3,2,17,315,2,16,5,30,237,1146,8,35,9,17
0,6,4,32,332,5,34,2,19,258,2103,8,53,0,16
0,3,2,46,323,2,16,5,27,248,2104,8,41,0,16
0,5,2,29,282,2,16,6,19,252,1196,8,37,0,16
0,8,2,19,177,2,32,6,30,269,2367,8,55,9,17
0,3,2,19,382,2,31,6,19,314,2092,8,57,9,17
0,8,2,20,193,4,30,6,20,271,1463,8,37,9,17
0,6,4,32,331,5,32,2,10,276,1138,8,10,9,17
0,3,2,31,124,4,16,6,30,227,1074,8,21,9,17
0,8,2,19,173,2,16,6,29,203,1710,8,57,9,17
0,8,2,20,185,2,34,7,20,250,2112,8,53,9,17
0,5,2,16,316,2,32,6,20,221,2114,8,43,0,16
0,2,2,29,324,5,16,5,16,193,1190,8,55,9,17
0,3,2,29,328,5,31,6,30,192,2381,8,12,9,17
0,8,2,15,228,5,31,7,19,168,1785,8,9,0,16
0,8,2,20,394,2,32,6,20,249,1078,8,8,5,17
0,3,2,19,170,4,34,7,20,227,2383,8,12,9,17
0,8,2,17,319,5,16,5,20,296,1784,8,56,0,16
0,5,2,26,323,5,32,6,28,251,1138,8,13,4,17
0,3,2,24,174,5,31,6,20,224,1471,8,58,4,17
0,8,2,20,181,4,16,6,20,193,2376,8,17,0,17
0,5,2,29,118,2,17,4,20,315,1728,8,65,4,17
0,3,2,25,182,2,31,5,28,222,2110,8,38,9,17
0,6,4,20,326,4,27,6,20,193,1549,8,22,9,17
0,7,2,26,173,2,32,5,17,166,2419,8,22,9,17
0,5,2,26,184,4,34,4,20,281,1783,8,63,5,17
0,3,2,24,397,2,19,6,19,223,2112,8,55,9,17
0,5,2,29,313,5,19,6,19,228,2396,8,11,9,17
0,3,2,33,172,2,34,7,22,250,2373,8,52,5,17
0,5,2,16,127,5,31,6,20,211,2406,8,39,5,17
0,5,2,29,150,2,15,5,31,207,2378,8,53,4,17
0,3,2,24,192,5,32,6,28,198,2376,8,14,4,17
0,5,2,20,322,5,21,6,29,187,995,8,8,5,11
0,5,2,16,180,2,16,5,20,259,2370,8,53,5,17
0,3,2,19,241,5,31,2,11,287,1513,8,53,2,17
0,3,2,20,328,2,20,6,19,255,2102,8,54,0,16
0,9,2,20,170,4,16,5,20,225,2375,8,57,9,17
0,3,2,17,214,2,32,2,19,308,1553,8,44,2,17
0,3,2,29,117,2,16,5,28,278,1432,8,40,7,17
0,5,2,9,324,2,33,6,20,203,1191,8,26,0,17
0,3,2,28,183,5,34,2,30,223,1496,8,55,9,17
0,5,2,29,317,5,16,5,19,307,2103,8,56,4,17
0,7,2,24,145,2,16,5,20,228,2115,8,56,2,17
0,5,2,11,165,2,16,5,20,251,2408,8,56,0,16
0,5,2,16,265,2,16,6,20,305,1794,8,46,2,17
0,9,2,20,325,5,32,6,20,314,2404,8,59,9,17
0,7,2,21,230,2,31,6,19,280,1487,8,44,4,17
0,3,2,17,193,2,16,5,28,189,1504,8,52,9,17
0,7,2,29,135,5,32,6,20,191,1496,8,15,4,17
0,5,2,19,145,5,16,5,19,224,1769,8,67,9,16
0,8,2,20,169,2,17,5,20,121,2383,8,24,9,17
0,5,2,19,391,2,17,5,20,202,1471,8,40,2,17
0,5,2,19,219,2,34,6,20,257,2108,8,37,0,16
0,2,2,26,123,5,15,5,31,231,2374,8,9,5,17
0,3,2,25,379,5,31,6,19,227,1476,8,58,9,17
0,5,2,16,116,2,17,5,20,203,1759,8,53,4,17
0,2,2,25,337,4,32,6,28,174,1492,8,56,9,17
0,5,4,15,319,4,32,2,20,191,2453,8,54,7,17
0,3,2,41,316,2,16,5,20,310,1502,8,23,9,17
0,3,2,16,115,2,31,6,28,277,2107,8,56,4,17
0,5,2,17,128,4,34,7,20,255,1222,8,38,5,17
0,8,2,30,157,2,16,5,19,200,2388,8,45,0,16
0,5,2,20,130,5,34,7,20,226,2355,8,16,5,17
0,7,2,20,278,5,31,5,21,195,2368,8,53,5,17
0,5,2,16,166,4,34,6,20,227,2113,8,37,9,17
0,5,2,30,136,5,31,6,28,277,1456,8,55,0,16
0,5,2,24,170,2,17,5,19,272,1571,8,54,6,17
