label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0,7,2,13,158,2,15,6,20,156,2401,8,34,5,17
0,3,2,13,239,2,15,6,30,228,2117,8,40,7,17
0,7,2,41,163,4,32,6,28,228,1821,8,17,0,16
0,7,2,13,273,2,16,5,28,202,2117,8,52,9,17
0,3,2,24,431,5,16,5,28,324,2117,8,40,9,17
0,7,2,24,431,5,16,5,28,240,2117,8,17,0,16
0,8,2,29,207,2,16,5,28,202,2117,5,54,5,17
0,8,2,16,431,5,32,6,30,131,1505,8,60,8,17
0,8,2,41,106,2,15,6,20,307,2117,8,63,8,17
0,8,2,24,431,5,32,6,20,208,1786,8,17,7,17
0,5,2,24,431,5,32,6,28,222,2117,8,17,6,17
0,3,2,20,319,5,17,2,11,176,2117,8,40,7,17
0,3,2,34,278,5,16,5,21,237,1786,8,17,2,11
0,3,2,24,431,5,17,4,21,115,1186,8,17,9,17
0,5,2,13,252,2,15,6,28,222,2117,8,17,0,16
0,8,2,41,106,2,15,6,20,307,1786,8,63,8,17
0,3,2,13,158,2,16,5,21,321,1505,8,54,5,17
0,5,2,41,135,5,15,6,28,307,2117,8,63,9,17
0,3,2,13,252,2,16,5,28,240,2117,8,17,9,17
0,3,2,13,104,2,32,6,30,131,2117,8,34,3,17
0,3,2,41,135,5,32,6,28,131,2271,8,17,0,11
0,5,2,13,402,2,16,5,28,202,2117,8,22,4,17
0,5,2,34,212,5,16,5,28,324,1505,8,54,2,11
0,2,2,18,308,2,16,5,28,240,2541,8,17,0,16
0,3,4,24,431,3,32,6,11,245,2117,8,60,5,17
0,8,2,20,227,2,17,4,16,208,2401,8,17,9,17
0,3,2,31,166,2,16,5,11,240,2231,8,37,4,17
0,3,2,20,163,2,32,6,11,131,2117,8,40,0,15
0,7,2,41,393,2,32,5,28,245,2117,8,17,0,16
0,8,2,13,158,2,15,6,20,222,2117,8,63,5,17
0,7,2,25,354,2,16,3,28,346,2117,8,54,2,11
0,3,4,33,431,3,16,5,11,334,2117,8,58,6,17
0,3,2,25,305,2,32,6,14,131,2117,8,37,9,17
0,6,2,24,431,3,16,2,28,278,2117,8,17,7,17
0,7,2,13,402,2,16,5,28,202,2117,8,17,2,11
0,7,2,25,250,4,11,6,28,278,2117,8,17,6,17
0,3,2,12,266,2,11,8,14,131,2401,8,25,7,17
0,5,2,13,252,2,32,6,28,346,2117,8,17,9,17
0,5,2,13,178,2,15,6,28,222,2117,8,44,5,17
0,5,2,13,158,2,16,5,28,304,2117,5,54,2,17
0,7,2,25,121,2,32,3,28,278,2117,8,63,9,17
0,8,2,20,441,2,26,7,20,217,2541,8,17,2,17
0,8,2,41,412,2,16,5,28,202,2117,8,54,2,17
0,7,2,24,431,5,11,4,32,187,2117,8,63,6,17
0,4,2,14,300,2,16,5,28,240,2117,8,40,0,16
0,8,2,25,308,5,32,6,20,141,2117,8,47,9,17
