label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0.0,8.0,2.0,26.0,275.0,4.0,31.0,3.0,13.0,248.0,2032.0,8.0,13.0,4.0,17.0
0.0,8.0,2.0,30.0,113.0,5.0,30.0,3.0,35.0,351.0,2117.0,8.0,59.0,9.0,17.0
0.0,5.0,2.0,25.0,275.0,4.0,34.0,7.0,20.0,137.0,1565.0,8.0,26.0,9.0,17.0
0.0,3.0,2.0,41.0,135.0,5.0,30.0,3.0,35.0,351.0,2117.0,8.0,59.0,8.0,17.0
0.0,8.0,2.0,21.0,250.0,4.0,30.0,3.0,13.0,122.0,2117.0,8.0,22.0,0.0,12.0
0.0,2.0,2.0,20.0,313.0,4.0,16.0,5.0,21.0,225.0,1186.0,8.0,38.0,9.0,17.0
0.0,7.0,2.0,45.0,328.0,5.0,31.0,3.0,21.0,210.0,2117.0,8.0,59.0,5.0,17.0
0.0,8.0,2.0,29.0,126.0,2.0,31.0,3.0,20.0,346.0,2117.0,8.0,69.0,9.0,17.0
0.0,7.0,2.0,30.0,113.0,5.0,34.0,7.0,20.0,153.0,2032.0,8.0,17.0,9.0,17.0
0.0,8.0,2.0,27.0,162.0,5.0,31.0,3.0,35.0,248.0,2117.0,8.0,59.0,9.0,17.0
0.0,7.0,2.0,28.0,437.0,2.0,31.0,3.0,20.0,346.0,2117.0,8.0,22.0,5.0,17.0
0.0,8.0,2.0,29.0,146.0,2.0,31.0,3.0,21.0,210.0,2117.0,8.0,59.0,3.0,12.0
0.0,5.0,2.0,20.0,328.0,5.0,30.0,3.0,35.0,123.0,1815.0,8.0,17.0,6.0,17.0
0.0,8.0,2.0,29.0,393.0,4.0,31.0,3.0,20.0,248.0,2117.0,8.0,22.0,8.0,17.0
0.0,8.0,2.0,20.0,170.0,5.0,31.0,3.0,20.0,248.0,2117.0,8.0,13.0,7.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,248.0,2117.0,8.0,50.0,8.0,17.0
1.0,7.0,2.0,20.0,224.0,2.0,34.0,7.0,20.0,137.0,2441.0,8.0,38.0,6.0,17.0
0.0,8.0,2.0,20.0,167.0,2.0,30.0,3.0,35.0,123.0,2401.0,8.0,22.0,0.0,10.0
0.0,7.0,2.0,45.0,179.0,5.0,30.0,3.0,20.0,123.0,2397.0,8.0,50.0,0.0,16.0
0.0,8.0,2.0,45.0,247.0,2.0,31.0,3.0,20.0,346.0,2217.0,8.0,17.0,8.0,17.0
0.0,8.0,2.0,17.0,343.0,5.0,31.0,3.0,20.0,346.0,2117.0,8.0,50.0,0.0,10.0
0.0,7.0,2.0,18.0,412.0,2.0,32.0,6.0,20.0,142.0,2117.0,8.0,38.0,4.0,11.0
0.0,8.0,2.0,18.0,391.0,2.0,31.0,3.0,20.0,346.0,2032.0,8.0,17.0,0.0,15.0
0.0,2.0,2.0,30.0,113.0,5.0,31.0,3.0,20.0,346.0,2117.0,8.0,50.0,0.0,11.0
0.0,8.0,2.0,20.0,170.0,4.0,31.0,3.0,20.0,248.0,2117.0,8.0,22.0,3.0,17.0
0.0,8.0,2.0,11.0,321.0,2.0,30.0,3.0,35.0,351.0,2117.0,8.0,59.0,1.0,15.0
0.0,8.0,2.0,16.0,310.0,2.0,30.0,3.0,13.0,123.0,2383.0,8.0,59.0,5.0,17.0
0.0,8.0,2.0,20.0,328.0,5.0,16.0,5.0,21.0,210.0,2117.0,8.0,28.0,0.0,10.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,346.0,2117.0,8.0,59.0,6.0,17.0
0.0,5.0,2.0,17.0,343.0,5.0,31.0,3.0,21.0,210.0,2177.0,8.0,59.0,6.0,17.0
0.0,7.0,2.0,13.0,347.0,2.0,31.0,3.0,20.0,346.0,2117.0,8.0,13.0,4.0,17.0
0.0,7.0,2.0,11.0,156.0,4.0,31.0,3.0,20.0,346.0,2117.0,8.0,17.0,6.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,346.0,2117.0,8.0,59.0,9.0,17.0
0.0,7.0,2.0,26.0,341.0,2.0,31.0,3.0,21.0,210.0,2177.0,8.0,22.0,9.0,17.0
0.0,3.0,4.0,33.0,429.0,3.0,30.0,3.0,28.0,278.0,2117.0,8.0,22.0,0.0,17.0
0.0,4.0,2.0,24.0,125.0,5.0,16.0,5.0,21.0,183.0,2401.0,8.0,54.0,0.0,11.0
0.0,7.0,2.0,16.0,431.0,2.0,30.0,3.0,13.0,278.0,2177.0,8.0,22.0,7.0,17.0
0.0,8.0,2.0,30.0,113.0,5.0,34.0,7.0,20.0,245.0,2117.0,8.0,26.0,0.0,15.0
0.0,8.0,2.0,20.0,328.0,5.0,31.0,3.0,21.0,210.0,1100.0,8.0,17.0,8.0,17.0
0.0,8.0,2.0,17.0,184.0,4.0,34.0,7.0,20.0,137.0,1186.0,8.0,12.0,0.0,11.0
0.0,2.0,2.0,18.0,297.0,5.0,31.0,3.0,21.0,151.0,2117.0,8.0,22.0,0.0,15.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,226.0,2519.0,8.0,38.0,0.0,16.0
0.0,2.0,2.0,23.0,212.0,5.0,30.0,3.0,35.0,351.0,1555.0,8.0,22.0,4.0,17.0
0.0,2.0,2.0,16.0,310.0,2.0,16.0,5.0,21.0,225.0,2401.0,8.0,54.0,5.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,319.0,1815.0,8.0,17.0,5.0,11.0
