label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0,8,2,29,207,4,16,5,20,202,2541,8,38,4,17
0,3,2,34,393,4,30,3,28,278,1776,8,13,5,14
0,4,2,13,191,4,30,3,35,351,2117,8,22,8,17
0,6,4,33,319,3,27,2,11,168,2032,8,12,4,17
0,7,2,16,391,2,34,7,21,200,2401,8,54,9,17
0,2,2,13,428,2,21,4,16,349,2469,8,27,9,17
0,7,2,16,391,2,34,7,21,200,2401,8,26,9,17
0,6,4,33,319,3,27,2,11,113,1403,8,13,7,17
0,8,2,34,401,2,15,6,16,307,1413,8,67,8,17
0,8,2,16,212,5,30,3,35,319,1656,8,13,6,17
0,6,4,33,319,3,27,2,11,319,2117,8,22,6,17
0,2,2,42,130,2,16,5,21,225,2401,8,26,4,17
0,7,2,42,188,2,31,3,21,151,2117,8,22,0,11
0,7,2,20,163,4,31,3,35,346,2032,8,17,0,17
0,6,4,33,319,3,27,2,11,349,2401,8,21,5,17
0,6,4,33,319,3,27,2,11,151,2117,8,22,2,17
0,3,2,46,206,2,34,7,20,322,1515,8,12,4,17
0,7,2,17,215,4,30,3,35,351,2117,8,59,9,17
0,2,2,32,179,5,30,3,35,319,2117,8,59,7,17
0,5,2,26,329,2,31,3,21,298,2502,8,13,6,17
0,3,3,41,135,5,30,3,35,278,1555,8,32,0,11
0,5,2,30,113,5,17,4,20,139,1815,8,34,9,17
0,3,2,41,106,2,34,7,21,237,1786,8,38,6,17
0,7,2,18,297,5,11,8,37,252,2218,8,67,4,17
0,2,2,20,372,5,16,5,20,334,2117,8,54,9,17
0,5,2,26,275,4,11,8,17,140,1133,8,17,8,17
0,7,2,16,310,2,16,5,35,324,2401,8,54,9,17
0,7,2,32,349,2,34,7,20,217,1413,8,12,8,17
0,6,4,33,319,3,27,2,11,122,2032,8,13,2,11
0,7,2,20,372,5,34,7,19,308,2117,8,57,0,16
0,5,2,21,232,2,31,3,20,346,2117,8,22,1,11
0,8,2,29,207,4,23,6,28,245,2032,8,27,5,17
0,7,2,29,389,2,31,3,20,346,2117,8,22,9,17
1,5,2,18,386,2,11,8,36,299,2117,8,34,0,11
0,6,4,33,319,3,27,2,11,351,2117,8,50,9,17
0,6,4,33,319,3,27,2,11,346,2032,8,13,5,17
1,7,2,23,309,2,34,7,28,280,2117,5,53,0,15
0,5,2,41,135,5,31,3,21,210,2177,8,31,0,15
0,7,3,45,153,2,30,3,35,123,2397,8,50,5,17
0,3,2,16,352,2,23,6,20,142,1186,8,69,6,11
0,6,4,33,319,3,27,2,11,346,2103,8,13,4,11
0,4,2,18,409,2,32,6,19,312,2117,8,49,0,16
