label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0,6,4,16.0,307.0,2,27,2,11,231.0,2428.0,8,71.0,5,17
0,2,2,12.0,129.0,2,11,8,37,248.0,2101.0,8,28.0,7,17
0,2,2,29.0,117.0,5,31,3,21,208.0,1990.0,8,15.0,6,11
0,8,2,32.0,313.0,3,31,3,20,352.0,2159.0,8,21.0,5,17
0,2,2,21.0,236.0,5,31,3,20,353.0,2109.0,8,23.0,4,17
0,7,2,20.0,209.0,2,34,7,35,278.0,2184.0,8,41.0,6,17
0,6,4,33.0,313.0,3,27,2,11,125.0,2402.0,8,57.0,4,17
0,8,2,12.0,258.0,2,34,7,20,140.0,1700.0,8,14.0,9,17
0,7,2,19.0,250.0,4,30,3,35,317.0,1296.0,8,16.0,9,17
0,3,2,14.0,203.0,4,31,3,20,354.0,2173.0,8,31.0,4,17
0,9,2,27.0,175.0,2,20,6,19,193.0,1783.0,8,38.0,8,17
1,8,2,12.0,150.0,2,21,4,16,349.0,1172.0,8,29.0,5,17
0,6,4,32.0,309.0,3,27,2,11,249.0,2140.0,8,37.0,6,17
0,8,2,42.0,407.0,2,11,8,32,221.0,2411.0,8,65.0,9,17
0,7,2,19.0,239.0,4,16,5,20,337.0,2046.0,8,37.0,0,11
0,8,2,15.0,204.0,5,34,7,20,133.0,2177.0,8,55.0,0,15
0,2,2,16.0,329.0,2,11,8,36,298.0,2573.0,8,65.0,0,15
0,8,2,16.0,215.0,5,11,8,17,132.0,2064.0,8,28.0,9,17
0,8,3,30.0,102.0,5,30,3,28,277.0,2249.0,8,13.0,8,17
0,5,2,23.0,162.0,2,34,7,28,223.0,1121.0,8,12.0,9,17
0,7,2,45.0,343.0,2,34,7,20,162.0,2118.0,8,56.0,9,17
0,8,2,40.0,430.0,5,16,5,21,184.0,1717.0,8,36.0,8,17
0,2,2,21.0,217.0,2,21,4,16,354.0,2457.0,8,28.0,5,17
0,6,3,23.0,320.0,3,27,2,11,126.0,2177.0,8,54.0,8,17
0,2,2,29.0,112.0,2,16,5,35,332.0,2383.0,8,54.0,0,11
0,3,2,34.0,284.0,2,11,8,37,250.0,2163.0,5,50.0,6,17
1,5,2,15.0,338.0,2,31,3,20,249.0,2076.0,8,12.0,0,15
0,6,4,33.0,315.0,3,27,2,11,219.0,2397.0,8,22.0,9,17
0,8,3,30.0,115.0,5,31,3,21,149.0,2131.0,8,56.0,5,11
0,6,4,34.0,308.0,3,27,2,11,341.0,2243.0,8,12.0,4,11
0,2,3,28.0,167.0,2,28,2,35,280.0,2225.0,8,38.0,2,11
0,5,2,34.0,306.0,3,34,7,28,281.0,2123.0,8,56.0,8,17
0,2,2,18.0,152.0,2,21,4,30,338.0,1047.0,8,27.0,5,17
0,8,2,23.0,156.0,2,16,5,20,342.0,2142.0,8,54.0,6,17
0,3,4,33.0,319.0,3,32,6,32,273.0,1888.0,8,28.0,0,16
0,4,2,44.0,266.0,2,30,3,21,320.0,1635.0,8,17.0,6,17
0,7,2,21.0,235.0,5,31,3,35,348.0,2135.0,8,49.0,6,17
0,8,3,20.0,294.0,4,31,3,20,355.0,2179.0,8,57.0,6,17
0,8,2,46.0,320.0,2,16,5,21,223.0,1204.0,8,38.0,9,17
0,9,2,21.0,234.0,2,23,6,21,134.0,1418.0,8,29.0,7,17
0,4,2,18.0,227.0,2,19,6,30,223.0,1521.0,8,44.0,4,17
0,8,2,42.0,201.0,2,31,3,21,145.0,2132.0,8,21.0,4,17
