age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle,label
5,2,39,128,2,22,4,20,227,1509,8,28,9,17,0
7,2,30,116,4,31,3,21,280,2382,8,60,9,17,0
3,2,41,185,5,16,5,30,282,1626,8,36,0,10,0
5,2,43,391,2,34,7,20,242,2121,8,37,3,17,0
5,2,14,428,2,34,7,20,226,2118,8,36,0,16,0
4,2,40,180,5,31,6,32,260,2039,8,60,9,17,0
7,2,41,112,4,34,5,21,317,1554,8,13,9,17,0
5,2,40,123,4,21,4,23,235,1822,8,27,9,17,0
9,2,39,437,2,35,7,20,234,1559,5,25,9,17,0
9,4,33,321,3,27,2,11,285,2241,8,18,9,17,0
6,4,33,318,3,27,2,11,260,2225,8,61,3,15,0
8,2,22,322,5,17,5,19,185,2126,8,31,0,16,0
2,4,33,236,3,21,2,30,345,1835,5,28,9,16,0
3,2,41,407,5,16,6,19,189,1636,8,36,0,16,0
3,2,40,191,5,11,3,30,259,2029,8,13,9,17,0
2,2,31,119,5,31,3,13,309,2119,8,40,9,17,0
3,2,41,106,5,21,5,16,309,2213,8,17,9,17,0
8,2,41,115,5,16,5,20,198,2414,8,40,3,16,0
6,4,33,318,3,27,2,11,274,2416,8,61,9,17,0
7,2,41,175,2,31,3,29,298,2040,8,17,9,17,0
3,2,22,426,5,16,4,30,294,1504,8,17,9,10,0
7,2,44,187,5,16,5,20,313,2124,8,38,0,11,0
8,2,44,370,4,16,5,20,117,2112,8,27,0,16,0
8,3,43,415,4,16,5,20,215,2122,8,33,3,11,0
3,2,41,115,4,23,3,23,298,2031,8,17,9,17,0
5,4,33,313,5,16,5,30,333,1840,8,39,0,16,0
8,4,25,346,5,16,5,11,263,2115,8,34,0,16,0
8,2,21,276,4,16,5,19,187,2122,8,36,0,16,0
8,2,43,116,5,31,3,29,249,2411,8,61,9,17,0
7,2,27,107,4,16,5,21,288,2401,8,54,9,17,0
8,2,30,164,5,16,5,20,254,2123,8,36,0,16,0
5,2,42,270,4,24,6,31,238,1590,8,37,0,16,0
7,2,21,361,4,16,5,20,242,2119,8,36,0,16,0
7,2,43,209,5,31,6,13,294,2045,8,68,9,17,0
7,2,42,181,2,31,3,29,340,2051,8,13,9,17,0
3,2,40,438,5,21,3,29,328,2027,8,13,9,17,0
3,2,38,127,5,21,4,23,321,1511,8,28,9,17,0
8,2,29,262,4,16,5,19,185,2117,8,36,0,16,0
7,2,22,128,5,30,3,13,292,2050,8,60,9,17,0
3,2,41,441,5,20,6,17,249,1617,8,40,0,16,0
6,4,33,320,3,21,2,23,231,2027,8,69,9,17,0
3,2,40,379,4,16,4,20,350,1561,8,27,4,17,0
9,2,40,118,4,16,4,29,353,2537,8,12,9,17,0
3,2,39,123,5,21,3,29,280,2032,8,13,9,17,0
8,2,22,118,2,17,4,20,340,2419,5,27,3,17,0
8,2,30,114,5,31,3,31,139,2022,8,61,9,17,0
7,2,40,134,2,31,3,29,282,2036,8,13,9,17,0
8,4,41,112,5,32,3,16,275,2050,8,39,3,17,0
5,2,22,365,4,16,5,20,205,2115,8,31,3,11,0
6,4,33,319,3,27,2,11,273,2411,8,21,9,17,0
7,2,39,376,2,21,4,23,348,1500,8,28,9,17,0
7,3,40,123,5,31,3,31,304,2028,8,17,9,17,0
8,2,42,384,4,16,5,21,295,2117,8,34,0,16,0
7,2,44,183,5,29,3,29,256,2121,8,22,9,17,0
7,2,28,260,2,20,6,19,201,2124,8,40,0,17,0
9,2,41,135,2,16,7,21,211,2404,5,53,9,17,0
8,2,41,283,5,16,5,30,217,2120,8,38,0,16,0
8,2,24,109,4,21,5,17,304,2218,8,17,9,17,0
3,4,33,105,3,21,2,31,281,2414,8,61,9,17,0
5,2,15,379,4,34,7,21,158,2119,8,13,7,17,0
3,2,41,436,2,22,6,20,238,1099,8,28,0,16,0
2,2,22,420,4,33,3,19,150,2126,8,39,9,17,0
7,2,20,247,4,31,3,20,263,2116,8,54,8,17,0
7,2,28,181,4,32,3,29,256,2130,8,36,9,17,0
2,2,30,110,5,16,3,31,295,2407,8,60,9,17,0
6,4,33,323,3,27,2,11,283,2245,8,17,9,17,0
7,2,41,120,2,34,7,21,170,2388,8,16,9,17,0
5,2,43,375,2,19,6,29,230,2121,8,43,3,17,0
7,2,40,160,5,27,6,23,283,1636,8,60,9,17,0
8,2,30,113,5,31,3,21,285,2400,8,17,9,17,0
5,2,42,361,4,21,3,13,330,1600,8,12,9,17,0
8,2,14,428,4,16,5,29,313,1637,8,13,9,17,0
6,4,33,317,3,27,2,11,216,2421,8,17,9,17,0
3,3,40,111,5,22,4,22,259,2493,8,28,9,17,0
7,3,44,176,4,32,3,13,278,2123,8,41,9,17,0
8,2,31,114,4,16,5,13,219,2382,8,41,3,17,0
8,2,41,324,5,16,6,19,315,2118,8,38,0,16,0
9,2,42,424,2,34,7,21,166,2120,8,12,9,17,0
7,2,39,357,2,34,7,21,249,1518,8,17,9,17,0
3,2,13,116,2,17,5,20,206,2435,8,53,3,11,0
3,2,40,120,2,22,4,24,347,1323,8,27,9,17,0
8,4,30,113,3,17,5,11,314,2404,8,35,3,17,0
9,2,41,135,2,34,7,21,279,2413,8,13,9,17,0
7,2,40,107,2,21,4,30,306,2398,8,17,9,17,0
7,2,42,184,5,31,3,29,274,1589,8,42,9,17,0
7,2,21,259,5,31,3,17,210,2120,8,37,9,17,0
4,2,42,288,5,16,6,19,207,2127,8,38,0,16,0
8,2,22,354,4,16,5,19,169,2118,8,39,3,17,0
6,4,33,322,3,27,2,11,298,2404,8,51,3,17,0
8,2,30,114,4,31,3,21,276,2407,8,22,9,17,0
7,2,21,393,4,34,7,20,155,2118,8,41,3,17,0
7,2,40,110,5,31,3,31,282,1143,8,22,9,17,0
2,2,42,235,2,32,6,30,271,1645,8,12,9,17,0
5,2,39,135,2,34,7,21,243,2400,8,26,9,17,0
3,2,41,408,4,31,3,31,273,2035,8,12,9,17,0
5,2,18,115,4,16,5,20,193,2417,8,31,0,16,0
