label,age,gender,residence,city,city_rank,series_dev,series_group,emui_dev,device_name,device_size,creat_type_cd,slot_id,u_refreshTimes,u_feedLifeCycle
0.0,8.0,2.0,26.0,380.0,4.0,16.0,5.0,20.0,220.0,2231.0,8.0,54.0,0.0,11.0
0.0,7.0,2.0,41.0,304.0,2.0,16.0,5.0,21.0,225.0,2438.0,8.0,12.0,3.0,17.0
0.0,3.0,2.0,17.0,254.0,5.0,16.0,5.0,13.0,168.0,1656.0,8.0,12.0,7.0,17.0
0.0,3.0,4.0,33.0,319.0,3.0,31.0,3.0,21.0,210.0,2177.0,8.0,50.0,2.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,278.0,1555.0,8.0,22.0,5.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,229.0,2032.0,8.0,28.0,8.0,17.0
0.0,8.0,2.0,16.0,310.0,2.0,32.0,6.0,19.0,312.0,2117.0,8.0,36.0,0.0,16.0
0.0,8.0,2.0,46.0,354.0,2.0,16.0,5.0,20.0,334.0,2541.0,8.0,12.0,5.0,17.0
0.0,3.0,2.0,21.0,424.0,5.0,11.0,8.0,29.0,213.0,2187.0,8.0,13.0,9.0,17.0
0.0,7.0,2.0,20.0,328.0,5.0,16.0,5.0,21.0,333.0,2032.0,8.0,12.0,9.0,17.0
0.0,5.0,2.0,17.0,343.0,5.0,11.0,8.0,29.0,109.0,2032.0,8.0,28.0,6.0,17.0
0.0,8.0,2.0,41.0,135.0,5.0,32.0,6.0,20.0,229.0,2117.0,8.0,54.0,7.0,17.0
0.0,5.0,2.0,20.0,372.0,5.0,30.0,3.0,28.0,278.0,1555.0,8.0,50.0,9.0,17.0
0.0,2.0,2.0,20.0,170.0,4.0,23.0,6.0,28.0,245.0,2117.0,8.0,47.0,8.0,17.0
0.0,3.0,2.0,16.0,355.0,2.0,23.0,6.0,18.0,156.0,2438.0,8.0,27.0,9.0,17.0
0.0,6.0,4.0,33.0,319.0,3.0,27.0,2.0,11.0,122.0,2032.0,8.0,13.0,9.0,14.0
0.0,2.0,2.0,16.0,120.0,4.0,31.0,3.0,20.0,346.0,2117.0,8.0,59.0,8.0,17.0
0.0,8.0,2.0,32.0,179.0,5.0,16.0,5.0,28.0,240.0,2024.0,8.0,12.0,0.0,16.0
0.0,5.0,2.0,16.0,120.0,4.0,17.0,4.0,20.0,139.0,2541.0,8.0,67.0,9.0,17.0
0.0,3.0,2.0,29.0,146.0,2.0,32.0,6.0,29.0,207.0,1808.0,8.0,38.0,6.0,17.0
0.0,8.0,2.0,20.0,399.0,2.0,16.0,5.0,19.0,124.0,2117.0,8.0,40.0,4.0,17.0
0.0,3.0,2.0,20.0,170.0,4.0,30.0,3.0,13.0,211.0,1873.0,8.0,13.0,9.0,17.0
0.0,2.0,2.0,16.0,212.0,5.0,16.0,5.0,13.0,168.0,2117.0,8.0,54.0,5.0,17.0
0.0,4.0,2.0,45.0,311.0,2.0,15.0,6.0,16.0,307.0,1565.0,8.0,38.0,4.0,11.0
0.0,3.0,2.0,25.0,420.0,2.0,30.0,3.0,13.0,272.0,1199.0,8.0,50.0,4.0,17.0
0.0,8.0,2.0,32.0,179.0,5.0,16.0,5.0,35.0,240.0,1341.0,8.0,12.0,0.0,16.0
0.0,7.0,2.0,26.0,353.0,2.0,30.0,3.0,13.0,145.0,2353.0,8.0,22.0,9.0,17.0
0.0,8.0,2.0,18.0,297.0,5.0,16.0,5.0,21.0,170.0,2401.0,8.0,54.0,9.0,17.0
0.0,3.0,2.0,27.0,162.0,5.0,16.0,5.0,21.0,170.0,2401.0,8.0,54.0,8.0,17.0
