,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,1.0,0.96,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
Training_DT,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_KNN,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_NB,0.837,0.85,0.001,0.5,0.001,0.009,0.5,0.163,0.837,0.5
Training_SVM,1.0,0.91,0.0,0.0,0.0,0.002,0.0,0.0,1.0,1.0
Training_RF,1.0,0.495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Training_XGB,1.0,0.666,0.0,0.0,0.0,0.003,0.0,0.0,1.0,1.0
Holdout_LR,1.0,0.982,0.0,0.0,0.0,0.008,0.0,0.0,1.0,1.0
Holdout_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
Holdout_KNN,1.0,0.499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Holdout_NB,0.858,0.987,0.003,1.0,0.001,0.034,1.0,0.142,0.858,0.0
Holdout_SVM,1.0,0.965,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
Holdout_RF,1.0,0.494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Holdout_XGB,1.0,0.892,0.0,0.0,0.0,0.004,0.0,0.0,1.0,1.0
training_CTGAN_1_LR,1.0,0.982,0.0,0.0,0.0,0.039,0.0,0.0,1.0,1.0
training_CTGAN_1_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
training_CTGAN_1_KNN,1.0,0.748,0.0,0.0,0.0,0.015,0.0,0.0,1.0,1.0
training_CTGAN_1_NB,0.857,0.985,0.003,1.0,0.001,0.025,1.0,0.143,0.857,0.0
training_CTGAN_1_SVM,1.0,0.562,0.0,0.0,0.0,0.05,0.0,0.0,1.0,1.0
training_CTGAN_1_RF,1.0,0.986,0.0,0.0,0.0,0.02,0.0,0.0,1.0,1.0
training_CTGAN_1_XGB,1.0,0.983,0.0,0.0,0.0,0.009,0.0,0.0,1.0,1.0
holdout_CTGAN_1_LR,1.0,0.99,0.0,0.0,0.0,0.068,0.0,0.0,1.0,1.0
holdout_CTGAN_1_DT,0.999,0.499,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
holdout_CTGAN_1_KNN,1.0,0.748,0.0,0.0,0.0,0.016,0.0,0.0,1.0,1.0
holdout_CTGAN_1_NB,0.949,0.99,0.008,1.0,0.004,0.022,1.0,0.051,0.949,0.0
holdout_CTGAN_1_SVM,1.0,0.632,0.0,0.0,0.0,0.021,0.0,0.0,1.0,1.0
holdout_CTGAN_1_RF,1.0,0.973,0.0,0.0,0.0,0.005,0.0,0.0,1.0,1.0
holdout_CTGAN_1_XGB,1.0,0.985,0.0,0.0,0.0,0.013,0.0,0.0,1.0,1.0
training_CTGAN_2_LR,1.0,0.983,0.0,0.0,0.0,0.253,0.0,0.0,1.0,1.0
training_CTGAN_2_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
training_CTGAN_2_KNN,1.0,0.747,0.0,0.0,0.0,0.009,0.0,0.0,1.0,1.0
training_CTGAN_2_NB,0.946,0.988,0.007,1.0,0.004,0.254,1.0,0.054,0.946,0.0
training_CTGAN_2_SVM,1.0,0.515,0.0,0.0,0.0,0.125,0.0,0.0,1.0,1.0
training_CTGAN_2_RF,1.0,0.99,0.0,0.0,0.0,0.104,0.0,0.0,1.0,1.0
training_CTGAN_2_XGB,1.0,0.979,0.0,0.0,0.0,0.017,0.0,0.0,1.0,1.0
holdout_CTGAN_2_LR,1.0,0.986,0.0,0.0,0.0,0.254,0.0,0.0,1.0,1.0
holdout_CTGAN_2_DT,0.999,0.5,0.0,0.0,0.0,0.0,0.0,0.001,0.999,1.0
holdout_CTGAN_2_KNN,1.0,0.749,0.667,0.5,1.0,0.5,0.5,0.0,1.0,0.5
holdout_CTGAN_2_NB,0.947,0.993,0.008,1.0,0.004,0.257,1.0,0.053,0.947,0.0
holdout_CTGAN_2_SVM,1.0,0.519,0.0,0.0,0.0,0.125,0.0,0.0,1.0,1.0
holdout_CTGAN_2_RF,1.0,0.994,0.0,0.0,0.0,0.108,0.0,0.0,1.0,1.0
holdout_CTGAN_2_XGB,1.0,0.982,0.0,0.0,0.0,0.008,0.0,0.0,1.0,1.0
training_CTGAN_3_LR,1.0,0.985,0.0,0.0,0.0,0.087,0.0,0.0,1.0,1.0
training_CTGAN_3_DT,0.997,0.499,0.0,0.0,0.0,0.0,0.0,0.002,0.998,1.0
training_CTGAN_3_KNN,1.0,0.746,0.0,0.0,0.0,0.007,0.0,0.0,1.0,1.0
training_CTGAN_3_NB,0.947,0.988,0.007,1.0,0.004,0.254,1.0,0.053,0.947,0.0
training_CTGAN_3_SVM,1.0,0.594,0.0,0.0,0.0,0.1,0.0,0.0,1.0,1.0
training_CTGAN_3_RF,1.0,0.99,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
training_CTGAN_3_XGB,0.999,0.981,0.0,0.0,0.0,0.024,0.0,0.0,1.0,1.0
holdout_CTGAN_3_LR,1.0,0.986,0.0,0.0,0.0,0.075,0.0,0.0,1.0,1.0
holdout_CTGAN_3_DT,0.998,0.749,0.077,0.5,0.042,0.021,0.5,0.002,0.998,0.5
holdout_CTGAN_3_KNN,1.0,0.748,0.667,0.5,1.0,0.5,0.5,0.0,1.0,0.5
holdout_CTGAN_3_NB,0.947,0.99,0.007,1.0,0.004,0.172,1.0,0.053,0.947,0.0
holdout_CTGAN_3_SVM,1.0,0.581,0.0,0.0,0.0,0.167,0.0,0.0,1.0,1.0
holdout_CTGAN_3_RF,1.0,0.993,0.0,0.0,0.0,0.069,0.0,0.0,1.0,1.0
holdout_CTGAN_3_XGB,0.999,0.974,0.0,0.0,0.0,0.008,0.0,0.0,1.0,1.0
training_CTGAN_4_LR,1.0,0.985,0.0,0.0,0.0,0.075,0.0,0.0,1.0,1.0
training_CTGAN_4_DT,0.998,0.499,0.0,0.0,0.0,0.0,0.0,0.002,0.998,1.0
training_CTGAN_4_KNN,1.0,0.745,0.0,0.0,0.0,0.005,0.0,0.0,1.0,1.0
training_CTGAN_4_NB,0.946,0.986,0.007,1.0,0.004,0.075,1.0,0.054,0.946,0.0
training_CTGAN_4_SVM,1.0,0.571,0.0,0.0,0.0,0.046,0.0,0.0,1.0,1.0
training_CTGAN_4_RF,1.0,0.985,0.0,0.0,0.0,0.065,0.0,0.0,1.0,1.0
training_CTGAN_4_XGB,0.999,0.961,0.0,0.0,0.0,0.026,0.0,0.0,1.0,1.0
holdout_CTGAN_4_LR,1.0,0.986,0.0,0.0,0.0,0.075,0.0,0.0,1.0,1.0
holdout_CTGAN_4_DT,0.998,0.499,0.0,0.0,0.0,0.0,0.0,0.002,0.998,1.0
holdout_CTGAN_4_KNN,1.0,0.748,0.667,0.5,1.0,0.5,0.5,0.0,1.0,0.5
holdout_CTGAN_4_NB,0.946,0.986,0.007,1.0,0.004,0.066,1.0,0.054,0.946,0.0
holdout_CTGAN_4_SVM,1.0,0.745,0.0,0.0,0.0,0.072,0.0,0.0,1.0,1.0
holdout_CTGAN_4_RF,1.0,0.985,0.0,0.0,0.0,0.086,0.0,0.0,1.0,1.0
