,Unnamed: 0,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
0,Training_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
1,Training_DT,0.984,0.953,0.887,0.917,0.858,0.793,0.917,0.011,0.989,0.083
2,Training_KNN,0.984,0.912,0.869,0.768,1.0,0.828,0.768,0.0,1.0,0.232
3,Training_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
4,Training_SVM,0.994,0.963,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
5,Training_RF,0.994,0.964,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
6,Training_XGB,0.994,0.96,0.954,0.914,0.998,0.931,0.914,0.0,1.0,0.086
7,Holdout_LR,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
8,Holdout_DT,0.984,0.952,0.887,0.916,0.86,0.794,0.916,0.011,0.989,0.084
9,Holdout_KNN,0.983,0.912,0.866,0.764,1.0,0.83,0.764,0.0,1.0,0.236
10,Holdout_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
11,Holdout_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
12,Holdout_RF,0.994,0.958,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
13,Holdout_XGB,0.994,0.96,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
14,CTGAN_LR,0.983,0.958,0.86,0.754,1.0,0.917,0.754,0.0,1.0,0.246
15,CTGAN_DT,0.909,0.775,0.488,0.618,0.403,0.276,0.618,0.069,0.931,0.382
16,CTGAN_KNN,0.972,0.903,0.774,0.682,0.893,0.746,0.682,0.006,0.994,0.318
17,CTGAN_NB,0.983,0.944,0.861,0.76,0.993,0.887,0.76,0.0,1.0,0.24
18,CTGAN_SVM,0.99,0.961,0.927,0.864,1.0,0.932,0.864,0.0,1.0,0.136
19,CTGAN_RF,0.986,0.955,0.894,0.821,0.981,0.921,0.821,0.001,0.999,0.179
20,CTGAN_XGB,0.976,0.948,0.804,0.708,0.929,0.862,0.708,0.004,0.996,0.292
21,CTABGAN_LR,0.984,0.957,0.873,0.774,1.0,0.917,0.774,0.0,1.0,0.226
22,CTABGAN_DT,0.952,0.847,0.679,0.725,0.639,0.482,0.725,0.031,0.969,0.275
23,CTABGAN_KNN,0.982,0.904,0.857,0.753,0.996,0.809,0.753,0.0,1.0,0.247
24,CTABGAN_NB,0.991,0.953,0.934,0.877,1.0,0.921,0.877,0.0,1.0,0.123
25,CTABGAN_SVM,0.991,0.96,0.929,0.867,1.0,0.931,0.867,0.0,1.0,0.133
26,CTABGAN_RF,0.993,0.959,0.947,0.9,1.0,0.928,0.9,0.0,1.0,0.1
27,CTABGAN_XGB,0.985,0.956,0.885,0.801,0.989,0.916,0.801,0.001,0.999,0.199
28,TVAE_LR,0.994,0.966,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
29,TVAE_DT,0.925,0.92,0.631,0.914,0.482,0.447,0.914,0.074,0.926,0.086
30,TVAE_KNN,0.985,0.911,0.884,0.793,0.998,0.831,0.793,0.0,1.0,0.207
31,TVAE_NB,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
32,TVAE_SVM,0.992,0.958,0.943,0.893,1.0,0.93,0.893,0.0,1.0,0.107
33,TVAE_RF,0.994,0.955,0.954,0.914,0.998,0.928,0.914,0.0,1.0,0.086
34,TVAE_XGB,0.992,0.961,0.94,0.914,0.968,0.93,0.914,0.002,0.998,0.086
35,DS_LR,0.994,0.958,0.955,0.914,1.0,0.929,0.914,0.0,1.0,0.086
36,DS_DT,0.961,0.943,0.767,0.921,0.657,0.611,0.921,0.036,0.964,0.079
37,DS_KNN,0.984,0.917,0.868,0.767,1.0,0.833,0.767,0.0,1.0,0.233
38,DS_NB,0.994,0.956,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
39,DS_SVM,0.994,0.956,0.952,0.908,1.0,0.929,0.908,0.0,1.0,0.092
40,DS_RF,0.994,0.964,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
41,DS_XGB,0.994,0.964,0.954,0.914,0.998,0.934,0.914,0.0,1.0,0.086
42,Tabula_LR,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
43,Tabula_DT,0.989,0.955,0.923,0.914,0.933,0.859,0.914,0.005,0.995,0.086
44,Tabula_KNN,0.984,0.909,0.872,0.773,1.0,0.83,0.773,0.0,1.0,0.227
45,Tabula_NB,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
46,Tabula_SVM,0.992,0.96,0.936,0.88,1.0,0.93,0.88,0.0,1.0,0.12
47,Tabula_RF,0.994,0.958,0.955,0.914,1.0,0.927,0.914,0.0,1.0,0.086
48,Tabula_XGB,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
49,TabDDPM_LR,0.988,0.967,0.907,0.83,1.0,0.937,0.83,0.0,1.0,0.17
50,TabDDPM_DT,0.967,0.939,0.793,0.906,0.706,0.646,0.906,0.028,0.972,0.094
51,TabDDPM_KNN,0.981,0.877,0.847,0.734,1.0,0.768,0.734,0.0,1.0,0.266
52,TabDDPM_NB,0.986,0.957,0.901,0.914,0.889,0.926,0.914,0.009,0.991,0.086
53,TabDDPM_SVM,0.988,0.96,0.908,0.831,1.0,0.932,0.831,0.0,1.0,0.169
54,TabDDPM_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
55,TabDDPM_XGB,0.994,0.967,0.954,0.914,0.997,0.935,0.914,0.0,1.0,0.086
