,Unnamed: 0,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
0,Training_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
1,Training_DT,0.984,0.953,0.887,0.917,0.858,0.793,0.917,0.011,0.989,0.083
2,Training_KNN,0.984,0.912,0.869,0.768,1.0,0.828,0.768,0.0,1.0,0.232
3,Training_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
4,Training_SVM,0.994,0.963,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
5,Training_RF,0.994,0.964,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
6,Training_XGB,0.994,0.96,0.954,0.914,0.998,0.931,0.914,0.0,1.0,0.086
7,Holdout_LR,0.994,0.966,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
8,Holdout_DT,0.984,0.952,0.887,0.916,0.86,0.794,0.916,0.011,0.989,0.084
9,Holdout_KNN,0.983,0.912,0.866,0.764,1.0,0.83,0.764,0.0,1.0,0.236
10,Holdout_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
11,Holdout_SVM,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
12,Holdout_RF,0.994,0.958,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
13,Holdout_XGB,0.994,0.96,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
14,training_CTGAN_1_LR,0.988,0.969,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
15,training_CTGAN_1_DT,0.98,0.935,0.863,0.881,0.845,0.753,0.881,0.012,0.988,0.119
16,training_CTGAN_1_KNN,0.984,0.912,0.87,0.77,1.0,0.825,0.77,0.0,1.0,0.23
17,training_CTGAN_1_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
18,training_CTGAN_1_SVM,0.994,0.964,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
19,training_CTGAN_1_RF,0.994,0.966,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
20,training_CTGAN_1_XGB,0.994,0.959,0.954,0.914,0.998,0.932,0.914,0.0,1.0,0.086
21,holdout_CTGAN_1_LR,0.989,0.966,0.911,0.837,1.0,0.936,0.837,0.0,1.0,0.163
22,holdout_CTGAN_1_DT,0.98,0.934,0.86,0.88,0.84,0.748,0.88,0.013,0.987,0.12
23,holdout_CTGAN_1_KNN,0.983,0.912,0.865,0.763,1.0,0.825,0.763,0.0,1.0,0.237
24,holdout_CTGAN_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
25,holdout_CTGAN_1_SVM,0.993,0.961,0.95,0.906,1.0,0.933,0.906,0.0,1.0,0.094
26,holdout_CTGAN_1_RF,0.994,0.96,0.952,0.913,0.995,0.93,0.913,0.0,1.0,0.087
27,holdout_CTGAN_1_XGB,0.993,0.961,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
28,training_CTGAN_2_LR,0.987,0.968,0.896,0.811,1.0,0.938,0.811,0.0,1.0,0.189
29,training_CTGAN_2_DT,0.976,0.927,0.834,0.871,0.8,0.706,0.871,0.016,0.984,0.129
30,training_CTGAN_2_KNN,0.984,0.912,0.869,0.77,0.998,0.825,0.77,0.0,1.0,0.23
31,training_CTGAN_2_NB,0.99,0.968,0.922,0.856,1.0,0.937,0.856,0.0,1.0,0.144
32,training_CTGAN_2_SVM,0.993,0.967,0.95,0.904,1.0,0.936,0.904,0.0,1.0,0.096
33,training_CTGAN_2_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
34,training_CTGAN_2_XGB,0.994,0.963,0.952,0.91,0.998,0.933,0.91,0.0,1.0,0.09
35,holdout_CTGAN_2_LR,0.987,0.966,0.894,0.808,1.0,0.937,0.808,0.0,1.0,0.192
36,holdout_CTGAN_2_DT,0.977,0.927,0.843,0.868,0.819,0.721,0.868,0.014,0.986,0.132
37,holdout_CTGAN_2_KNN,0.983,0.916,0.866,0.764,1.0,0.828,0.764,0.0,1.0,0.236
38,holdout_CTGAN_2_NB,0.989,0.968,0.917,0.847,1.0,0.937,0.847,0.0,1.0,0.153
39,holdout_CTGAN_2_SVM,0.993,0.964,0.948,0.901,1.0,0.933,0.901,0.0,1.0,0.099
40,holdout_CTGAN_2_RF,0.994,0.963,0.953,0.913,0.997,0.933,0.913,0.0,1.0,0.087
41,holdout_CTGAN_2_XGB,0.994,0.963,0.953,0.91,1.0,0.933,0.91,0.0,1.0,0.09
42,training_CTGAN_3_LR,0.985,0.967,0.882,0.79,1.0,0.937,0.79,0.0,1.0,0.21
43,training_CTGAN_3_DT,0.975,0.914,0.824,0.843,0.807,0.691,0.843,0.015,0.985,0.157
44,training_CTGAN_3_KNN,0.984,0.91,0.868,0.77,0.996,0.822,0.77,0.0,1.0,0.23
45,training_CTGAN_3_NB,0.988,0.968,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
46,training_CTGAN_3_SVM,0.993,0.969,0.95,0.906,1.0,0.937,0.906,0.0,1.0,0.094
47,training_CTGAN_3_RF,0.994,0.962,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
48,training_CTGAN_3_XGB,0.993,0.963,0.946,0.898,1.0,0.935,0.898,0.0,1.0,0.102
49,holdout_CTGAN_3_LR,0.985,0.966,0.883,0.791,1.0,0.936,0.791,0.0,1.0,0.209
50,holdout_CTGAN_3_DT,0.976,0.922,0.833,0.858,0.81,0.705,0.858,0.015,0.985,0.142
51,holdout_CTGAN_3_KNN,0.983,0.914,0.862,0.761,0.994,0.826,0.761,0.0,1.0,0.239
52,holdout_CTGAN_3_NB,0.988,0.968,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
53,holdout_CTGAN_3_SVM,0.993,0.964,0.948,0.901,1.0,0.933,0.901,0.0,1.0,0.099
54,holdout_CTGAN_3_RF,0.994,0.963,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
55,holdout_CTGAN_3_XGB,0.993,0.964,0.95,0.906,1.0,0.936,0.906,0.0,1.0,0.094
56,training_CTGAN_4_LR,0.985,0.967,0.878,0.783,1.0,0.937,0.783,0.0,1.0,0.217
57,training_CTGAN_4_DT,0.971,0.913,0.805,0.844,0.77,0.661,0.844,0.019,0.981,0.156
58,training_CTGAN_4_KNN,0.984,0.907,0.869,0.771,0.996,0.82,0.771,0.0,1.0,0.229
59,training_CTGAN_4_NB,0.988,0.967,0.908,0.835,0.993,0.934,0.835,0.0,1.0,0.165
60,training_CTGAN_4_SVM,0.993,0.965,0.947,0.9,1.0,0.934,0.9,0.0,1.0,0.1
61,training_CTGAN_4_RF,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
62,training_CTGAN_4_XGB,0.993,0.963,0.947,0.9,0.998,0.933,0.9,0.0,1.0,0.1
63,holdout_CTGAN_4_LR,0.985,0.966,0.878,0.783,1.0,0.937,0.783,0.0,1.0,0.217
64,holdout_CTGAN_4_DT,0.973,0.917,0.814,0.853,0.778,0.674,0.853,0.018,0.982,0.147
65,holdout_CTGAN_4_KNN,0.983,0.913,0.859,0.757,0.994,0.825,0.757,0.0,1.0,0.243
66,holdout_CTGAN_4_NB,0.988,0.966,0.908,0.835,0.995,0.934,0.835,0.0,1.0,0.165
67,holdout_CTGAN_4_SVM,0.993,0.964,0.946,0.897,1.0,0.933,0.897,0.0,1.0,0.103
68,holdout_CTGAN_4_RF,0.994,0.965,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
69,holdout_CTGAN_4_XGB,0.993,0.965,0.947,0.9,0.998,0.934,0.9,0.0,1.0,0.1
70,training_CTGAN_5_LR,0.984,0.966,0.872,0.773,1.0,0.937,0.773,0.0,1.0,0.227
71,training_CTGAN_5_DT,0.968,0.902,0.786,0.825,0.749,0.631,0.825,0.021,0.979,0.175
72,training_CTGAN_5_KNN,0.984,0.91,0.868,0.77,0.994,0.82,0.77,0.0,1.0,0.23
73,training_CTGAN_5_NB,0.988,0.966,0.904,0.835,0.985,0.93,0.835,0.001,0.999,0.165
74,training_CTGAN_5_SVM,0.993,0.963,0.946,0.897,1.0,0.933,0.897,0.0,1.0,0.103
75,training_CTGAN_5_RF,0.994,0.964,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
76,training_CTGAN_5_XGB,0.993,0.962,0.951,0.907,0.998,0.933,0.907,0.0,1.0,0.093
77,holdout_CTGAN_5_LR,0.984,0.965,0.873,0.775,1.0,0.936,0.775,0.0,1.0,0.225
78,holdout_CTGAN_5_DT,0.973,0.917,0.816,0.851,0.783,0.677,0.851,0.018,0.982,0.149
79,holdout_CTGAN_5_KNN,0.983,0.914,0.859,0.755,0.994,0.824,0.755,0.0,1.0,0.245
80,holdout_CTGAN_5_NB,0.988,0.965,0.905,0.835,0.986,0.929,0.835,0.001,0.999,0.165
81,holdout_CTGAN_5_SVM,0.993,0.962,0.947,0.9,1.0,0.932,0.9,0.0,1.0,0.1
82,holdout_CTGAN_5_RF,0.994,0.965,0.954,0.914,0.997,0.933,0.914,0.0,1.0,0.086
83,holdout_CTGAN_5_XGB,0.993,0.963,0.951,0.908,0.998,0.934,0.908,0.0,1.0,0.092
84,training_CTABGAN_1_LR,0.993,0.97,0.951,0.907,1.0,0.94,0.907,0.0,1.0,0.093
85,training_CTABGAN_1_DT,0.984,0.951,0.892,0.913,0.872,0.802,0.913,0.01,0.99,0.087
86,training_CTABGAN_1_KNN,0.984,0.912,0.869,0.768,1.0,0.827,0.768,0.0,1.0,0.232
87,training_CTABGAN_1_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
88,training_CTABGAN_1_SVM,0.994,0.964,0.954,0.911,1.0,0.934,0.911,0.0,1.0,0.089
89,training_CTABGAN_1_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
90,training_CTABGAN_1_XGB,0.994,0.963,0.954,0.914,0.998,0.933,0.914,0.0,1.0,0.086
91,holdout_CTABGAN_1_LR,0.994,0.966,0.952,0.908,1.0,0.937,0.908,0.0,1.0,0.092
92,holdout_CTABGAN_1_DT,0.984,0.951,0.886,0.914,0.86,0.792,0.914,0.011,0.989,0.086
93,holdout_CTABGAN_1_KNN,0.983,0.912,0.866,0.764,1.0,0.829,0.764,0.0,1.0,0.236
94,holdout_CTABGAN_1_NB,0.994,0.967,0.955,0.914,1.0,0.937,0.914,0.0,1.0,0.086
95,holdout_CTABGAN_1_SVM,0.993,0.962,0.951,0.907,1.0,0.933,0.907,0.0,1.0,0.093
96,holdout_CTABGAN_1_RF,0.994,0.958,0.953,0.914,0.995,0.928,0.914,0.0,1.0,0.086
97,holdout_CTABGAN_1_XGB,0.994,0.964,0.954,0.914,0.997,0.932,0.914,0.0,1.0,0.086
98,training_CTABGAN_2_LR,0.989,0.971,0.917,0.847,1.0,0.94,0.847,0.0,1.0,0.153
99,training_CTABGAN_2_DT,0.984,0.954,0.892,0.918,0.868,0.803,0.918,0.011,0.989,0.082
100,training_CTABGAN_2_KNN,0.984,0.913,0.87,0.77,1.0,0.828,0.77,0.0,1.0,0.23
101,training_CTABGAN_2_NB,0.994,0.967,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
102,training_CTABGAN_2_SVM,0.994,0.964,0.953,0.91,1.0,0.934,0.91,0.0,1.0,0.09
103,training_CTABGAN_2_RF,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
104,training_CTABGAN_2_XGB,0.994,0.964,0.954,0.914,0.997,0.934,0.914,0.0,1.0,0.086
105,holdout_CTABGAN_2_LR,0.989,0.967,0.919,0.85,1.0,0.938,0.85,0.0,1.0,0.15
106,holdout_CTABGAN_2_DT,0.985,0.951,0.893,0.911,0.875,0.804,0.911,0.01,0.99,0.089
107,holdout_CTABGAN_2_KNN,0.984,0.913,0.867,0.765,1.0,0.83,0.765,0.0,1.0,0.235
108,holdout_CTABGAN_2_NB,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
109,holdout_CTABGAN_2_SVM,0.993,0.963,0.95,0.906,1.0,0.935,0.906,0.0,1.0,0.094
110,holdout_CTABGAN_2_RF,0.994,0.96,0.953,0.914,0.995,0.93,0.914,0.0,1.0,0.086
111,holdout_CTABGAN_2_XGB,0.994,0.963,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
112,training_CTABGAN_3_LR,0.989,0.971,0.914,0.841,1.0,0.94,0.841,0.0,1.0,0.159
113,training_CTABGAN_3_DT,0.985,0.952,0.895,0.913,0.878,0.807,0.913,0.01,0.99,0.087
114,training_CTABGAN_3_KNN,0.984,0.913,0.871,0.771,1.0,0.829,0.771,0.0,1.0,0.229
115,training_CTABGAN_3_NB,0.994,0.967,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
116,training_CTABGAN_3_SVM,0.994,0.966,0.954,0.911,1.0,0.936,0.911,0.0,1.0,0.089
117,training_CTABGAN_3_RF,0.994,0.962,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
118,training_CTABGAN_3_XGB,0.994,0.963,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
119,holdout_CTABGAN_3_LR,0.989,0.968,0.913,0.84,1.0,0.938,0.84,0.0,1.0,0.16
120,holdout_CTABGAN_3_DT,0.984,0.952,0.891,0.914,0.868,0.8,0.914,0.01,0.99,0.086
121,holdout_CTABGAN_3_KNN,0.984,0.913,0.869,0.768,1.0,0.831,0.768,0.0,1.0,0.232
122,holdout_CTABGAN_3_NB,0.994,0.966,0.953,0.91,1.0,0.936,0.91,0.0,1.0,0.09
123,holdout_CTABGAN_3_SVM,0.993,0.964,0.951,0.907,1.0,0.935,0.907,0.0,1.0,0.093
124,holdout_CTABGAN_3_RF,0.994,0.957,0.953,0.914,0.995,0.929,0.914,0.0,1.0,0.086
125,holdout_CTABGAN_3_XGB,0.994,0.963,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
126,training_CTABGAN_4_LR,0.988,0.97,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
127,training_CTABGAN_4_DT,0.983,0.951,0.883,0.914,0.853,0.786,0.914,0.012,0.988,0.086
128,training_CTABGAN_4_KNN,0.984,0.914,0.872,0.773,1.0,0.831,0.773,0.0,1.0,0.227
129,training_CTABGAN_4_NB,0.994,0.966,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
130,training_CTABGAN_4_SVM,0.994,0.965,0.954,0.911,1.0,0.936,0.911,0.0,1.0,0.089
131,training_CTABGAN_4_RF,0.994,0.959,0.955,0.914,1.0,0.931,0.914,0.0,1.0,0.086
132,training_CTABGAN_4_XGB,0.994,0.963,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
133,holdout_CTABGAN_4_LR,0.989,0.967,0.911,0.837,1.0,0.937,0.837,0.0,1.0,0.163
134,holdout_CTABGAN_4_DT,0.982,0.945,0.873,0.903,0.845,0.769,0.903,0.012,0.988,0.097
135,holdout_CTABGAN_4_KNN,0.984,0.916,0.869,0.768,1.0,0.832,0.768,0.0,1.0,0.232
136,holdout_CTABGAN_4_NB,0.993,0.966,0.951,0.907,1.0,0.935,0.907,0.0,1.0,0.093
137,holdout_CTABGAN_4_SVM,0.994,0.963,0.952,0.908,1.0,0.934,0.908,0.0,1.0,0.092
138,holdout_CTABGAN_4_RF,0.994,0.959,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
139,holdout_CTABGAN_4_XGB,0.994,0.961,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
140,training_CTABGAN_5_LR,0.988,0.969,0.91,0.835,1.0,0.939,0.835,0.0,1.0,0.165
141,training_CTABGAN_5_DT,0.983,0.944,0.878,0.9,0.858,0.779,0.9,0.011,0.989,0.1
142,training_CTABGAN_5_KNN,0.984,0.915,0.872,0.773,1.0,0.832,0.773,0.0,1.0,0.227
143,training_CTABGAN_5_NB,0.994,0.966,0.953,0.91,1.0,0.935,0.91,0.0,1.0,0.09
144,training_CTABGAN_5_SVM,0.994,0.967,0.953,0.91,1.0,0.937,0.91,0.0,1.0,0.09
145,training_CTABGAN_5_RF,0.994,0.961,0.955,0.914,1.0,0.932,0.914,0.0,1.0,0.086
146,training_CTABGAN_5_XGB,0.994,0.964,0.955,0.914,1.0,0.935,0.914,0.0,1.0,0.086
147,holdout_CTABGAN_5_LR,0.988,0.966,0.91,0.835,1.0,0.937,0.835,0.0,1.0,0.165
148,holdout_CTABGAN_5_DT,0.982,0.944,0.878,0.9,0.857,0.778,0.9,0.011,0.989,0.1
149,holdout_CTABGAN_5_KNN,0.984,0.916,0.869,0.768,1.0,0.833,0.768,0.0,1.0,0.232
150,holdout_CTABGAN_5_NB,0.988,0.965,0.91,0.835,1.0,0.934,0.835,0.0,1.0,0.165
151,holdout_CTABGAN_5_SVM,0.994,0.962,0.952,0.908,1.0,0.933,0.908,0.0,1.0,0.092
152,holdout_CTABGAN_5_RF,0.994,0.957,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
153,holdout_CTABGAN_5_XGB,0.994,0.966,0.954,0.914,0.998,0.938,0.914,0.0,1.0,0.086
154,training_TVAE_1_LR,0.994,0.969,0.955,0.914,1.0,0.94,0.914,0.0,1.0,0.086
155,training_TVAE_1_DT,0.982,0.951,0.877,0.916,0.842,0.777,0.916,0.013,0.987,0.084
156,training_TVAE_1_KNN,0.984,0.911,0.874,0.777,1.0,0.828,0.777,0.0,1.0,0.223
157,training_TVAE_1_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
158,training_TVAE_1_SVM,0.994,0.963,0.954,0.911,1.0,0.932,0.911,0.0,1.0,0.089
159,training_TVAE_1_RF,0.994,0.963,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
160,training_TVAE_1_XGB,0.994,0.962,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
161,holdout_TVAE_1_LR,0.994,0.965,0.954,0.911,1.0,0.937,0.911,0.0,1.0,0.089
162,holdout_TVAE_1_DT,0.984,0.952,0.889,0.914,0.865,0.796,0.914,0.011,0.989,0.086
163,holdout_TVAE_1_KNN,0.984,0.91,0.872,0.773,1.0,0.829,0.773,0.0,1.0,0.227
164,holdout_TVAE_1_NB,0.994,0.967,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
165,holdout_TVAE_1_SVM,0.993,0.96,0.95,0.906,1.0,0.932,0.906,0.0,1.0,0.094
166,holdout_TVAE_1_RF,0.994,0.962,0.954,0.914,0.997,0.929,0.914,0.0,1.0,0.086
167,holdout_TVAE_1_XGB,0.994,0.964,0.954,0.914,0.998,0.935,0.914,0.0,1.0,0.086
168,training_TVAE_2_LR,0.994,0.969,0.955,0.914,1.0,0.939,0.914,0.0,1.0,0.086
169,training_TVAE_2_DT,0.981,0.951,0.873,0.916,0.834,0.77,0.916,0.014,0.986,0.084
170,training_TVAE_2_KNN,0.984,0.911,0.875,0.778,1.0,0.828,0.778,0.0,1.0,0.222
171,training_TVAE_2_NB,0.994,0.965,0.955,0.914,1.0,0.934,0.914,0.0,1.0,0.086
172,training_TVAE_2_SVM,0.994,0.962,0.954,0.911,1.0,0.933,0.911,0.0,1.0,0.089
173,training_TVAE_2_RF,0.994,0.961,0.955,0.914,1.0,0.933,0.914,0.0,1.0,0.086
174,training_TVAE_2_XGB,0.994,0.964,0.955,0.914,1.0,0.936,0.914,0.0,1.0,0.086
