,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.958,0.799,0.0,0.0,0.0,0.146,0.0,0.0,1.0,1.0
Training_DT,0.939,0.623,0.263,0.26,0.266,0.106,0.26,0.031,0.969,0.74
Training_KNN,0.954,0.663,0.049,0.028,0.185,0.087,0.028,0.005,0.995,0.972
Training_NB,0.932,0.775,0.1,0.09,0.111,0.108,0.09,0.031,0.969,0.91
Training_SVM,0.958,0.643,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
Training_RF,0.957,0.821,0.223,0.147,0.464,0.261,0.147,0.007,0.993,0.853
Training_XGB,0.954,0.79,0.217,0.153,0.375,0.213,0.153,0.011,0.989,0.847
Holdout_LR,0.958,0.795,0.0,0.0,0.0,0.144,0.0,0.0,1.0,1.0
Holdout_DT,0.938,0.651,0.286,0.299,0.275,0.125,0.299,0.034,0.966,0.701
Holdout_KNN,0.956,0.677,0.097,0.056,0.333,0.114,0.056,0.005,0.995,0.944
Holdout_NB,0.93,0.777,0.159,0.158,0.16,0.134,0.158,0.036,0.964,0.842
Holdout_SVM,0.959,0.703,0.011,0.006,1.0,0.182,0.006,0.0,1.0,0.994
Holdout_RF,0.96,0.836,0.321,0.226,0.556,0.31,0.226,0.008,0.992,0.774
Holdout_XGB,0.957,0.79,0.272,0.192,0.466,0.26,0.192,0.01,0.99,0.808
CTGAN_LR,0.957,0.744,0.0,0.0,0.0,0.101,0.0,0.002,0.998,1.0
CTGAN_DT,0.849,0.553,0.113,0.232,0.075,0.049,0.232,0.124,0.876,0.768
CTGAN_KNN,0.935,0.568,0.048,0.04,0.062,0.051,0.04,0.026,0.974,0.96
CTGAN_NB,0.875,0.7,0.158,0.282,0.11,0.099,0.282,0.099,0.901,0.718
CTGAN_SVM,0.954,0.564,0.02,0.011,0.083,0.074,0.011,0.005,0.995,0.989
CTGAN_RF,0.934,0.687,0.113,0.102,0.127,0.081,0.102,0.03,0.97,0.898
CTGAN_XGB,0.922,0.663,0.136,0.147,0.126,0.089,0.147,0.044,0.956,0.853
CTABGAN_LR,0.957,0.74,0.0,0.0,0.0,0.102,0.0,0.001,0.999,1.0
CTABGAN_DT,0.851,0.541,0.102,0.203,0.068,0.047,0.203,0.121,0.879,0.797
CTABGAN_KNN,0.942,0.589,0.102,0.079,0.144,0.075,0.079,0.02,0.98,0.921
CTABGAN_NB,0.909,0.664,0.126,0.158,0.105,0.081,0.158,0.059,0.941,0.842
CTABGAN_SVM,0.958,0.557,0.0,0.0,0.0,0.076,0.0,0.0,1.0,1.0
CTABGAN_RF,0.956,0.708,0.0,0.0,0.0,0.082,0.0,0.002,0.998,1.0
CTABGAN_XGB,0.947,0.604,0.026,0.017,0.056,0.06,0.017,0.012,0.988,0.983
TVAE_LR,0.958,0.791,0.0,0.0,0.0,0.136,0.0,0.0,1.0,1.0
TVAE_DT,0.954,0.528,0.085,0.051,0.25,0.055,0.051,0.007,0.993,0.949
TVAE_KNN,0.958,0.544,0.0,0.0,0.0,0.055,0.0,0.0,1.0,1.0
TVAE_NB,0.849,0.733,0.222,0.52,0.141,0.129,0.52,0.137,0.863,0.48
TVAE_SVM,0.958,0.745,0.0,0.0,0.0,0.142,0.0,0.0,1.0,1.0
TVAE_RF,0.958,0.689,0.0,0.0,0.0,0.113,0.0,0.0,1.0,1.0
TVAE_XGB,0.957,0.786,0.031,0.017,0.214,0.173,0.017,0.003,0.997,0.983
DS_LR,0.958,0.793,0.0,0.0,0.0,0.143,0.0,0.0,1.0,1.0
DS_DT,0.922,0.508,0.057,0.056,0.057,0.042,0.056,0.04,0.96,0.944
DS_KNN,0.957,0.612,0.021,0.011,0.167,0.063,0.011,0.002,0.998,0.989
DS_NB,0.942,0.773,0.102,0.079,0.144,0.119,0.079,0.02,0.98,0.921
DS_SVM,0.958,0.604,0.0,0.0,0.0,0.085,0.0,0.0,1.0,1.0
DS_RF,0.958,0.76,0.0,0.0,0.0,0.119,0.0,0.0,1.0,1.0
DS_XGB,0.955,0.745,0.03,0.017,0.15,0.109,0.017,0.004,0.996,0.983
GReaT_LR,0.958,0.457,0.0,0.0,0.0,0.037,0.0,0.0,1.0,1.0
GReaT_DT,0.944,0.505,0.04,0.028,0.07,0.042,0.028,0.016,0.984,0.972
GReaT_KNN,0.958,0.486,0.0,0.0,0.0,0.041,0.0,0.0,1.0,1.0
GReaT_NB,0.95,0.428,0.009,0.006,0.026,0.034,0.006,0.009,0.991,0.994
GReaT_SVM,0.958,0.595,0.0,0.0,0.0,0.058,0.0,0.0,1.0,1.0
GReaT_RF,0.958,0.496,0.0,0.0,0.0,0.042,0.0,0.0,1.0,1.0
GReaT_XGB,0.958,0.454,0.0,0.0,0.0,0.037,0.0,0.001,0.999,1.0
Tabula_LR,0.958,0.793,0.0,0.0,0.0,0.139,0.0,0.0,1.0,1.0
Tabula_DT,0.928,0.598,0.212,0.232,0.195,0.081,0.232,0.041,0.959,0.768
Tabula_KNN,0.954,0.654,0.085,0.051,0.257,0.09,0.051,0.006,0.994,0.949
Tabula_NB,0.927,0.761,0.166,0.175,0.157,0.117,0.175,0.041,0.959,0.825
Tabula_SVM,0.958,0.65,0.0,0.0,0.0,0.109,0.0,0.0,1.0,1.0
Tabula_RF,0.954,0.796,0.117,0.073,0.289,0.16,0.073,0.008,0.992,0.927
Tabula_XGB,0.948,0.778,0.165,0.124,0.247,0.184,0.124,0.016,0.984,0.876
TabDDPM_LR,0.956,0.754,0.0,0.0,0.0,0.105,0.0,0.002,0.998,1.0
TabDDPM_DT,0.913,0.555,0.135,0.164,0.115,0.054,0.164,0.055,0.945,0.836
TabDDPM_KNN,0.958,0.601,0.011,0.006,0.2,0.064,0.006,0.001,0.999,0.994
TabDDPM_NB,0.942,0.689,0.024,0.017,0.038,0.077,0.017,0.018,0.982,0.983
TabDDPM_SVM,0.958,0.551,0.0,0.0,0.0,0.056,0.0,0.0,1.0,1.0
TabDDPM_RF,0.958,0.765,0.011,0.006,0.25,0.132,0.006,0.001,0.999,0.994
TabDDPM_XGB,0.953,0.71,0.066,0.04,0.194,0.119,0.04,0.007,0.993,0.96
