,Accuracy,AUC,F1,Recall,Precision,AP,TPR,FPR,TNR,FNR
Training_LR,0.958,0.799,0.0,0.0,0.0,0.146,0.0,0.0,1.0,1.0
Training_DT,0.939,0.623,0.263,0.26,0.266,0.106,0.26,0.031,0.969,0.74
Training_KNN,0.954,0.663,0.049,0.028,0.185,0.087,0.028,0.005,0.995,0.972
Training_NB,0.932,0.775,0.1,0.09,0.111,0.108,0.09,0.031,0.969,0.91
Training_SVM,0.958,0.643,0.0,0.0,0.0,0.102,0.0,0.0,1.0,1.0
Training_RF,0.957,0.821,0.223,0.147,0.464,0.261,0.147,0.007,0.993,0.853
Training_XGB,0.954,0.79,0.217,0.153,0.375,0.213,0.153,0.011,0.989,0.847
Holdout_LR,0.958,0.795,0.0,0.0,0.0,0.144,0.0,0.0,1.0,1.0
Holdout_DT,0.938,0.651,0.286,0.299,0.275,0.125,0.299,0.034,0.966,0.701
Holdout_KNN,0.956,0.677,0.097,0.056,0.333,0.114,0.056,0.005,0.995,0.944
Holdout_NB,0.93,0.777,0.159,0.158,0.16,0.134,0.158,0.036,0.964,0.842
Holdout_SVM,0.959,0.703,0.011,0.006,1.0,0.182,0.006,0.0,1.0,0.994
Holdout_RF,0.96,0.836,0.321,0.226,0.556,0.31,0.226,0.008,0.992,0.774
Holdout_XGB,0.957,0.79,0.272,0.192,0.466,0.26,0.192,0.01,0.99,0.808
CTGAN_1_LR,0.958,0.798,0.0,0.0,0.0,0.141,0.0,0.0,1.0,1.0
CTGAN_1_DT,0.935,0.621,0.242,0.249,0.235,0.098,0.249,0.035,0.965,0.751
CTGAN_1_KNN,0.954,0.672,0.076,0.045,0.242,0.095,0.045,0.006,0.994,0.955
CTGAN_1_NB,0.937,0.776,0.13,0.113,0.154,0.119,0.113,0.027,0.973,0.887
CTGAN_1_SVM,0.958,0.632,0.0,0.0,0.0,0.095,0.0,0.0,1.0,1.0
CTGAN_1_RF,0.958,0.83,0.225,0.147,0.481,0.262,0.147,0.007,0.993,0.853
CTGAN_1_XGB,0.957,0.775,0.246,0.169,0.448,0.224,0.169,0.009,0.991,0.831
CTGAN_2_LR,0.958,0.795,0.0,0.0,0.0,0.136,0.0,0.0,1.0,1.0
CTGAN_2_DT,0.935,0.641,0.261,0.277,0.246,0.11,0.277,0.037,0.963,0.723
CTGAN_2_KNN,0.955,0.67,0.077,0.045,0.267,0.096,0.045,0.005,0.995,0.955
CTGAN_2_NB,0.934,0.774,0.131,0.119,0.146,0.117,0.119,0.03,0.97,0.881
CTGAN_2_SVM,0.958,0.607,0.0,0.0,0.0,0.091,0.0,0.0,1.0,1.0
CTGAN_2_RF,0.958,0.828,0.233,0.153,0.491,0.256,0.153,0.007,0.993,0.847
CTGAN_2_XGB,0.956,0.78,0.225,0.153,0.429,0.22,0.153,0.009,0.991,0.847
CTGAN_3_LR,0.958,0.787,0.0,0.0,0.0,0.126,0.0,0.0,1.0,1.0
CTGAN_3_DT,0.934,0.624,0.251,0.266,0.239,0.1,0.266,0.037,0.963,0.734
CTGAN_3_KNN,0.955,0.675,0.077,0.045,0.25,0.094,0.045,0.006,0.994,0.955
CTGAN_3_NB,0.929,0.766,0.126,0.124,0.129,0.113,0.124,0.037,0.963,0.876
CTGAN_3_SVM,0.958,0.595,0.0,0.0,0.0,0.089,0.0,0.0,1.0,1.0
CTGAN_3_RF,0.958,0.808,0.239,0.158,0.491,0.254,0.158,0.007,0.993,0.842
CTGAN_3_XGB,0.957,0.779,0.207,0.136,0.436,0.226,0.136,0.008,0.992,0.864
CTGAN_4_LR,0.958,0.785,0.0,0.0,0.0,0.124,0.0,0.0,1.0,1.0
CTGAN_4_DT,0.928,0.632,0.251,0.288,0.222,0.099,0.288,0.044,0.956,0.712
CTGAN_4_KNN,0.954,0.671,0.067,0.04,0.219,0.092,0.04,0.006,0.994,0.96
CTGAN_4_NB,0.934,0.764,0.103,0.09,0.119,0.113,0.09,0.029,0.971,0.91
CTGAN_4_SVM,0.958,0.561,0.0,0.0,0.0,0.077,0.0,0.0,1.0,1.0
CTGAN_4_RF,0.958,0.815,0.226,0.147,0.491,0.249,0.147,0.007,0.993,0.853
CTGAN_4_XGB,0.956,0.778,0.244,0.169,0.435,0.232,0.169,0.01,0.99,0.831
CTGAN_5_LR,0.958,0.782,0.0,0.0,0.0,0.123,0.0,0.0,1.0,1.0
CTGAN_5_DT,0.93,0.63,0.251,0.282,0.226,0.099,0.282,0.042,0.958,0.718
CTGAN_5_KNN,0.954,0.67,0.066,0.04,0.206,0.088,0.04,0.007,0.993,0.96
CTGAN_5_NB,0.928,0.761,0.11,0.107,0.112,0.113,0.107,0.037,0.963,0.893
CTGAN_5_SVM,0.958,0.581,0.0,0.0,0.0,0.08,0.0,0.0,1.0,1.0
CTGAN_5_RF,0.958,0.81,0.232,0.153,0.482,0.257,0.153,0.007,0.993,0.847
CTGAN_5_XGB,0.956,0.779,0.218,0.147,0.426,0.225,0.147,0.009,0.991,0.853
CTABGAN_1_LR,0.958,0.795,0.0,0.0,0.0,0.14,0.0,0.0,1.0,1.0
CTABGAN_1_DT,0.936,0.627,0.255,0.266,0.246,0.103,0.266,0.035,0.965,0.734
CTABGAN_1_KNN,0.956,0.67,0.087,0.051,0.31,0.093,0.051,0.005,0.995,0.949
CTABGAN_1_NB,0.932,0.768,0.137,0.13,0.146,0.105,0.13,0.033,0.967,0.87
CTABGAN_1_SVM,0.958,0.616,0.0,0.0,0.0,0.094,0.0,0.0,1.0,1.0
CTABGAN_1_RF,0.958,0.818,0.232,0.153,0.482,0.257,0.153,0.007,0.993,0.847
CTABGAN_1_XGB,0.954,0.785,0.204,0.141,0.368,0.203,0.141,0.011,0.989,0.859
CTABGAN_2_LR,0.958,0.789,0.0,0.0,0.0,0.132,0.0,0.0,1.0,1.0
CTABGAN_2_DT,0.94,0.64,0.28,0.282,0.278,0.117,0.282,0.032,0.968,0.718
CTABGAN_2_KNN,0.955,0.679,0.104,0.062,0.314,0.098,0.062,0.006,0.994,0.938
CTABGAN_2_NB,0.936,0.761,0.116,0.102,0.135,0.102,0.102,0.028,0.972,0.898
CTABGAN_2_SVM,0.958,0.626,0.0,0.0,0.0,0.095,0.0,0.0,1.0,1.0
CTABGAN_2_RF,0.958,0.819,0.226,0.147,0.491,0.252,0.147,0.007,0.993,0.853
CTABGAN_2_XGB,0.955,0.783,0.195,0.13,0.39,0.203,0.13,0.009,0.991,0.87
CTABGAN_3_LR,0.958,0.784,0.0,0.0,0.0,0.126,0.0,0.0,1.0,1.0
CTABGAN_3_DT,0.932,0.622,0.244,0.266,0.226,0.096,0.266,0.039,0.961,0.734
CTABGAN_3_KNN,0.956,0.68,0.121,0.073,0.342,0.102,0.073,0.006,0.994,0.927
CTABGAN_3_NB,0.932,0.755,0.116,0.107,0.125,0.1,0.107,0.033,0.967,0.893
CTABGAN_3_SVM,0.958,0.622,0.0,0.0,0.0,0.099,0.0,0.0,1.0,1.0
CTABGAN_3_RF,0.957,0.819,0.214,0.141,0.439,0.251,0.141,0.008,0.992,0.859
CTABGAN_3_XGB,0.957,0.789,0.187,0.119,0.438,0.224,0.119,0.007,0.993,0.881
CTABGAN_4_LR,0.958,0.779,0.0,0.0,0.0,0.122,0.0,0.0,1.0,1.0
CTABGAN_4_DT,0.934,0.607,0.227,0.232,0.223,0.089,0.232,0.035,0.965,0.768
CTABGAN_4_KNN,0.955,0.681,0.111,0.068,0.308,0.101,0.068,0.007,0.993,0.932
